method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,44,0,9,2.7045454545454546,1.9834143154477442,2.0,0,4,0.7272727272727273,1.1281521496355322,0.0,0,4,0.75,1.014430760299519,0.0,0,8,1.7727272727272727,1.9750023416369555,1.0,0,9,1.8863636363636365,2.384210747385654,1.0,0,4,0.7727272727272727,1.1177975929361201,0.0,0,2,0.18181818181818182,0.5401432743921153,0.0,0,5,0.9090909090909091,1.360885173943643,0.0,17,88,57.90909090909091,13.889628357105893,60.0,1.0,4.0,2.2045454545454546,0.7014783543394374,2.0,1.0,7.0,4.113636363636363,1.6595867949009853,4.0,2.85,6.85,4.952272727272727,1.1449563079637044,5.074999999999999,0.27868852459016397,0.07494145199063233,0.0772833723653396,0.18266978922716628,0.19437939110070263,0.07962529274004684,0.018735362997658083,0.0936768149882904,1.0,6.0,3.1818181818181817,1.4186912946195083,3.0,7,7,11,11,6,2,
agg 3 cat,1,10,5,14,8.9,3.5418137224371984,7.5,0,3,1.2,1.1352924243950935,1.5,0,7,2.5,1.90029237516523,2.0,0,3,0.9,1.1005049346146119,0.5,0,5,1.2,1.5491933384829668,1.0,0,4,1.2,1.3165611772087666,1.0,0,2,0.2,0.6324555320336759,0.0,0,5,2.1,1.7919573407620815,2.0,49,94,66.0,16.069294390925265,59.5,1.0,3.0,2.2,0.6324555320336759,2.0,3.0,6.0,4.5,0.97182531580755,4.0,4.2,7.7,5.550000000000001,1.0895972752454102,5.574999999999999,0.48901098901098905,0.06593406593406594,0.13736263736263737,0.049450549450549455,0.06593406593406594,0.06593406593406594,0.01098901098901099,0.11538461538461539,1.0,6.0,3.9,1.852925614624973,4.0,1,2,1,2,1,3,
agg 3 cat,2,30,0,8,3.1666666666666665,1.931291033860838,3.0,0,4,1.3,1.0553639672872464,1.0,0,4,1.2333333333333334,1.1351236704106018,1.0,0,6,2.933333333333333,1.8557149999176976,3.0,0,10,2.8666666666666667,2.17720689991959,3.0,0,12,3.4,2.5542392078727634,3.0,0,3,0.5,0.7768193328323317,0.0,0,16,5.966666666666667,3.828057338717087,6.0,36,101,77.1,16.123125392236865,78.5,1.0,4.0,2.8666666666666667,0.7302967433402213,3.0,3.0,9.0,6.766666666666667,1.5465943304527225,7.0,4.3,9.3,7.238333333333332,1.3218771483773741,7.525,0.14820592823712947,0.060842433697347896,0.057722308892355696,0.13728549141965676,0.13416536661466458,0.15912636505460218,0.0234009360374415,0.2792511700468019,3.0,6.0,5.033333333333333,0.8899179866642238,5.0,0,0,2,5,13,10,
agg 3 emb,0,9,1,14,4.222222222222222,4.116363011742823,2.0,0,0,0.0,0.0,0.0,0,3,0.5555555555555556,1.0137937550497031,0.0,0,0,0.0,0.0,0.0,0,1,0.6666666666666666,0.5,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44,79,54.44444444444444,10.357498625526231,52.0,1.0,2.0,1.6666666666666667,0.5,2.0,1.0,4.0,2.2222222222222223,1.2018504251546631,2.0,2.85,5.0,3.8333333333333335,0.8544003745317531,3.4,0.7755102040816326,0.0,0.10204081632653061,0.0,0.12244897959183672,0.0,0.0,0.0,1.0,5.0,2.2222222222222223,1.6414763002993509,2.0,4,3,0,0,2,0,
agg 3 emb,1,19,0,8,2.8947368421052633,2.1054093516491506,2.0,0,0,0.0,0.0,0.0,0,4,1.1578947368421053,1.0145145470035761,1.0,1,4,1.894736842105263,0.9365858115816941,2.0,0,8,2.0,1.9148542155126762,2.0,0,2,0.631578947368421,0.7608859102526822,0.0,0,1,0.05263157894736842,0.22941573387056177,0.0,0,7,1.5263157894736843,1.9823785111334085,1.0,37,101,59.10526315789474,15.853127055155413,61.0,1.0,4.0,2.210526315789474,0.787326514818136,2.0,2.0,7.0,4.473684210526316,1.4669856112538155,5.0,3.2,6.55,5.192105263157896,0.9731482640685586,5.05,0.2849740932642487,0.0,0.1139896373056995,0.18652849740932642,0.19689119170984457,0.06217616580310881,0.0051813471502590676,0.150259067357513,1.0,6.0,3.4210526315789473,1.4649910683718712,3.0,2,3,5,5,2,2,
agg 3 emb,2,56,0,14,3.75,2.9618790104808927,3.0,0,4,1.4821428571428572,1.0785692784015724,1.0,0,7,1.2142857142857142,1.410535497465551,1.0,0,8,2.482142857142857,2.148919994522165,2.0,0,10,2.4464285714285716,2.478413296351613,2.0,0,12,2.4285714285714284,2.3265826899096047,2.0,0,3,0.42857142857142855,0.7593572127947272,0.0,0,16,3.767857142857143,3.7464702002069843,3.0,17,97,69.78571428571429,17.29184178182857,72.0,1.0,4.0,2.642857142857143,0.6987930225121658,3.0,2.0,9.0,5.785714285714286,1.7447509404370138,6.0,2.85,9.3,6.382142857142858,1.5275776597258506,6.225,0.20833333333333334,0.08234126984126984,0.06746031746031746,0.1378968253968254,0.13591269841269843,0.1349206349206349,0.023809523809523808,0.20932539682539683,1.0,6.0,4.375,1.3424875147548774,5.0,2,3,9,13,16,13,
agg cat,0,18,1,8,3.388888888888889,1.9444911292248124,3.0,0,1,0.05555555555555555,0.23570226039551584,0.0,0,3,0.3888888888888889,0.7775443160352296,0.0,0,2,0.3888888888888889,0.6978023391872253,0.0,0,1,0.3888888888888889,0.5016313257045503,0.0,0,3,0.5,0.985184366143778,0.0,0,2,0.16666666666666666,0.5144957554275265,0.0,0,3,0.2777777777777778,0.7519039015221181,0.0,37,88,55.55555555555556,15.324805812884364,51.5,1.0,3.0,1.7777777777777777,0.6467616667635545,2.0,1.0,6.0,2.888888888888889,1.4907119849998598,2.5,2.85,6.4,4.222222222222222,1.080062936921927,4.275,0.6099999999999999,0.009999999999999998,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.08999999999999998,0.029999999999999995,0.049999999999999996,1.0,6.0,2.5,1.6179144164088313,2.0,6,6,1,2,2,1,
agg cat,1,6,2,9,4.333333333333333,2.581988897471611,4.0,0,4,1.6666666666666667,1.3662601021279464,1.5,0,4,0.8333333333333334,1.602081978759722,0.0,0,4,1.5,1.378404875209022,1.0,4,9,6.666666666666667,1.96638416050035,7.0,0,4,1.0,1.6733200530681511,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,48,77,64.83333333333333,10.980285363626333,64.5,2.0,3.0,2.3333333333333335,0.5163977794943222,2.0,3.0,7.0,5.166666666666667,1.3291601358251257,5.0,4.45,6.85,5.825,0.8571755946129123,5.949999999999999,0.2708333333333333,0.10416666666666667,0.052083333333333336,0.09375,0.4166666666666667,0.0625,0.0,0.0,3.0,5.0,3.5,0.8366600265340756,3.0,0,0,4,1,1,0,
agg cat,2,20,0,4,1.6,1.0954451150103321,1.5,0,4,1.05,1.234376040972246,1.0,0,3,1.05,0.9445132413883325,1.0,1,8,3.1,2.04939015319192,3.0,0,5,1.8,1.5078740698501039,2.0,0,3,0.95,1.0500626547722611,1.0,0,2,0.25,0.6386663736585051,0.0,0,5,1.75,1.51744244666721,2.0,17,79,57.95,13.204763893144179,60.5,2.0,4.0,2.55,0.6048053188292994,2.5,3.0,7.0,4.9,1.1652874052533588,5.0,2.85,6.55,5.3475,0.9054622256644743,5.5,0.13852813852813853,0.09090909090909091,0.09090909090909091,0.2683982683982684,0.15584415584415584,0.08225108225108224,0.021645021645021644,0.15151515151515152,1.0,6.0,3.7,1.1285761872936695,4.0,1,1,6,8,3,1,
agg cat,3,10,5,14,8.9,3.5418137224371984,7.5,0,3,1.2,1.1352924243950935,1.5,0,7,2.5,1.90029237516523,2.0,0,3,0.9,1.1005049346146119,0.5,0,5,1.2,1.5491933384829668,1.0,0,4,1.2,1.3165611772087666,1.0,0,2,0.2,0.6324555320336759,0.0,0,5,2.1,1.7919573407620815,2.0,49,94,66.0,16.069294390925265,59.5,1.0,3.0,2.2,0.6324555320336759,2.0,3.0,6.0,4.5,0.97182531580755,4.0,4.2,7.7,5.550000000000001,1.0895972752454102,5.574999999999999,0.48901098901098905,0.06593406593406594,0.13736263736263737,0.049450549450549455,0.06593406593406594,0.06593406593406594,0.01098901098901099,0.11538461538461539,1.0,6.0,3.9,1.852925614624973,4.0,1,2,1,2,1,3,
