method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.3520422117998048,0.27839181904249066,0.5883866118796188,4,0.0846332684159278,7.826911054630201,3,0.0963809192180633,9.233359581760084
kmeans 3 emb,0.32811820427185706,0.26840223430216326,0.5824054922285464,3,0.0802406147122383,8.603214690440616,3,0.0963809192180633,9.233359581760084
kmeans cat,0.32532493031892473,0.21512871890607035,0.6142206483789435,3,0.2882604775167048,27.016114700241804,4,0.3336156927216085,29.214451096083813
kmeans 3 cat,0.3168276008196714,0.20867651772049212,0.6149132019545906,3,0.2882604775167048,27.016114700241804,3,0.3271065945225389,33.88184427272083
agg emb,0.2917114556156407,0.23639679804094554,0.5915049376441431,4,0.0738883316516876,7.842685328742316,3,0.1044727638363838,8.334789346945781
agg 3 emb,0.2715644509935352,0.27104061303477694,0.5981050031545969,3,0.0782705694437027,8.868414092590582,3,0.1044727638363838,8.334789346945781
agg cat,0.36215789353211814,0.2078259582256277,0.6407101815518067,3,0.2791139398526087,26.4526595692188,4,0.3289700412140516,28.112069258243466
agg 3 cat,0.3588564794145806,0.20624756437884273,0.6435852703378274,3,0.2791139398526087,26.4526595692188,3,0.3242423876595935,32.53617541006736
gmm emb,0.12802034069318335,0.12134402181957112,0.46594038938539695,4,0.0809056237339973,7.47060287372466,3,0.0817364528775215,8.041631050153205
gmm 3 emb,0.26739829692478884,0.1509568731158705,0.6286142926124177,3,0.0887774378061294,7.190161404913117,3,0.0817364528775215,8.041631050153205
gmm cat,0.26812308104333854,0.24262009160577405,0.5751628417923772,3,0.2429346123169029,22.66662293366523,4,0.2955986373799722,24.450941699845504
gmm 3 cat,0.262840025592803,0.1759108460811933,0.5629183345478493,3,0.2429346123169029,22.66662293366523,3,0.2534037366671512,22.214074191552022
birch emb,0.2917114556156407,0.23639679804094554,0.5915049376441431,4,0.0738883316516876,7.842685328742316,3,0.1044727638363838,8.334789346945781
birch 3 emb,0.2715644509935352,0.27104061303477694,0.5981050031545969,3,0.0782705694437027,8.868414092590582,3,0.1044727638363838,8.334789346945781
birch cat,0.2660504902092729,0.25831689323037726,0.591474206373451,3,0.0782705694437027,8.868414092590582,4,0.1179272606968879,7.808740160155869
birch 3 cat,0.2715644509935352,0.27104061303477694,0.5981050031545969,3,0.0782705694437027,8.868414092590582,3,0.1044727638363838,8.334789346945781
