annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[3, 15, 1], [2, 15, 1], [4, 67, 3], [8, 189, 2]]",epidemiology:15/1; etiology:15/1; history:67/3; therapeutic:189/2,0,0.5,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 3}",0,1,1,3,0,0,0,2,4,4,3,5.45,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,1,6.0
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,55,2.0,2.0,"[[3, 9, 1], [1, 81, 2], [4, 171, 1]]",etiology:9/1; pathophysiology:81/2; history:171/1,0,0.375,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",2,0,1,1,0,0,0,0,3,3,3,3.75,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,2.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 89, 3], [8, 201, 5]]",pathophysiology:41/1; exams:89/3; therapeutic:201/5,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 5, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,3,0,5,3,3,3,5.15,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 34, 1], [2, 65, 3], [8, 149, 2], [4, 243, 3]]",pathophysiology:34/1; epidemiology:65/3; therapeutic:149/2; history:243/3,0,0.5,"{'pathophysiology': 1, 'epidemiology': 3, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,3,0,3,0,0,0,2,4,4,4,4.45,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,1,2.0
0b038ba5-0369-4b28-adae-b158371edf18,81,3.0,6.0,"[[2, 37, 1], [4, 109, 1], [8, 262, 1], [5, 298, 1], [4, 401, 1], [8, 440, 4]]",epidemiology:37/1; history:109/3; therapeutic:262/9; physical:298/1; history:401/1; therapeutic:440/4,2,0.33333333333333337,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 5, 'used categories': 4, 'total annotations': 6, 'ideas': 6}",0,1,0,2,1,0,0,5,4,6,6,7.05,2,2,0,0,2,2,0,0,1,1,0,0,2,2,3,2,6.0
0e20a132-80f5-433b-9e97-e3886852de51,61,2.0,5.0,"[[3, 73, 2], [2, 104, 1], [1, 131, 1], [2, 209, 2], [3, 238, 1], [5, 324, 2], [4, 411, 1], [8, 470, 1], [4, 506, 1], [8, 603, 1], [4, 615, 1], [8, 686, 1], [4, 710, 1], [8, 745, 1]]",etiology:73/4; epidemiology:104/5; pathophysiology:131/1; epidemiology:209/2; etiology:238/1; physical:324/2; history:411/7; therapeutic:470/5; history:506/1; therapeutic:603/1; history:615/1; therapeutic:686/1; history:710/1; therapeutic:745/1,7,0.375,"{'pathophysiology': 1, 'epidemiology': 3, 'etiology': 3, 'history': 4, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 4, 'used categories': 6, 'total annotations': 14, 'ideas': 14}",1,3,3,4,2,0,0,4,6,14,14,5.55,2,2,3,2,2,2,3,2,1,1,3,1,2,2,3,2,4.0
0e9fb6a5-f181-42ea-ac89-33edc8a66705,49,2.0,4.0,"[[1, 8, 1], [3, 74, 1], [1, 98, 2], [2, 196, 1], [1, 226, 2], [2, 321, 1], [1, 371, 1], [4, 422, 4], [6, 483, 1], [4, 493, 1]]",pathophysiology:8/11; etiology:74/1; pathophysiology:98/2; epidemiology:196/3; pathophysiology:226/2; epidemiology:321/1; pathophysiology:371/1; history:422/6; exams:483/1; history:493/1,5,0.3125,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 1, 'history': 5, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 10, 'ideas': 10}",6,2,1,5,0,1,0,0,5,10,10,4.45,1,1,3,2,2,2,0,0,1,1,3,1,2,2,3,2,4.0
10538911-3265-4356-8735-3d53d9fad786,78,2.0,5.0,"[[1, 49, 1], [2, 92, 1], [4, 138, 1], [1, 162, 5], [8, 324, 11]]",pathophysiology:49/11; epidemiology:92/1; history:138/1; pathophysiology:162/5; therapeutic:324/11,1,0.4,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 11, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",6,1,0,1,0,0,0,11,4,5,5,6.4,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,6.0
11c98f4e-a92b-42a7-88e0-6fe3c0b85ec6,92,3.0,6.0,"[[1, 15, 3], [3, 110, 3], [4, 204, 4], [6, 245, 2], [8, 329, 6]]",pathophysiology:15/3; etiology:110/3; history:204/4; exams:245/2; therapeutic:329/6,0,0.625,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 3, 'history': 4, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",3,0,3,4,0,2,0,6,5,5,5,7.6,1,1,0,0,2,2,0,0,1,1,3,2,2,2,3,2,6.0
15b3615e-7845-4c19-bfd6-42ab430b1f62,76,4.0,8.0,"[[3, 16, 4], [2, 16, 4], [1, 112, 3], [6, 240, 2], [4, 331, 1], [8, 395, 1], [4, 427, 2], [8, 474, 13]]",epidemiology:16/4; etiology:16/4; pathophysiology:112/3; exams:240/2; history:331/5; therapeutic:395/27; history:427/2; therapeutic:474/13,2,0.5625,"{'pathophysiology': 3, 'epidemiology': 4, 'etiology': 4, 'history': 3, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 14, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",3,4,4,3,0,2,0,14,6,8,7,7.8,1,1,2,1,2,2,2,1,1,1,2,2,2,2,3,2,4.0
