method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,52,0,11,2.8846153846153846,2.502186072874693,2.0,0,6,1.0576923076923077,1.211278073002127,1.0,0,3,0.4423076923076923,0.6690192276747297,0.0,0,5,1.2884615384615385,1.2261295466460185,1.0,0,6,1.1538461538461537,1.5001256860365022,1.0,0,4,0.6730769230769231,1.1153326039779479,0.0,0,1,0.09615384615384616,0.2976782961926057,0.0,0,7,1.3076923076923077,1.7991115622086926,0.5,37,94,60.51923076923077,13.58991896355153,60.0,1.0,3.0,2.230769230769231,0.5812557270351506,2.0,1.0,7.0,4.019230769230769,1.8202605352777368,4.0,2.85,7.7,5.035576923076923,1.2815943095843454,4.95,0.32397408207343414,0.11879049676025918,0.04967602591792657,0.14470842332613393,0.12958963282937364,0.07559395248380131,0.010799136069114472,0.1468682505399568,1.0,6.0,3.3653846153846154,1.8579859024966583,4.0,13,8,3,13,5,10,
agg 3 cat,1,5,2,6,3.6,1.51657508881031,3.0,0,4,2.0,1.5811388300841898,2.0,0,4,1.4,1.9493588689617927,0.0,0,3,1.4,1.5165750888103102,1.0,0,5,1.4,2.1908902300206647,0.0,0,3,2.0,1.224744871391589,2.0,0,3,0.6,1.3416407864998738,0.0,11,24,15.4,5.029910535983717,14.0,76,83,78.2,2.7748873851023217,77.0,2.0,4.0,3.2,0.8366600265340756,3.0,5.0,9.0,7.2,1.6431676725154984,8.0,6.4,8.35,7.51,0.8466108905512614,7.8,0.12949640287769784,0.07194244604316546,0.05035971223021582,0.05035971223021582,0.05035971223021582,0.07194244604316546,0.021582733812949638,0.5539568345323741,3.0,6.0,4.6,1.1401754250991378,5.0,0,0,1,1,2,1,
agg 3 cat,2,28,0,6,2.4285714285714284,1.596954774019775,2.5,0,9,2.0357142857142856,1.8950646008170384,2.0,0,3,1.1071428571428572,1.1001442906807544,1.0,0,14,3.642857142857143,3.1412935023211173,3.0,0,15,2.892857142857143,3.4247388190686863,2.0,0,8,3.392857142857143,1.8326116905841259,3.0,0,4,0.5357142857142857,0.9222413461394476,0.0,0,10,4.0,2.3882428066894086,4.0,36,100,75.60714285714286,15.353463321962115,79.5,2.0,4.0,2.857142857142857,0.5245305283129619,3.0,5.0,9.0,6.535714285714286,1.0708993401928106,7.0,4.3,8.75,7.048214285714286,1.1311647670250033,7.15,0.12121212121212122,0.10160427807486631,0.055258467023172914,0.18181818181818182,0.1443850267379679,0.16934046345811052,0.026737967914438502,0.19964349376114082,3.0,6.0,4.857142857142857,0.8908708063747479,5.0,0,0,2,7,12,7,
agg 3 emb,0,12,1,7,2.5833333333333335,1.729862492345632,2.0,0,3,0.25,0.8660254037844386,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,0,0.0,0.0,0.0,0,1,0.4166666666666667,0.5149286505444373,0.0,0,3,0.6666666666666666,1.2309149097933274,0.0,0,3,0.4166666666666667,0.90033663737852,0.0,0,15,2.25,4.351070923556428,0.0,37,78,56.0,15.2911144727316,52.0,1.0,3.0,1.8333333333333333,0.5773502691896257,2.0,1.0,6.0,2.5833333333333335,1.781640374554423,2.0,2.85,6.85,4.091666666666667,1.2901432854414647,3.875,0.3875,0.0375,0.012499999999999999,0.0,0.0625,0.09999999999999999,0.0625,0.33749999999999997,1.0,6.0,2.5,1.834021909257456,1.5,6,1,1,2,1,1,
agg 3 emb,1,13,0,6,1.7692307692307692,1.4806443503784736,2.0,0,3,0.9230769230769231,0.8623164985025763,1.0,0,1,0.38461538461538464,0.5063696835418334,0.0,1,3,1.6923076923076923,0.7510676161988107,2.0,0,3,0.3076923076923077,0.8548504142651104,0.0,0,0,0.0,0.0,0.0,0,1,0.15384615384615385,0.3755338080994054,0.0,0,11,1.7692307692307692,3.0042704647952427,1.0,49,78,62.84615384615385,9.93181884858084,64.0,1.0,3.0,2.076923076923077,0.4935481167928245,2.0,1.0,5.0,3.076923076923077,1.1875421719907089,3.0,3.45,6.4,4.680769230769231,0.8513563838415099,4.7,0.25274725274725274,0.13186813186813187,0.05494505494505495,0.24175824175824176,0.04395604395604396,0.0,0.02197802197802198,0.25274725274725274,1.0,6.0,3.6153846153846154,1.8501559185854914,4.0,2,3,0,4,1,3,
agg 3 emb,2,60,0,11,3.033333333333333,2.357581831113289,3.0,0,9,1.7833333333333334,1.6270141797916013,2.0,0,4,0.9166666666666666,1.0781601822229727,1.0,0,14,2.566666666666667,2.540296704055015,2.0,0,15,2.316666666666667,2.690168331111924,2.0,0,8,2.2,1.9027188397266808,2.0,0,4,0.26666666666666666,0.685606663601763,0.0,0,24,3.45,4.139208963975802,2.0,36,100,69.43333333333334,15.898370736977906,70.5,2.0,4.0,2.716666666666667,0.5848849420870958,3.0,2.0,9.0,5.95,1.4662878298615183,6.0,3.45,8.75,6.446666666666667,1.342962405504663,6.45,0.18346774193548385,0.10786290322580645,0.05544354838709677,0.15524193548387097,0.14012096774193547,0.13306451612903225,0.016129032258064516,0.20866935483870966,1.0,6.0,4.283333333333333,1.5080761868389585,5.0,5,4,5,15,17,14,
agg cat,0,52,0,11,2.8846153846153846,2.502186072874693,2.0,0,6,1.0576923076923077,1.211278073002127,1.0,0,3,0.4423076923076923,0.6690192276747297,0.0,0,5,1.2884615384615385,1.2261295466460185,1.0,0,6,1.1538461538461537,1.5001256860365022,1.0,0,4,0.6730769230769231,1.1153326039779479,0.0,0,1,0.09615384615384616,0.2976782961926057,0.0,0,7,1.3076923076923077,1.7991115622086926,0.5,37,94,60.51923076923077,13.58991896355153,60.0,1.0,3.0,2.230769230769231,0.5812557270351506,2.0,1.0,7.0,4.019230769230769,1.8202605352777368,4.0,2.85,7.7,5.035576923076923,1.2815943095843454,4.95,0.32397408207343414,0.11879049676025918,0.04967602591792657,0.14470842332613393,0.12958963282937364,0.07559395248380131,0.010799136069114472,0.1468682505399568,1.0,6.0,3.3653846153846154,1.8579859024966583,4.0,13,8,3,13,5,10,
agg cat,1,2,0,1,0.5,0.7071067811865476,0.5,1,1,1.0,0.0,1.0,0,1,0.5,0.7071067811865476,0.5,1,2,1.5,0.7071067811865476,1.5,13,15,14.0,1.4142135623730951,14.0,0,4,2.0,2.8284271247461903,2.0,0,4,2.0,2.8284271247461903,2.0,0,2,1.0,1.4142135623730951,1.0,54,72,63.0,12.727922061357855,63.0,2.0,3.0,2.5,0.7071067811865476,2.5,6.0,7.0,6.5,0.7071067811865476,6.5,6.2,6.6,6.4,0.2828427124746186,6.4,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.6222222222222222,0.08888888888888889,0.08888888888888889,0.044444444444444446,3.0,5.0,4.0,1.4142135623730951,4.0,0,0,1,0,1,0,
agg cat,2,5,2,6,3.6,1.51657508881031,3.0,0,4,2.0,1.5811388300841898,2.0,0,4,1.4,1.9493588689617927,0.0,0,3,1.4,1.5165750888103102,1.0,0,5,1.4,2.1908902300206647,0.0,0,3,2.0,1.224744871391589,2.0,0,3,0.6,1.3416407864998738,0.0,11,24,15.4,5.029910535983717,14.0,76,83,78.2,2.7748873851023217,77.0,2.0,4.0,3.2,0.8366600265340756,3.0,5.0,9.0,7.2,1.6431676725154984,8.0,6.4,8.35,7.51,0.8466108905512614,7.8,0.12949640287769784,0.07194244604316546,0.05035971223021582,0.05035971223021582,0.05035971223021582,0.07194244604316546,0.021582733812949638,0.5539568345323741,3.0,6.0,4.6,1.1401754250991378,5.0,0,0,1,1,2,1,
agg cat,3,26,0,6,2.576923076923077,1.5536557385232268,3.0,0,9,2.1153846153846154,1.9458041643890698,2.0,0,3,1.1538461538461537,1.120439474217423,1.0,0,14,3.8076923076923075,3.200240375587193,3.0,0,5,2.0384615384615383,1.3994504415882463,2.0,0,8,3.5,1.772004514666935,3.0,0,2,0.4230769230769231,0.6433087546786177,0.0,0,10,4.230769230769231,2.3031750659937646,4.0,36,100,76.57692307692308,15.310579549900984,80.5,2.0,4.0,2.8846153846153846,0.5159010042186833,3.0,5.0,9.0,6.538461538461538,1.1038394532093594,7.0,4.3,8.75,7.098076923076922,1.1586613628865656,7.35,0.1298449612403101,0.1065891472868217,0.05813953488372092,0.19186046511627905,0.10271317829457363,0.17635658914728683,0.02131782945736434,0.2131782945736434,3.0,6.0,4.923076923076923,0.8448941672459067,5.0,0,0,1,7,11,7,
agg emb,0,12,1,7,2.5833333333333335,1.729862492345632,2.0,0,3,0.25,0.8660254037844386,0.0,0,1,0.08333333333333333,0.28867513459481287,0.0,0,0,0.0,0.0,0.0,0,1,0.4166666666666667,0.5149286505444373,0.0,0,3,0.6666666666666666,1.2309149097933274,0.0,0,3,0.4166666666666667,0.90033663737852,0.0,0,15,2.25,4.351070923556428,0.0,37,78,56.0,15.2911144727316,52.0,1.0,3.0,1.8333333333333333,0.5773502691896257,2.0,1.0,6.0,2.5833333333333335,1.781640374554423,2.0,2.85,6.85,4.091666666666667,1.2901432854414647,3.875,0.3875,0.0375,0.012499999999999999,0.0,0.0625,0.09999999999999999,0.0625,0.33749999999999997,1.0,6.0,2.5,1.834021909257456,1.5,6,1,1,2,1,1,
agg emb,1,13,0,6,1.7692307692307692,1.4806443503784736,2.0,0,3,0.9230769230769231,0.8623164985025763,1.0,0,1,0.38461538461538464,0.5063696835418334,0.0,1,3,1.6923076923076923,0.7510676161988107,2.0,0,3,0.3076923076923077,0.8548504142651104,0.0,0,0,0.0,0.0,0.0,0,1,0.15384615384615385,0.3755338080994054,0.0,0,11,1.7692307692307692,3.0042704647952427,1.0,49,78,62.84615384615385,9.93181884858084,64.0,1.0,3.0,2.076923076923077,0.4935481167928245,2.0,1.0,5.0,3.076923076923077,1.1875421719907089,3.0,3.45,6.4,4.680769230769231,0.8513563838415099,4.7,0.25274725274725274,0.13186813186813187,0.05494505494505495,0.24175824175824176,0.04395604395604396,0.0,0.02197802197802198,0.25274725274725274,1.0,6.0,3.6153846153846154,1.8501559185854914,4.0,2,3,0,4,1,3,
agg emb,2,60,0,11,3.033333333333333,2.357581831113289,3.0,0,9,1.7833333333333334,1.6270141797916013,2.0,0,4,0.9166666666666666,1.0781601822229727,1.0,0,14,2.566666666666667,2.540296704055015,2.0,0,15,2.316666666666667,2.690168331111924,2.0,0,8,2.2,1.9027188397266808,2.0,0,4,0.26666666666666666,0.685606663601763,0.0,0,24,3.45,4.139208963975802,2.0,36,100,69.43333333333334,15.898370736977906,70.5,2.0,4.0,2.716666666666667,0.5848849420870958,3.0,2.0,9.0,5.95,1.4662878298615183,6.0,3.45,8.75,6.446666666666667,1.342962405504663,6.45,0.18346774193548385,0.10786290322580645,0.05544354838709677,0.15524193548387097,0.14012096774193547,0.13306451612903225,0.016129032258064516,0.20866935483870966,1.0,6.0,4.283333333333333,1.5080761868389585,5.0,5,4,5,15,17,14,
