method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09638091921806335,9.233359581760084
kmeans 3 emb,3,0.09638091921806335,9.233359581760084
kmeans cat,4,0.33361569272160857,29.214451096083813
kmeans 3 cat,3,0.32710659452253893,33.88184427272083
agg emb,3,0.10447276383638382,8.334789346945781
agg 3 emb,3,0.10447276383638382,8.334789346945781
agg cat,4,0.3289700412140516,28.112069258243462
agg 3 cat,3,0.3242423876595935,32.53617541006736
gmm emb,3,0.08173645287752151,8.041631050153205
gmm 3 emb,3,0.08173645287752151,8.041631050153205
gmm cat,4,0.2955986373799722,24.450941699845504
gmm 3 cat,3,0.2534037366671512,22.214074191552026
birch emb,3,0.10447276383638382,8.334789346945781
birch 3 emb,3,0.10447276383638382,8.334789346945781
birch cat,4,0.11792726069688797,7.808740160155869
birch 3 cat,3,0.10447276383638382,8.334789346945781
