annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [2, 84, 1], [5, 129, 4], [4, 252, 2], [6, 303, 1], [8, 332, 3]]",pathophysiology:23/1; epidemiology:84/1; physical:129/4; history:252/2; exams:303/1; therapeutic:332/3,0,0.75,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,2,4,1,0,3,6,6,6,7.4,2,1,1,1,2,2,1,1,3,1,1,1,2,2,2,2,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[4, 82, 2], [2, 119, 1], [1, 146, 9], [4, 378, 3], [6, 442, 3], [5, 569, 4], [4, 675, 1], [6, 707, 5]]",history:82/10; epidemiology:119/1; pathophysiology:146/9; history:378/3; exams:442/13; physical:569/4; history:675/1; exams:707/5,3,0.390625,"{'pathophysiology': 9, 'epidemiology': 1, 'etiology': 0, 'history': 6, 'physical': 4, 'exams': 8, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",9,1,0,6,4,8,0,0,5,8,8,6.85,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 52, 2], [2, 122, 2], [3, 181, 1]]",pathophysiology:52/2; epidemiology:122/2; etiology:181/1,0,0.375,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",2,2,1,0,0,0,0,0,3,3,3,4.1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[3, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 423, 2], [1, 465, 1], [8, 502, 7]]",etiology:57/1; history:109/2; physical:272/3; pathophysiology:311/5; physical:339/1; pathophysiology:365/1; exams:423/2; pathophysiology:465/1; therapeutic:502/7,3,0.5,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",3,0,1,2,2,2,0,7,6,9,9,8.9,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[2, 15, 1], [4, 107, 2], [8, 189, 2]]",epidemiology:15/1; history:107/2; therapeutic:189/2,0,0.375,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",0,1,0,2,0,0,0,2,3,3,3,5.45,3,2,0,0,3,2,0,0,3,2,1,1,3,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[7, 21, 1], [2, 28, 1], [4, 59, 1], [1, 115, 1], [6, 141, 1]]",differential:21/1; epidemiology:28/1; history:59/1; pathophysiology:115/1; exams:141/1,0,0.625,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,1,0,1,0,1,1,0,5,5,5,3.4,1,2,0,0,0,0,0,0,1,2,2,2,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 53, 2], [3, 66, 1], [1, 93, 2], [4, 184, 2], [5, 239, 3], [6, 307, 1], [4, 351, 1], [8, 397, 2]]",epidemiology:53/2; etiology:66/1; pathophysiology:93/2; history:184/4; physical:239/3; exams:307/1; history:351/1; therapeutic:397/2,1,0.765625,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 1, 'history': 3, 'physical': 3, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 7, 'total annotations': 8, 'ideas': 8}",2,2,1,3,3,1,0,2,7,8,8,6.75,2,2,1,1,2,2,1,1,3,2,1,1,2,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 19, 2], [2, 105, 2]]",etiology:19/2; epidemiology:105/2,0,0.25,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,2,2,0,0,0,0,0,2,2,2,3.85,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 54, 3], [8, 187, 1], [4, 240, 1], [3, 295, 1], [1, 338, 4], [4, 477, 1], [5, 494, 1], [6, 507, 1], [5, 523, 2], [8, 579, 2], [6, 641, 1], [8, 669, 3]]",epidemiology:54/3; therapeutic:187/5; history:240/3; etiology:295/1; pathophysiology:338/4; history:477/1; physical:494/5; exams:507/3; physical:523/2; therapeutic:579/2; exams:641/1; therapeutic:669/3,4,0.5833333333333334,"{'pathophysiology': 4, 'epidemiology': 3, 'etiology': 1, 'history': 2, 'physical': 3, 'exams': 2, 'differential': 0, 'therapeutic': 6, 'used categories': 7, 'total annotations': 12, 'ideas': 12}",4,3,1,2,3,2,0,6,7,12,12,8.1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,6.0
