annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 30, 1], [2, 94, 1], [5, 129, 4], [4, 252, 2], [6, 303, 1], [8, 388, 1]]",pathophysiology:30/1; epidemiology:94/1; physical:129/4; history:252/2; exams:303/1; therapeutic:388/1,0,0.75,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 2, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,2,4,1,0,1,6,6,6,7.4,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 2], [2, 82, 1], [1, 157, 6], [4, 378, 3], [5, 454, 6], [6, 707, 1], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; etiology:82/2; pathophysiology:157/6; history:378/5; physical:454/6; exams:707/7; history:743/1; exams:772/3,2,0.5625,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 2, 'history': 4, 'physical': 6, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 8, 'ideas': 7}",6,1,2,4,6,4,0,0,6,8,7,6.85,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 52, 1], [3, 72, 1], [5, 137, 2], [2, 181, 1]]",pathophysiology:52/1; etiology:72/1; physical:137/2; epidemiology:181/1,0,0.5,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 0, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,1,1,0,2,0,0,0,4,4,4,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 57, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [6, 339, 1], [4, 423, 1], [6, 433, 2], [8, 502, 8]]",epidemiology:57/1; history:109/4; physical:272/1; pathophysiology:311/1; exams:339/5; history:423/1; exams:433/2; therapeutic:502/8,2,0.5625,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 1, 'exams': 3, 'differential': 0, 'therapeutic': 8, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",1,1,0,3,1,3,0,8,6,8,8,8.9,2,2,2,2,1,1,1,1,2,2,0,0,1,1,1,1,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[3, 15, 1], [2, 15, 1], [4, 67, 3], [8, 189, 2]]",epidemiology:15/1; etiology:15/1; history:67/3; therapeutic:189/2,0,0.5,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 3}",0,1,1,3,0,0,0,2,4,4,3,5.45,2,2,0,0,2,2,1,1,2,2,0,0,2,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[6, 21, 1], [7, 21, 1], [2, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 1]]",exams:21/3; differential:21/1; epidemiology:28/1; physical:59/1; pathophysiology:115/1; exams:141/1,1,0.5208333333333334,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 5}",1,1,0,0,1,2,1,0,5,6,5,3.4,1,1,0,0,1,1,0,0,1,1,2,2,1,1,1,1,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[4, 53, 1], [1, 66, 4], [2, 66, 1], [4, 184, 1], [5, 208, 1], [1, 252, 2], [5, 307, 1], [4, 351, 1], [8, 419, 2]]",history:53/5; pathophysiology:66/8; epidemiology:66/1; history:184/1; physical:208/3; pathophysiology:252/2; physical:307/1; history:351/1; therapeutic:419/2,4,0.3472222222222222,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 9, 'ideas': 8}",6,1,0,3,2,0,0,2,5,9,8,6.75,1,1,1,1,1,1,0,0,2,2,0,0,1,1,1,1,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 19, 2], [2, 79, 3]]",etiology:19/2; epidemiology:79/3,0,0.25,"{'pathophysiology': 0, 'epidemiology': 3, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,3,2,0,0,0,0,0,2,2,2,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 106, 2], [5, 250, 2], [1, 338, 4], [4, 477, 1], [5, 494, 3], [4, 600, 1], [1, 623, 1], [8, 641, 4]]",epidemiology:106/2; physical:250/8; pathophysiology:338/6; history:477/3; physical:494/3; history:600/1; pathophysiology:623/1; therapeutic:641/4,3,0.390625,"{'pathophysiology': 5, 'epidemiology': 2, 'etiology': 0, 'history': 2, 'physical': 5, 'exams': 0, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 8, 'ideas': 8}",5,2,0,2,5,0,0,4,5,8,8,8.1,1,1,1,1,1,1,0,0,2,2,0,0,1,1,1,1,6.0
