annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [2, 70, 1], [4, 129, 1], [5, 156, 5], [6, 303, 1], [8, 381, 1]]",pathophysiology:23/1; epidemiology:70/1; history:129/1; physical:156/5; exams:303/1; therapeutic:381/1,0,0.75,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 1, 'physical': 5, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",1,1,0,1,5,1,0,1,6,6,6,7.4,3,2,1,1,4,2,0,0,4,2,2,2,4,2,2,2,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 1], [2, 82, 1], [1, 182, 4], [4, 418, 2], [5, 454, 5], [6, 789, 2]]",epidemiology:82/1; etiology:82/1; pathophysiology:182/4; history:418/2; physical:454/5; exams:789/2,0,0.75,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 5, 'exams': 2, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 6, 'ideas': 5}",4,1,1,2,5,2,0,0,6,6,5,6.85,3,2,1,1,4,2,0,0,1,2,2,2,4,2,2,2,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[3, 72, 1], [1, 137, 2], [3, 181, 1]]",etiology:72/3; pathophysiology:137/2; etiology:181/1,1,0.1666666666666666,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 3, 'ideas': 3}",2,0,2,0,0,0,0,0,2,3,3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[3, 13, 1], [4, 109, 4], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 384, 1], [1, 465, 1], [8, 530, 5]]",etiology:13/1; history:109/4; physical:272/3; pathophysiology:311/3; physical:339/1; exams:384/1; pathophysiology:465/1; therapeutic:530/5,2,0.5625,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",2,0,1,4,2,1,0,5,6,8,8,8.9,2,1,2,2,3,1,2,2,2,1,2,2,3,1,1,1,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[1, 0, 1], [3, 42, 1], [4, 42, 3], [5, 107, 1], [6, 130, 1], [8, 189, 2]]",pathophysiology:0/1; etiology:42/1; history:42/3; physical:107/1; exams:130/1; therapeutic:189/2,0,0.75,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 6, 'ideas': 5}",1,0,1,3,1,1,0,2,6,6,5,5.45,2,1,1,1,3,1,2,2,2,1,2,2,3,1,1,1,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[7, 21, 1], [3, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 2]]",differential:21/1; etiology:28/1; physical:59/1; pathophysiology:115/1; exams:141/2,0,0.625,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,0,1,0,1,2,1,0,5,5,5,3.4,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 43, 1], [4, 66, 1], [1, 93, 1], [3, 121, 1], [1, 156, 4], [5, 307, 1], [1, 351, 1], [8, 397, 2]]",epidemiology:43/1; history:66/1; pathophysiology:93/11; etiology:121/1; pathophysiology:156/4; physical:307/1; pathophysiology:351/1; therapeutic:397/2,2,0.5625,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 1, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",6,1,1,1,1,0,0,2,6,8,8,6.75,3,2,1,1,4,2,1,1,4,2,0,0,4,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 38, 2], [2, 105, 2]]",etiology:38/2; epidemiology:105/2,0,0.25,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,2,2,0,0,0,0,0,2,2,2,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 2, 3], [3, 240, 1], [1, 338, 4], [4, 477, 2], [5, 523, 2], [6, 579, 1], [4, 623, 2], [8, 692, 3]]",epidemiology:2/3; etiology:240/1; pathophysiology:338/4; history:477/6; physical:523/2; exams:579/1; history:623/2; therapeutic:692/3,1,0.765625,"{'pathophysiology': 4, 'epidemiology': 3, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 8, 'ideas': 8}",4,3,1,4,2,1,0,3,7,8,8,8.1,3,2,1,1,4,2,2,2,4,2,2,2,4,2,2,2,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[1, 3, 6]]",pathophysiology:3/6,0,0.125,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",6,0,0,0,0,0,0,0,1,1,1,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
06d20cd0-67b3-42f8-b2b6-7570865b47bb,57,3.0,7.0,"[[2, 0, 2], [4, 58, 2], [3, 115, 3], [4, 229, 4], [6, 302, 3], [1, 406, 4]]",epidemiology:0/2; history:58/10; etiology:115/3; history:229/4; exams:302/3; pathophysiology:406/4,1,0.5208333333333334,"{'pathophysiology': 4, 'epidemiology': 2, 'etiology': 3, 'history': 6, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",4,2,3,6,0,3,0,0,5,6,6,6.35,3,2,1,1,4,2,2,2,4,2,2,2,4,2,2,2,4.0
079a3336-29b0-43c8-b02e-034f8fa3b8e2,89,3.0,7.0,"[[3, 61, 1], [5, 145, 2], [8, 230, 3], [6, 317, 1], [8, 359, 1], [7, 400, 1], [6, 444, 1]]",etiology:61/1; physical:145/2; therapeutic:230/5; exams:317/3; therapeutic:359/1; differential:400/1; exams:444/1,2,0.4464285714285714,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 2, 'exams': 2, 'differential': 1, 'therapeutic': 4, 'used categories': 5, 'total annotations': 7, 'ideas': 7}",0,0,1,0,2,2,1,4,5,7,7,7.95,1,1,2,2,2,0,2,2,3,1,1,1,2,0,0,0,5.0
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,55,2.0,2.0,"[[1, 24, 3], [5, 171, 1]]",pathophysiology:24/3; physical:171/1,0,0.25,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",3,0,0,0,1,0,0,0,2,2,2,3.75,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2.0
07d6ac2c-07a0-437b-9747-bde9ac312d52,55,2.0,6.0,"[[1, 48, 1], [3, 48, 2], [1, 147, 5], [2, 325, 1], [1, 366, 2]]",pathophysiology:48/10; etiology:48/2; epidemiology:325/1; pathophysiology:366/2,1,0.28125,"{'pathophysiology': 8, 'epidemiology': 1, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 5, 'ideas': 4}",8,1,2,0,0,0,0,0,3,5,4,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
08abb5f3-9c74-40cc-b6be-3c733791e065,56,1.0,1.0,"[[4, 0, 1], [5, 5, 3], [1, 25, 1], [6, 77, 1], [1, 109, 1], [5, 109, 1]]",history:0/1; physical:5/5; pathophysiology:25/3; exams:77/1; pathophysiology:109/1; physical:109/1,2,0.3333333333333333,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 6, 'ideas': 5}",2,0,0,1,4,1,0,0,4,6,5,3.3,2,1,1,1,3,1,0,0,2,1,2,2,3,1,1,1,3.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 89, 2], [8, 250, 1]]",pathophysiology:41/1; exams:89/2; therapeutic:250/1,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,2,0,1,3,3,3,5.15,4,0,0,0,2,0,0,0,3,0,2,2,2,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 13, 1], [3, 65, 2], [2, 107, 1], [4, 144, 1], [8, 212, 1], [4, 258, 1], [5, 266, 1]]",pathophysiology:13/1; etiology:65/2; epidemiology:107/1; history:144/3; therapeutic:212/1; history:258/1; physical:266/1,1,0.6428571428571429,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 2, 'history': 2, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 7, 'ideas': 7}",1,1,2,2,1,0,0,1,6,7,7,4.45,3,2,1,1,4,2,2,2,2,2,0,0,4,2,2,2,2.0
0b038ba5-0369-4b28-adae-b158371edf18,81,3.0,6.0,"[[1, 2, 2], [2, 67, 1], [6, 123, 1], [1, 145, 1], [8, 262, 1], [5, 302, 1], [1, 353, 2], [6, 415, 1], [8, 504, 3]]",pathophysiology:2/8; epidemiology:67/1; exams:123/3; pathophysiology:145/1; therapeutic:262/7; physical:302/1; pathophysiology:353/2; exams:415/1; therapeutic:504/3,4,0.3472222222222222,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 5, 'total annotations': 9, 'ideas': 9}",5,1,0,0,1,2,0,4,5,9,9,7.05,1,2,2,2,2,0,1,1,3,2,2,2,2,0,0,0,6.0
0b4ea258-fcf0-4cfc-ba44-b3c94966f847,52,2.0,3.0,"[[1, 69, 2], [3, 176, 2], [2, 259, 2], [7, 329, 2]]",pathophysiology:69/2; etiology:176/2; epidemiology:259/2; differential:329/2,0,0.5,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 2, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",2,2,2,0,0,0,2,0,4,4,4,4.1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.0
0bb55430-44fe-4130-b501-0ceec95f3a77,74,2.0,5.0,"[[1, 21, 1], [3, 21, 4], [1, 185, 4], [4, 401, 3], [5, 527, 3], [2, 624, 1]]",pathophysiology:21/5; etiology:21/4; history:401/3; physical:527/3; epidemiology:624/1,0,0.625,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 4, 'history': 3, 'physical': 3, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 5}",5,1,4,3,3,0,0,0,5,6,5,6.2,3,2,1,1,1,2,0,0,1,2,0,0,1,2,2,2,5.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0,"[[1, 10, 1], [3, 84, 1], [2, 84, 1], [6, 141, 4], [1, 247, 9], [4, 247, 9], [8, 594, 5], [6, 697, 1], [8, 758, 3], [1, 890, 1], [3, 890, 1], [8, 946, 1]]",pathophysiology:10/21; epidemiology:84/1; etiology:84/3; exams:141/6; pathophysiology:247/9; history:247/9; therapeutic:594/11; exams:697/1; therapeutic:758/3; pathophysiology:890/1; etiology:890/1; therapeutic:946/1,5,0.4374999999999999,"{'pathophysiology': 11, 'epidemiology': 1, 'etiology': 2, 'history': 9, 'physical': 0, 'exams': 5, 'differential': 0, 'therapeutic': 9, 'used categories': 6, 'total annotations': 12, 'ideas': 9}",11,1,2,9,0,5,0,9,6,12,9,8.7,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,6.0
0d814185-f43e-4558-8cde-40e09dcacd32,55,2.0,4.0,"[[3, 0, 1], [4, 0, 1], [1, 73, 5], [3, 183, 1], [5, 222, 6], [6, 222, 6]]",etiology:0/3; history:0/1; pathophysiology:73/5; etiology:183/1; physical:222/6; exams:222/6,1,0.5208333333333334,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 2, 'history': 1, 'physical': 6, 'exams': 6, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",5,0,2,1,6,6,0,0,5,6,4,4.75,2,1,1,1,3,1,0,0,2,1,2,2,3,1,1,1,3.0
