annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [2, 84, 1], [5, 129, 6], [6, 303, 1], [8, 381, 1]]",pathophysiology:23/1; epidemiology:84/1; physical:129/6; exams:303/1; therapeutic:381/1,0,0.625,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 6, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,1,0,0,6,1,0,1,5,5,5,7.4,1,1,1,1,1,0,0,0,1,2,0,0,1,0,0,0,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[2, 82, 1], [1, 182, 6], [4, 418, 2], [5, 454, 5], [4, 743, 1], [6, 772, 3]]",epidemiology:82/1; pathophysiology:182/6; history:418/4; physical:454/5; history:743/1; exams:772/3,1,0.5208333333333334,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 3, 'physical': 5, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",6,1,0,3,5,3,0,0,5,6,6,6.85,3,2,1,1,2,1,0,0,3,2,0,0,2,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 0, 3]]",pathophysiology:0/3,0,0.125,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",3,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 72, 1], [4, 122, 2], [3, 179, 1]]",pathophysiology:72/1; history:122/2; etiology:179/1,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,1,2,0,0,0,0,3,3,3,4.1,2,0,0,0,2,1,0,0,2,0,0,0,2,1,1,1,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[1, 13, 1], [3, 29, 1], [4, 109, 4], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 384, 1], [1, 465, 1], [8, 530, 5]]",pathophysiology:13/5; etiology:29/1; history:109/4; physical:272/3; pathophysiology:311/1; physical:339/1; exams:384/1; pathophysiology:465/1; therapeutic:530/5,3,0.5,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",3,0,1,4,2,1,0,5,6,9,9,8.9,2,1,2,2,3,2,2,2,2,1,0,0,3,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[4, 0, 1], [1, 42, 1], [3, 42, 1], [4, 119, 2], [5, 119, 1], [8, 189, 2]]",history:0/5; pathophysiology:42/1; etiology:42/1; history:119/2; physical:119/1; therapeutic:189/2,1,0.5208333333333334,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",1,0,1,3,1,0,0,2,5,6,4,5.45,2,1,0,0,3,2,0,0,2,1,0,0,3,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[7, 21, 1], [3, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 1]]",differential:21/1; etiology:28/1; physical:59/1; pathophysiology:115/1; exams:141/1,0,0.625,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 1, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",1,0,1,0,1,1,1,0,5,5,5,3.4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 43, 2], [3, 66, 2], [1, 121, 2], [4, 184, 2], [1, 252, 2], [5, 307, 1], [4, 351, 1], [8, 397, 2], [2, 435, 1]]",epidemiology:43/4; etiology:66/2; pathophysiology:121/6; history:184/4; pathophysiology:252/2; physical:307/1; history:351/1; therapeutic:397/2; epidemiology:435/1,3,0.5,"{'pathophysiology': 4, 'epidemiology': 3, 'etiology': 2, 'history': 3, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 9, 'ideas': 9}",4,3,2,3,1,0,0,2,6,9,9,6.75,3,2,1,1,2,1,1,1,3,2,0,0,2,1,1,1,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 19, 1], [2, 19, 4]]",epidemiology:19/4; etiology:19/1,0,0.25,"{'pathophysiology': 0, 'epidemiology': 4, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 1}",0,4,1,0,0,0,0,0,2,2,1,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[4, 2, 1], [2, 106, 5], [3, 240, 2], [1, 338, 4], [4, 477, 1], [5, 494, 1], [6, 523, 1], [5, 568, 1], [4, 579, 3], [8, 692, 3]]",history:2/9; epidemiology:106/5; etiology:240/2; pathophysiology:338/4; history:477/1; physical:494/3; exams:523/1; physical:568/1; history:579/3; therapeutic:692/3,3,0.6124999999999999,"{'pathophysiology': 4, 'epidemiology': 5, 'etiology': 2, 'history': 5, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 10, 'ideas': 10}",4,5,2,5,2,1,0,3,7,10,10,8.1,3,2,2,2,3,2,1,1,3,2,0,0,3,2,2,2,6.0
