method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.1390963451579514,0.1682493575528822,0.547681576652139,3,0.0855005085468292,47.210495115073805,3,0.1998888552188873,78.78423408855781
kmeans 3 emb,0.1390963451579514,0.1682493575528822,0.547681576652139,3,0.0855005085468292,47.210495115073805,3,0.1998888552188873,78.78423408855781
kmeans cat,0.22632526092038208,0.2255842662062015,0.5072541669779569,3,0.2081497387438791,132.0279675940301,3,0.2343513910620606,175.72945340590124
kmeans 3 cat,0.22632526092038208,0.2255842662062015,0.5072541669779569,3,0.2081497387438791,132.0279675940301,3,0.2343513910620606,175.72945340590124
agg emb,0.09201908255407616,0.14642884727722652,0.5810639479131167,3,0.0693360120058059,44.04944598820306,3,0.1962779462337494,100.65702099614322
agg 3 emb,0.09201908255407616,0.14642884727722652,0.5810639479131167,3,0.0693360120058059,44.04944598820306,3,0.1962779462337494,100.65702099614322
agg cat,0.1266935167385481,0.19667437279671768,0.5012851720552293,3,0.1623286113699627,107.7990335073284,3,0.2281342505711031,156.52652477008445
agg 3 cat,0.1266935167385481,0.19667437279671768,0.5012851720552293,3,0.1623286113699627,107.7990335073284,3,0.2281342505711031,156.52652477008445
gmm emb,0.2350512773888903,0.16192158175902907,0.6443395447380159,3,0.1335705816745758,42.69597902476169,3,0.1864377409219741,78.72150924877002
gmm 3 emb,0.2350512773888903,0.16192158175902907,0.6443395447380159,3,0.1335705816745758,42.69597902476169,3,0.1864377409219741,78.72150924877002
gmm cat,0.1802210768723606,0.05074314200636259,0.7210086320167536,3,0.1273438575459814,17.67425970175014,3,0.1010328606247781,58.82702361414925
gmm 3 cat,0.1802210768723606,0.05074314200636259,0.7210086320167536,3,0.1273438575459814,17.67425970175014,3,0.1010328606247781,58.82702361414925
birch emb,0.21228741778556726,0.2162998885610676,0.5903302940049902,3,0.0790954604744911,39.64528415009516,3,0.1436555981636047,61.43230293177678
birch 3 emb,0.21228741778556726,0.2162998885610676,0.5903302940049902,3,0.0790954604744911,39.64528415009516,3,0.1436555981636047,61.43230293177678
birch cat,0.21228741778556726,0.2162998885610676,0.5903302940049902,3,0.0790954604744911,39.64528415009516,3,0.1436555981636047,61.43230293177678
birch 3 cat,0.21228741778556726,0.2162998885610676,0.5903302940049902,3,0.0790954604744911,39.64528415009516,3,0.1436555981636047,61.43230293177678
