method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,195,0,13,2.9641025641025642,2.322845657418777,3.0,0,4,0.12307692307692308,0.47104924472878157,0.0,0,4,1.1948717948717948,1.1810245242067121,1.0,0,6,0.5435897435897435,1.113134996998905,0.0,0,5,0.5846153846153846,1.0086068940734056,0.0,0,6,0.5435897435897435,1.0462980572650096,0.0,0,2,0.1076923076923077,0.3980523558946825,0.0,0,4,0.4666666666666667,0.9153145291566305,0.0,26,101,59.6,14.022956142307239,57.0,1.0,3.0,2.112820512820513,0.6239132767433646,2.0,1.0,8.0,3.825641025641026,1.73809914370837,4.0,2.2,8.95,4.892820512820514,1.2664585510125173,4.95,0.45404556166535753,0.018853102906520036,0.183032207384132,0.08326787117046348,0.08955223880597017,0.08326787117046348,0.01649646504320503,0.07148468185388847,1.0,6.0,3.2564102564102564,1.5879369472204725,3.0,35,35,36,43,26,20,
agg 3 cat,1,165,0,11,4.3090909090909095,2.5027257867445947,4.0,0,4,0.36363636363636365,0.6992235161226283,0.0,0,9,1.8727272727272728,1.4405437505044802,1.0,0,12,1.8242424242424242,2.1582273528814784,1.0,0,17,2.3212121212121213,2.5133494287646707,2.0,0,9,1.5575757575757576,1.5236009782328634,1.0,0,2,0.2727272727272727,0.5776702194880482,0.0,0,9,2.496969696969697,1.9896814379909862,2.0,17,100,70.56969696969696,13.522891270813611,70.0,1.0,4.0,2.5575757575757576,0.5880052591385344,3.0,2.0,8.0,5.672727272727273,1.2550562924098325,6.0,2.85,8.7,6.364848484848486,1.0670969314216585,6.35,0.28692493946731235,0.024213075060532687,0.12469733656174334,0.12146892655367231,0.15456012913640033,0.10371267150928168,0.018159806295399514,0.16626311541565778,1.0,6.0,4.430303030303031,1.2936252823083458,5.0,4,8,28,39,45,41,
agg 3 cat,2,56,1,19,7.535714285714286,3.765703052621048,7.5,0,6,0.6428571428571429,1.2421180068162374,0.0,0,7,2.642857142857143,1.6340532029679664,2.0,0,9,2.6785714285714284,1.9735260816126026,2.0,0,15,2.6785714285714284,2.961001936428355,2.0,0,6,2.4107142857142856,1.3853360040639393,2.0,0,5,0.7321428571428571,1.2719501337934371,0.0,0,15,6.321428571428571,3.673527622708886,6.0,43,103,79.125,13.416492564275982,80.5,2.0,4.0,2.9464285714285716,0.5852627337636211,3.0,3.0,9.0,6.928571428571429,1.3863902488397422,7.0,4.2,9.3,7.420535714285714,1.123338238778196,7.574999999999999,0.2938718662952647,0.025069637883008363,0.1030640668523677,0.10445682451253482,0.10445682451253482,0.09401114206128135,0.028551532033426186,0.2465181058495822,1.0,6.0,4.785714285714286,1.155450100638247,5.0,1,2,5,7,26,15,
agg 3 emb,0,114,0,13,3.8859649122807016,2.796200873719837,3.0,0,4,0.14035087719298245,0.5301058999635966,0.0,0,5,1.412280701754386,1.281670670695034,1.0,0,4,0.043859649122807015,0.38535929395441326,0.0,0,17,1.1754385964912282,2.2429658543165285,0.0,0,9,0.41228070175438597,1.1506935462247967,0.0,0,2,0.12280701754385964,0.444043186873445,0.0,0,7,0.08771929824561403,0.6856481141507218,0.0,26,94,57.40350877192982,12.848139081013061,55.5,1.0,3.0,2.0,0.6096568017575164,2.0,1.0,8.0,3.5526315789473686,1.7299654979584673,4.0,2.2,7.7,4.6464912280701745,1.2168019759167628,4.65,0.5337349397590361,0.019277108433734938,0.1939759036144578,0.006024096385542167,0.1614457831325301,0.05662650602409638,0.01686746987951807,0.012048192771084335,1.0,6.0,2.9649122807017543,1.4447330314145377,3.0,23,23,25,27,10,6,
agg 3 emb,1,14,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,101,67.35714285714286,17.140178362132474,67.5,1.0,3.0,2.142857142857143,0.7703288865196432,2.0,1.0,7.0,4.357142857142857,2.1699749327564155,6.0,2.6,7.55,5.546428571428571,1.6434560542338217,6.35,,,,,,,,,1.0,6.0,3.7857142857142856,2.0448272986535274,3.5,3,1,3,1,1,5,
agg 3 emb,2,288,0,19,4.402777777777778,3.023299636013799,4.0,0,6,0.3611111111111111,0.8016630024473107,0.0,0,9,1.8368055555555556,1.4713641316997828,1.0,0,12,1.9166666666666667,2.0034812907112376,1.0,0,15,1.78125,2.2346797430520033,1.0,0,6,1.5659722222222223,1.4539942915715196,1.0,0,5,0.3229166666666667,0.7581582994128883,0.0,0,15,2.9409722222222223,2.841943517019565,2.0,17,103,70.17361111111111,14.83701457667906,70.0,1.0,4.0,2.5729166666666665,0.6204099746017679,3.0,1.0,9.0,5.569444444444445,1.6322224765425515,6.0,2.8,9.3,6.293402777777777,1.3230435102020364,6.35,0.29102593527656645,0.023869635070002296,0.12141381684645398,0.12669267844847373,0.11774156529722286,0.10351159054395227,0.0213449621299059,0.19439981638742254,1.0,6.0,4.315972222222222,1.4071080478979412,5.0,14,21,41,61,86,65,
agg cat,0,195,0,13,2.9641025641025642,2.322845657418777,3.0,0,4,0.12307692307692308,0.47104924472878157,0.0,0,4,1.1948717948717948,1.1810245242067121,1.0,0,6,0.5435897435897435,1.113134996998905,0.0,0,5,0.5846153846153846,1.0086068940734056,0.0,0,6,0.5435897435897435,1.0462980572650096,0.0,0,2,0.1076923076923077,0.3980523558946825,0.0,0,4,0.4666666666666667,0.9153145291566305,0.0,26,101,59.6,14.022956142307239,57.0,1.0,3.0,2.112820512820513,0.6239132767433646,2.0,1.0,8.0,3.825641025641026,1.73809914370837,4.0,2.2,8.95,4.892820512820514,1.2664585510125173,4.95,0.45404556166535753,0.018853102906520036,0.183032207384132,0.08326787117046348,0.08955223880597017,0.08326787117046348,0.01649646504320503,0.07148468185388847,1.0,6.0,3.2564102564102564,1.5879369472204725,3.0,35,35,36,43,26,20,
agg cat,1,165,0,11,4.3090909090909095,2.5027257867445947,4.0,0,4,0.36363636363636365,0.6992235161226283,0.0,0,9,1.8727272727272728,1.4405437505044802,1.0,0,12,1.8242424242424242,2.1582273528814784,1.0,0,17,2.3212121212121213,2.5133494287646707,2.0,0,9,1.5575757575757576,1.5236009782328634,1.0,0,2,0.2727272727272727,0.5776702194880482,0.0,0,9,2.496969696969697,1.9896814379909862,2.0,17,100,70.56969696969696,13.522891270813611,70.0,1.0,4.0,2.5575757575757576,0.5880052591385344,3.0,2.0,8.0,5.672727272727273,1.2550562924098325,6.0,2.85,8.7,6.364848484848486,1.0670969314216585,6.35,0.28692493946731235,0.024213075060532687,0.12469733656174334,0.12146892655367231,0.15456012913640033,0.10371267150928168,0.018159806295399514,0.16626311541565778,1.0,6.0,4.430303030303031,1.2936252823083458,5.0,4,8,28,39,45,41,
agg cat,2,56,1,19,7.535714285714286,3.765703052621048,7.5,0,6,0.6428571428571429,1.2421180068162374,0.0,0,7,2.642857142857143,1.6340532029679664,2.0,0,9,2.6785714285714284,1.9735260816126026,2.0,0,15,2.6785714285714284,2.961001936428355,2.0,0,6,2.4107142857142856,1.3853360040639393,2.0,0,5,0.7321428571428571,1.2719501337934371,0.0,0,15,6.321428571428571,3.673527622708886,6.0,43,103,79.125,13.416492564275982,80.5,2.0,4.0,2.9464285714285716,0.5852627337636211,3.0,3.0,9.0,6.928571428571429,1.3863902488397422,7.0,4.2,9.3,7.420535714285714,1.123338238778196,7.574999999999999,0.2938718662952647,0.025069637883008363,0.1030640668523677,0.10445682451253482,0.10445682451253482,0.09401114206128135,0.028551532033426186,0.2465181058495822,1.0,6.0,4.785714285714286,1.155450100638247,5.0,1,2,5,7,26,15,
agg emb,0,114,0,13,3.8859649122807016,2.796200873719837,3.0,0,4,0.14035087719298245,0.5301058999635966,0.0,0,5,1.412280701754386,1.281670670695034,1.0,0,4,0.043859649122807015,0.38535929395441326,0.0,0,17,1.1754385964912282,2.2429658543165285,0.0,0,9,0.41228070175438597,1.1506935462247967,0.0,0,2,0.12280701754385964,0.444043186873445,0.0,0,7,0.08771929824561403,0.6856481141507218,0.0,26,94,57.40350877192982,12.848139081013061,55.5,1.0,3.0,2.0,0.6096568017575164,2.0,1.0,8.0,3.5526315789473686,1.7299654979584673,4.0,2.2,7.7,4.6464912280701745,1.2168019759167628,4.65,0.5337349397590361,0.019277108433734938,0.1939759036144578,0.006024096385542167,0.1614457831325301,0.05662650602409638,0.01686746987951807,0.012048192771084335,1.0,6.0,2.9649122807017543,1.4447330314145377,3.0,23,23,25,27,10,6,
agg emb,1,14,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,101,67.35714285714286,17.140178362132474,67.5,1.0,3.0,2.142857142857143,0.7703288865196432,2.0,1.0,7.0,4.357142857142857,2.1699749327564155,6.0,2.6,7.55,5.546428571428571,1.6434560542338217,6.35,,,,,,,,,1.0,6.0,3.7857142857142856,2.0448272986535274,3.5,3,1,3,1,1,5,
agg emb,2,288,0,19,4.402777777777778,3.023299636013799,4.0,0,6,0.3611111111111111,0.8016630024473107,0.0,0,9,1.8368055555555556,1.4713641316997828,1.0,0,12,1.9166666666666667,2.0034812907112376,1.0,0,15,1.78125,2.2346797430520033,1.0,0,6,1.5659722222222223,1.4539942915715196,1.0,0,5,0.3229166666666667,0.7581582994128883,0.0,0,15,2.9409722222222223,2.841943517019565,2.0,17,103,70.17361111111111,14.83701457667906,70.0,1.0,4.0,2.5729166666666665,0.6204099746017679,3.0,1.0,9.0,5.569444444444445,1.6322224765425515,6.0,2.8,9.3,6.293402777777777,1.3230435102020364,6.35,0.29102593527656645,0.023869635070002296,0.12141381684645398,0.12669267844847373,0.11774156529722286,0.10351159054395227,0.0213449621299059,0.19439981638742254,1.0,6.0,4.315972222222222,1.4071080478979412,5.0,14,21,41,61,86,65,
birch 3 cat,0,41,0,12,2.1707317073170733,2.6823724482665554,2.0,0,0,0.0,0.0,0.0,0,3,0.1951219512195122,0.6410737943139602,0.0,0,6,0.21951219512195122,0.9877295966495894,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,101,59.390243902439025,14.46526537741442,55.0,1.0,3.0,2.073170731707317,0.6852095994087878,2.0,1.0,8.0,3.6097560975609757,2.1316431312544757,3.0,2.6,7.7,4.774390243902438,1.6072150583859144,4.3,0.8396226415094339,0.0,0.07547169811320753,0.08490566037735847,0.0,0.0,0.0,0.0,1.0,6.0,2.926829268292683,1.7942999178292216,2.0,13,8,3,8,4,5,
birch 3 cat,1,90,0,13,3.933333333333333,2.867093426992068,4.0,0,4,0.17777777777777778,0.5916607321536008,0.0,0,5,1.7,1.2311500059207452,1.0,0,4,0.05555555555555555,0.4334629595805621,0.0,0,17,1.488888888888889,2.4322017788690116,1.0,0,9,0.5222222222222223,1.2740079002257814,0.0,0,2,0.15555555555555556,0.49517018096292553,0.0,0,7,0.1111111111111111,0.7708807810075704,0.0,26,94,58.25555555555555,13.224561003407029,57.0,1.0,3.0,2.0,0.5996253511966891,2.0,1.0,8.0,3.7111111111111112,1.6843259208776444,4.0,2.2,7.7,4.7683333333333335,1.1643933174631362,4.925000000000001,0.4829467939972715,0.0218281036834925,0.208731241473397,0.0068212824010914054,0.18281036834924969,0.06412005457025921,0.019099590723055938,0.013642564802182811,1.0,6.0,3.1222222222222222,1.38878151894594,3.0,13,17,25,22,7,6,
birch 3 cat,2,285,0,19,4.4491228070175435,3.0049913176866907,4.0,0,6,0.3649122807017544,0.8050219199338651,0.0,0,9,1.856140350877193,1.4668901597582722,1.0,0,12,1.9052631578947368,1.9986281432902866,1.0,0,15,1.8,2.2389006356553742,1.0,0,6,1.5824561403508772,1.4526715077791055,1.0,0,5,0.3263157894736842,0.7614215568591514,0.0,0,15,2.9719298245614034,2.8407097398438954,2.0,17,103,70.2421052631579,14.878178407834726,70.0,1.0,4.0,2.575438596491228,0.6213005163394416,3.0,1.0,9.0,5.571929824561403,1.6204844504693634,6.0,2.8,9.3,6.298070175438597,1.3187254284427257,6.35,0.2916283348666053,0.02391904323827047,0.1216651333946642,0.124885004599816,0.11798528058877644,0.10372585096596136,0.02138914443422263,0.1948022079116835,1.0,6.0,4.326315789473684,1.4075408477035545,5.0,14,20,41,59,86,65,
birch 3 emb,0,41,0,12,2.1707317073170733,2.6823724482665554,2.0,0,0,0.0,0.0,0.0,0,3,0.1951219512195122,0.6410737943139602,0.0,0,6,0.21951219512195122,0.9877295966495894,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,101,59.390243902439025,14.46526537741442,55.0,1.0,3.0,2.073170731707317,0.6852095994087878,2.0,1.0,8.0,3.6097560975609757,2.1316431312544757,3.0,2.6,7.7,4.774390243902438,1.6072150583859144,4.3,0.8396226415094339,0.0,0.07547169811320753,0.08490566037735847,0.0,0.0,0.0,0.0,1.0,6.0,2.926829268292683,1.7942999178292216,2.0,13,8,3,8,4,5,
birch 3 emb,1,90,0,13,3.933333333333333,2.867093426992068,4.0,0,4,0.17777777777777778,0.5916607321536008,0.0,0,5,1.7,1.2311500059207452,1.0,0,4,0.05555555555555555,0.4334629595805621,0.0,0,17,1.488888888888889,2.4322017788690116,1.0,0,9,0.5222222222222223,1.2740079002257814,0.0,0,2,0.15555555555555556,0.49517018096292553,0.0,0,7,0.1111111111111111,0.7708807810075704,0.0,26,94,58.25555555555555,13.224561003407029,57.0,1.0,3.0,2.0,0.5996253511966891,2.0,1.0,8.0,3.7111111111111112,1.6843259208776444,4.0,2.2,7.7,4.7683333333333335,1.1643933174631362,4.925000000000001,0.4829467939972715,0.0218281036834925,0.208731241473397,0.0068212824010914054,0.18281036834924969,0.06412005457025921,0.019099590723055938,0.013642564802182811,1.0,6.0,3.1222222222222222,1.38878151894594,3.0,13,17,25,22,7,6,
birch 3 emb,2,285,0,19,4.4491228070175435,3.0049913176866907,4.0,0,6,0.3649122807017544,0.8050219199338651,0.0,0,9,1.856140350877193,1.4668901597582722,1.0,0,12,1.9052631578947368,1.9986281432902866,1.0,0,15,1.8,2.2389006356553742,1.0,0,6,1.5824561403508772,1.4526715077791055,1.0,0,5,0.3263157894736842,0.7614215568591514,0.0,0,15,2.9719298245614034,2.8407097398438954,2.0,17,103,70.2421052631579,14.878178407834726,70.0,1.0,4.0,2.575438596491228,0.6213005163394416,3.0,1.0,9.0,5.571929824561403,1.6204844504693634,6.0,2.8,9.3,6.298070175438597,1.3187254284427257,6.35,0.2916283348666053,0.02391904323827047,0.1216651333946642,0.124885004599816,0.11798528058877644,0.10372585096596136,0.02138914443422263,0.1948022079116835,1.0,6.0,4.326315789473684,1.4075408477035545,5.0,14,20,41,59,86,65,
birch cat,0,41,0,12,2.1707317073170733,2.6823724482665554,2.0,0,0,0.0,0.0,0.0,0,3,0.1951219512195122,0.6410737943139602,0.0,0,6,0.21951219512195122,0.9877295966495894,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,101,59.390243902439025,14.46526537741442,55.0,1.0,3.0,2.073170731707317,0.6852095994087878,2.0,1.0,8.0,3.6097560975609757,2.1316431312544757,3.0,2.6,7.7,4.774390243902438,1.6072150583859144,4.3,0.8396226415094339,0.0,0.07547169811320753,0.08490566037735847,0.0,0.0,0.0,0.0,1.0,6.0,2.926829268292683,1.7942999178292216,2.0,13,8,3,8,4,5,
birch cat,1,90,0,13,3.933333333333333,2.867093426992068,4.0,0,4,0.17777777777777778,0.5916607321536008,0.0,0,5,1.7,1.2311500059207452,1.0,0,4,0.05555555555555555,0.4334629595805621,0.0,0,17,1.488888888888889,2.4322017788690116,1.0,0,9,0.5222222222222223,1.2740079002257814,0.0,0,2,0.15555555555555556,0.49517018096292553,0.0,0,7,0.1111111111111111,0.7708807810075704,0.0,26,94,58.25555555555555,13.224561003407029,57.0,1.0,3.0,2.0,0.5996253511966891,2.0,1.0,8.0,3.7111111111111112,1.6843259208776444,4.0,2.2,7.7,4.7683333333333335,1.1643933174631362,4.925000000000001,0.4829467939972715,0.0218281036834925,0.208731241473397,0.0068212824010914054,0.18281036834924969,0.06412005457025921,0.019099590723055938,0.013642564802182811,1.0,6.0,3.1222222222222222,1.38878151894594,3.0,13,17,25,22,7,6,
birch cat,2,285,0,19,4.4491228070175435,3.0049913176866907,4.0,0,6,0.3649122807017544,0.8050219199338651,0.0,0,9,1.856140350877193,1.4668901597582722,1.0,0,12,1.9052631578947368,1.9986281432902866,1.0,0,15,1.8,2.2389006356553742,1.0,0,6,1.5824561403508772,1.4526715077791055,1.0,0,5,0.3263157894736842,0.7614215568591514,0.0,0,15,2.9719298245614034,2.8407097398438954,2.0,17,103,70.2421052631579,14.878178407834726,70.0,1.0,4.0,2.575438596491228,0.6213005163394416,3.0,1.0,9.0,5.571929824561403,1.6204844504693634,6.0,2.8,9.3,6.298070175438597,1.3187254284427257,6.35,0.2916283348666053,0.02391904323827047,0.1216651333946642,0.124885004599816,0.11798528058877644,0.10372585096596136,0.02138914443422263,0.1948022079116835,1.0,6.0,4.326315789473684,1.4075408477035545,5.0,14,20,41,59,86,65,
birch emb,0,41,0,12,2.1707317073170733,2.6823724482665554,2.0,0,0,0.0,0.0,0.0,0,3,0.1951219512195122,0.6410737943139602,0.0,0,6,0.21951219512195122,0.9877295966495894,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,101,59.390243902439025,14.46526537741442,55.0,1.0,3.0,2.073170731707317,0.6852095994087878,2.0,1.0,8.0,3.6097560975609757,2.1316431312544757,3.0,2.6,7.7,4.774390243902438,1.6072150583859144,4.3,0.8396226415094339,0.0,0.07547169811320753,0.08490566037735847,0.0,0.0,0.0,0.0,1.0,6.0,2.926829268292683,1.7942999178292216,2.0,13,8,3,8,4,5,
birch emb,1,90,0,13,3.933333333333333,2.867093426992068,4.0,0,4,0.17777777777777778,0.5916607321536008,0.0,0,5,1.7,1.2311500059207452,1.0,0,4,0.05555555555555555,0.4334629595805621,0.0,0,17,1.488888888888889,2.4322017788690116,1.0,0,9,0.5222222222222223,1.2740079002257814,0.0,0,2,0.15555555555555556,0.49517018096292553,0.0,0,7,0.1111111111111111,0.7708807810075704,0.0,26,94,58.25555555555555,13.224561003407029,57.0,1.0,3.0,2.0,0.5996253511966891,2.0,1.0,8.0,3.7111111111111112,1.6843259208776444,4.0,2.2,7.7,4.7683333333333335,1.1643933174631362,4.925000000000001,0.4829467939972715,0.0218281036834925,0.208731241473397,0.0068212824010914054,0.18281036834924969,0.06412005457025921,0.019099590723055938,0.013642564802182811,1.0,6.0,3.1222222222222222,1.38878151894594,3.0,13,17,25,22,7,6,
birch emb,2,285,0,19,4.4491228070175435,3.0049913176866907,4.0,0,6,0.3649122807017544,0.8050219199338651,0.0,0,9,1.856140350877193,1.4668901597582722,1.0,0,12,1.9052631578947368,1.9986281432902866,1.0,0,15,1.8,2.2389006356553742,1.0,0,6,1.5824561403508772,1.4526715077791055,1.0,0,5,0.3263157894736842,0.7614215568591514,0.0,0,15,2.9719298245614034,2.8407097398438954,2.0,17,103,70.2421052631579,14.878178407834726,70.0,1.0,4.0,2.575438596491228,0.6213005163394416,3.0,1.0,9.0,5.571929824561403,1.6204844504693634,6.0,2.8,9.3,6.298070175438597,1.3187254284427257,6.35,0.2916283348666053,0.02391904323827047,0.1216651333946642,0.124885004599816,0.11798528058877644,0.10372585096596136,0.02138914443422263,0.1948022079116835,1.0,6.0,4.326315789473684,1.4075408477035545,5.0,14,20,41,59,86,65,
