method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.1985691487789154,78.85585507546007
kmeans 3 emb,3,0.1985691487789154,78.85585507546007
kmeans cat,3,0.23429856131375265,175.73645466288775
kmeans 3 cat,3,0.23429856131375265,175.73645466288775
agg emb,3,0.1962779313325882,100.65700955159797
agg 3 emb,3,0.1962779313325882,100.65700955159797
agg cat,3,0.22813425057110315,156.52652477008445
agg 3 cat,3,0.22813425057110315,156.52652477008445
gmm emb,3,0.19772687554359436,78.85428217930979
gmm 3 emb,3,0.19772687554359436,78.85428217930979
gmm cat,3,-0.0021713835138915064,36.39098368653621
gmm 3 cat,3,-0.0021713835138915064,36.39098368653621
birch emb,3,0.14365559816360474,61.43230671989128
birch 3 emb,3,0.14365559816360474,61.43230671989128
birch cat,3,0.14365559816360474,61.43230671989128
birch 3 cat,3,0.14365559816360474,61.43230671989128
