method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.13790271682067967,0.19734891185522774,0.48326030838391665,3,0.0855005085468292,47.210495115073805,3,0.1011433154344558,44.83282077525098
kmeans 3 emb,0.13790271682067967,0.19734891185522774,0.48326030838391665,3,0.0855005085468292,47.210495115073805,3,0.1011433154344558,44.83282077525098
kmeans cat,0.18724715315181434,0.25738541919894337,0.40601612636387435,3,0.2081497387438791,132.0279675940301,7,0.2136676657288349,87.27980991666563
kmeans 3 cat,0.24150263972899502,0.25620614560287,0.5099270024465392,3,0.2081497387438791,132.0279675940301,3,0.1969474321466297,123.01538434230604
agg emb,0.09241592364024966,0.1533838464597063,0.5140565016755618,3,0.0693360120058059,44.04944598820306,3,0.0839595422148704,41.77990424130901
agg 3 emb,0.09241592364024966,0.1533838464597063,0.5140565016755618,3,0.0693360120058059,44.04944598820306,3,0.0839595422148704,41.77990424130901
agg cat,0.17063812384930796,0.26708047031052534,0.44107840145454175,3,0.1623286113699627,107.7990335073284,7,0.1550680656991093,71.24036816774974
agg 3 cat,0.23605742898401935,0.22708787649902842,0.5663100757734205,3,0.1623286113699627,107.7990335073284,3,0.1680395218379914,102.933509420315
gmm emb,0.22073240643272135,0.2209943938678777,0.5891688733152414,3,0.1335705816745758,42.69597902476169,3,0.1014509946107864,44.73125005209471
gmm 3 emb,0.22073240643272135,0.2209943938678777,0.5891688733152414,3,0.1335705816745758,42.69597902476169,3,0.1014509946107864,44.73125005209471
gmm cat,0.08212595734073916,0.08346530746482297,0.5104642449943889,3,0.1273438575459814,17.67425970175014,7,0.0476657035258743,32.17335493536611
gmm 3 cat,0.1110750173874426,0.12661772022945253,0.605209985989064,3,0.1273438575459814,17.67425970175014,3,0.1009669343858395,60.16938944299351
birch emb,0.12395246895045928,0.18819434524764997,0.49534279745804166,3,0.0790954604744911,39.64528415009516,3,0.0839595422148704,41.77990424130901
birch 3 emb,0.12395246895045928,0.18819434524764997,0.49534279745804166,3,0.0790954604744911,39.64528415009516,3,0.0839595422148704,41.77990424130901
birch cat,0.11853383292414102,0.2122714548401597,0.3688533412681166,3,0.0790954604744911,39.64528415009516,7,0.0540562681853771,26.067500929707787
birch 3 cat,0.12395246895045928,0.18819434524764997,0.49534279745804166,3,0.0790954604744911,39.64528415009516,3,0.0839595422148704,41.77990424130901
