method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.11398358643054962,39.46385974423748
kmeans 3 emb,3,0.11398358643054962,39.46385974423748
kmeans cat,3,0.19658629042265816,133.51760005221553
kmeans 3 cat,3,0.19658629042265816,133.51760005221553
agg emb,3,0.06757421046495438,35.47408841409296
agg 3 emb,3,0.06757421046495438,35.47408841409296
agg cat,3,0.16695235237939376,109.35901267233054
agg 3 cat,3,0.16695235237939376,109.35901267233054
gmm emb,3,0.07035358995199203,37.481344978738626
gmm 3 emb,3,0.07035358995199203,37.481344978738626
gmm cat,3,0.06376990853167717,31.889860044510154
gmm 3 cat,3,0.06376990853167717,31.889860044510154
birch emb,3,0.07756896317005157,36.17949130072974
birch 3 emb,3,0.07756896317005157,36.17949130072974
birch cat,3,0.07756896317005157,36.17949130072974
birch 3 cat,3,0.07756896317005157,36.17949130072974
