method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,93,0,14,4.827956989247312,2.9986361244448476,4.0,0,4,0.8602150537634409,1.0993219041306126,0.0,0,9,0.5698924731182796,1.2014289450697548,0.0,0,6,0.978494623655914,1.4140482636100529,0.0,0,4,0.5161290322580645,0.9396218391251921,0.0,0,5,0.25806451612903225,0.7926733222409005,0.0,0,2,0.03225806451612903,0.2308591186824161,0.0,0,7,0.34408602150537637,0.9382525808988481,0.0,26,92,56.25806451612903,13.613375157164567,53.0,1.0,3.0,1.924731182795699,0.5755254525362574,2.0,1.0,7.0,3.2903225806451615,1.6588409072844277,3.0,2.2,7.35,4.458064516129032,1.164074794086363,4.35,0.5756410256410256,0.10256410256410255,0.06794871794871794,0.11666666666666665,0.06153846153846153,0.030769230769230764,0.0038461538461538455,0.04102564102564102,1.0,6.0,2.6774193548387095,1.5545255834566758,2.0,27,24,13,17,5,7,
agg 3 cat,1,221,0,8,2.723981900452489,1.773751668495088,3.0,0,7,1.5656108597285068,1.462094765200598,1.0,0,5,0.7330316742081447,1.0208037581379443,0.0,0,13,2.1900452488687785,2.0315892788512264,2.0,0,10,2.0271493212669682,1.8559941027438611,2.0,0,8,1.248868778280543,1.409887515169158,1.0,0,2,0.1085972850678733,0.36552369130014906,0.0,0,7,1.751131221719457,1.8331694079263767,1.0,17,100,65.43438914027149,13.739177334531341,65.0,1.0,4.0,2.420814479638009,0.5794364558213797,2.0,1.0,9.0,4.959276018099548,1.5559759932754516,5.0,2.6,8.95,5.751357466063348,1.2161313340413467,5.75,0.22059362403810923,0.12678636863319898,0.059362403810919756,0.17735434224990843,0.1641626969585929,0.10113594723341884,0.008794430194210334,0.14181018688164165,1.0,6.0,4.009049773755656,1.3750733872192364,4.0,11,21,43,61,50,35,
agg 3 cat,2,102,0,12,3.0392156862745097,2.0581716803731704,3.0,0,6,1.7745098039215685,1.2500048534170969,2.0,0,7,1.196078431372549,1.3862065601673432,1.0,0,11,3.0294117647058822,1.9973045318948126,3.0,0,12,2.588235294117647,2.94286497833696,2.0,0,8,2.676470588235294,1.5992681785889367,2.0,0,4,0.23529411764705882,0.7335856680990323,0.0,0,21,5.990196078431373,4.0504127598960835,5.0,46,103,78.47058823529412,12.50006406506588,80.0,1.0,4.0,2.7941176470588234,0.6798112040492155,3.0,2.0,9.0,6.549019607843137,1.4045713977911263,7.0,3.6,9.3,7.198039215686275,1.0440762075441499,7.2,0.14804202483285578,0.08643744030563515,0.05826170009551099,0.14756446991404013,0.12607449856733527,0.1303724928366762,0.011461318051575933,0.2917860553963706,1.0,6.0,4.892156862745098,1.1249366340358906,5.0,2,0,13,11,42,34,
agg 3 emb,0,103,0,14,3.407766990291262,2.479076730432171,3.0,0,7,1.0485436893203883,1.3531273926425362,1.0,0,9,0.7184466019417476,1.3606333280841114,0.0,0,2,0.04854368932038835,0.2930114357903163,0.0,0,9,1.1359223300970873,1.765955519221541,0.0,0,8,0.9611650485436893,1.6857088466366794,0.0,0,2,0.08737864077669903,0.34603627024291067,0.0,0,21,1.4466019417475728,3.1676308810875877,0.0,32,100,59.650485436893206,15.035062770309231,55.0,1.0,4.0,2.0776699029126213,0.6815397847542952,2.0,1.0,9.0,3.6310679611650487,2.057936770223506,3.0,2.6,9.3,4.798058252427184,1.5079027496678092,4.6,0.38486842105263147,0.11842105263157893,0.08114035087719297,0.005482456140350876,0.1282894736842105,0.10855263157894736,0.009868421052631578,0.16337719298245612,1.0,6.0,3.1067961165048543,1.7315561478964823,3.0,26,19,14,19,12,13,
agg 3 emb,1,238,0,11,3.134453781512605,2.2815509187614564,3.0,0,6,1.4243697478991597,1.2497065570538548,1.0,0,4,0.7689075630252101,1.027655387177473,0.0,1,13,2.697478991596639,1.8027387596159825,2.0,0,12,2.5252100840336134,2.1887213186083763,2.0,0,7,1.3949579831932772,1.5106847995621027,1.0,0,1,0.046218487394957986,0.21040042834436296,0.0,0,19,2.1848739495798317,2.92080096105271,1.0,26,103,67.47478991596638,14.72208776292066,68.0,1.0,4.0,2.495798319327731,0.6347722882163792,3.0,1.0,9.0,5.390756302521009,1.5733268037824175,6.0,2.2,8.95,6.069117647058823,1.3174030115957414,6.15,0.2211025489033788,0.1004742145820984,0.054238292827504454,0.19027860106698283,0.17812685240071133,0.0983995257854179,0.003260225251926497,0.15411973918197983,1.0,6.0,4.033613445378151,1.359031506167229,4.0,12,20,48,61,62,35,
agg 3 emb,2,75,0,12,3.52,2.2442719881415343,3.0,0,7,2.1333333333333333,1.5451172730208493,2.0,0,7,1.0666666666666667,1.3389521249069325,1.0,1,11,3.16,2.079760901018529,3.0,0,10,0.56,1.6541512071803512,0.0,0,8,1.8933333333333333,1.5472148764389104,2.0,0,4,0.41333333333333333,0.9018499505645787,0.0,0,14,4.8133333333333335,3.0566424493327746,4.0,17,100,73.25333333333333,14.740176145243066,75.0,1.0,4.0,2.546666666666667,0.6429100507328637,3.0,1.0,9.0,5.506666666666667,1.7810817646172936,5.0,2.8,8.95,6.4159999999999995,1.351429673405968,6.4,0.20045558086560367,0.12148823082763859,0.06074411541381929,0.17995444191343965,0.03189066059225513,0.10782080485952925,0.023538344722854977,0.27410782080485957,1.0,6.0,4.72,1.4003860471602392,5.0,2,6,7,9,23,28,
agg cat,0,93,0,14,4.827956989247312,2.9986361244448476,4.0,0,4,0.8602150537634409,1.0993219041306126,0.0,0,9,0.5698924731182796,1.2014289450697548,0.0,0,6,0.978494623655914,1.4140482636100529,0.0,0,4,0.5161290322580645,0.9396218391251921,0.0,0,5,0.25806451612903225,0.7926733222409005,0.0,0,2,0.03225806451612903,0.2308591186824161,0.0,0,7,0.34408602150537637,0.9382525808988481,0.0,26,92,56.25806451612903,13.613375157164567,53.0,1.0,3.0,1.924731182795699,0.5755254525362574,2.0,1.0,7.0,3.2903225806451615,1.6588409072844277,3.0,2.2,7.35,4.458064516129032,1.164074794086363,4.35,0.5756410256410256,0.10256410256410255,0.06794871794871794,0.11666666666666665,0.06153846153846153,0.030769230769230764,0.0038461538461538455,0.04102564102564102,1.0,6.0,2.6774193548387095,1.5545255834566758,2.0,27,24,13,17,5,7,
agg cat,1,221,0,8,2.723981900452489,1.773751668495088,3.0,0,7,1.5656108597285068,1.462094765200598,1.0,0,5,0.7330316742081447,1.0208037581379443,0.0,0,13,2.1900452488687785,2.0315892788512264,2.0,0,10,2.0271493212669682,1.8559941027438611,2.0,0,8,1.248868778280543,1.409887515169158,1.0,0,2,0.1085972850678733,0.36552369130014906,0.0,0,7,1.751131221719457,1.8331694079263767,1.0,17,100,65.43438914027149,13.739177334531341,65.0,1.0,4.0,2.420814479638009,0.5794364558213797,2.0,1.0,9.0,4.959276018099548,1.5559759932754516,5.0,2.6,8.95,5.751357466063348,1.2161313340413467,5.75,0.22059362403810923,0.12678636863319898,0.059362403810919756,0.17735434224990843,0.1641626969585929,0.10113594723341884,0.008794430194210334,0.14181018688164165,1.0,6.0,4.009049773755656,1.3750733872192364,4.0,11,21,43,61,50,35,
agg cat,2,102,0,12,3.0392156862745097,2.0581716803731704,3.0,0,6,1.7745098039215685,1.2500048534170969,2.0,0,7,1.196078431372549,1.3862065601673432,1.0,0,11,3.0294117647058822,1.9973045318948126,3.0,0,12,2.588235294117647,2.94286497833696,2.0,0,8,2.676470588235294,1.5992681785889367,2.0,0,4,0.23529411764705882,0.7335856680990323,0.0,0,21,5.990196078431373,4.0504127598960835,5.0,46,103,78.47058823529412,12.50006406506588,80.0,1.0,4.0,2.7941176470588234,0.6798112040492155,3.0,2.0,9.0,6.549019607843137,1.4045713977911263,7.0,3.6,9.3,7.198039215686275,1.0440762075441499,7.2,0.14804202483285578,0.08643744030563515,0.05826170009551099,0.14756446991404013,0.12607449856733527,0.1303724928366762,0.011461318051575933,0.2917860553963706,1.0,6.0,4.892156862745098,1.1249366340358906,5.0,2,0,13,11,42,34,
agg emb,0,35,0,14,3.6857142857142855,2.84678795850205,3.0,0,4,0.8,1.2078176722551153,0.0,0,9,0.6571428571428571,1.6259451033142522,0.0,0,0,0.0,0.0,0.0,0,3,0.08571428571428572,0.5070925528371101,0.0,0,0,0.0,0.0,0.0,0,1,0.02857142857142857,0.16903085094570333,0.0,0,5,0.14285714285714285,0.8451542547285164,0.0,32,92,56.371428571428574,14.626900508562809,53.0,1.0,3.0,1.7714285714285714,0.5469549011258116,2.0,1.0,5.0,2.4285714285714284,1.2434703403760614,2.0,2.6,6.1,4.032857142857143,0.9799416892273306,4.05,0.6825396825396824,0.14814814814814814,0.12169312169312169,0.0,0.015873015873015872,0.0,0.005291005291005291,0.02645502645502645,1.0,6.0,2.7142857142857144,1.6728177807911695,2.0,11,9,3,6,3,3,
