method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,215,0,12,3.911627906976744,2.527716388615155,3.0,0,8,1.0093023255813953,1.27150913967784,1.0,0,9,0.7627906976744186,1.1975487533856348,0.0,0,5,1.1767441860465115,1.2591417506667453,1.0,0,7,1.213953488372093,1.5946143874164482,1.0,0,4,0.48372093023255813,0.9163443809834164,0.0,0,3,0.08837209302325581,0.35730644870052697,0.0,0,7,0.8837209302325582,1.4405558105299034,0.0,17,99,59.70697674418604,13.618043887500386,58.0,1.0,3.0,2.130232558139535,0.5814640255026144,2.0,1.0,7.0,3.855813953488372,1.6356573352924428,4.0,2.2,7.9,4.913255813953489,1.2263552886771873,4.95,0.4104441190824793,0.1059053196681308,0.08003904343582235,0.12347486578818936,0.1273792093704246,0.05075646656905808,0.009272816007808687,0.09272816007808687,1.0,6.0,3.186046511627907,1.5566531008324338,3.0,38,42,44,44,27,20,
agg 3 cat,1,55,0,13,4.763636363636364,2.6802683417595308,5.0,0,8,2.109090909090909,1.7285481734330659,2.0,0,6,1.7636363636363637,1.4777815751451173,2.0,0,12,3.0545454545454547,2.239528569920066,3.0,1,16,4.909090909090909,3.3348481406523027,4.0,0,6,2.418181818181818,1.6520571809997777,2.0,0,5,0.45454545454545453,0.8780909810741547,0.0,0,10,3.1636363636363636,2.671964434530134,3.0,43,100,72.56363636363636,14.24879934690228,72.0,1.0,4.0,2.6545454545454548,0.6996872798345627,3.0,4.0,9.0,6.345454545454546,1.4170676794284764,6.0,4.45,9.3,6.800909090909091,1.2013299308240026,6.6,0.21044176706827308,0.0931726907630522,0.07791164658634538,0.13493975903614458,0.21686746987951808,0.10682730923694778,0.020080321285140562,0.1397590361445783,2.0,6.0,4.363636363636363,1.0948302145324627,5.0,0,1,15,10,21,8,
agg 3 cat,2,146,0,7,2.23972602739726,1.594407443796956,2.0,0,8,1.86986301369863,1.3859576479081146,2.0,0,4,0.8561643835616438,1.0304985470879167,1.0,0,14,3.7054794520547945,2.3198329553987667,3.0,0,7,1.452054794520548,1.5361492015395677,1.0,0,8,2.328767123287671,1.7184980974419686,2.0,0,3,0.2602739726027397,0.6220632468182324,0.0,0,18,4.472602739726027,3.601140059863135,4.0,36,103,74.44520547945206,13.689175598924015,76.0,1.0,4.0,2.7054794520547945,0.623314922553855,3.0,1.0,9.0,6.109589041095891,1.3397029401621363,6.0,4.1,8.95,6.777054794520549,1.0641027742742868,6.85,0.13033080908728578,0.10880829015544043,0.04982064567556796,0.21562375448385812,0.08449581506576326,0.13551215623754484,0.01514547628537266,0.260263053009167,1.0,6.0,4.8561643835616435,1.0827151440413654,5.0,2,2,10,35,49,48,
agg 3 emb,0,88,0,12,3.715909090909091,2.545895338009855,3.0,0,6,0.875,1.2016511628760567,0.0,0,9,0.8409090909090909,1.4132896623839946,0.0,0,1,0.011363636363636364,0.10660035817780522,0.0,0,7,0.9545454545454546,1.7675822236745788,0.0,0,8,0.5681818181818182,1.2757279152266792,0.0,0,3,0.056818181818181816,0.35095778786205045,0.0,0,7,0.875,1.7074044292602357,0.0,26,93,58.06818181818182,14.802761046076904,54.5,1.0,3.0,2.0,0.6251436616499838,2.0,1.0,7.0,3.3181818181818183,1.771715543354004,3.0,2.2,8.15,4.5625,1.3482054910053627,4.375,0.4705035971223021,0.11079136690647481,0.10647482014388489,0.0014388489208633092,0.12086330935251798,0.07194244604316546,0.007194244604316546,0.11079136690647481,1.0,6.0,2.9318181818181817,1.6869714041104287,3.0,22,21,15,12,7,11,
agg 3 emb,1,129,0,13,3.7751937984496124,2.5410391270032116,3.0,0,6,1.1085271317829457,1.2762267999698327,1.0,0,5,1.0387596899224807,1.155172476131769,1.0,0,13,2.7131782945736433,1.8548660600634197,2.0,0,12,2.75968992248062,2.567145769741327,2.0,0,6,1.0387596899224807,1.470560590255431,0.0,0,2,0.10077519379844961,0.35011072445705627,0.0,0,12,1.2403100775193798,2.2352823989600914,0.0,37,99,63.42635658914729,13.522998461994321,62.0,1.0,4.0,2.3488372093023258,0.6079057645759346,2.0,1.0,9.0,5.007751937984496,1.6978668787583147,5.0,3.2,9.3,5.675193798449612,1.3670097960370438,5.6,0.27405740011254925,0.08047270680922904,0.07540799099606078,0.19696117051209905,0.2003376477208779,0.07540799099606078,0.007315700619020822,0.09003939223410243,1.0,6.0,3.635658914728682,1.3915929748859532,4.0,11,14,35,33,23,13,
agg 3 emb,2,199,0,11,3.0954773869346734,2.295346554728557,3.0,0,8,1.9396984924623115,1.509693229105773,2.0,0,6,0.8944723618090452,1.182327612731866,0.0,0,14,3.07035175879397,2.1777282614438676,3.0,0,16,1.5226130653266332,2.007118947829834,1.0,0,7,1.9748743718592965,1.6770500372893475,2.0,0,5,0.32160804020100503,0.7085947304745089,0.0,0,18,3.919597989949749,3.2819629256974396,3.0,17,103,72.38693467336684,14.588497965162462,73.0,1.0,4.0,2.613065326633166,0.6482534037773026,3.0,1.0,9.0,5.688442211055277,1.6153984670978745,6.0,2.8,8.95,6.46356783919598,1.2426925126436792,6.45,0.18492945061543078,0.11588111678174721,0.053437406184329024,0.18342839987991594,0.09096367457220053,0.11798258781146802,0.019213449414590213,0.23416391474031822,1.0,6.0,4.557788944723618,1.3009037789549949,5.0,7,10,19,44,67,52,
agg cat,0,215,0,12,3.911627906976744,2.527716388615155,3.0,0,8,1.0093023255813953,1.27150913967784,1.0,0,9,0.7627906976744186,1.1975487533856348,0.0,0,5,1.1767441860465115,1.2591417506667453,1.0,0,7,1.213953488372093,1.5946143874164482,1.0,0,4,0.48372093023255813,0.9163443809834164,0.0,0,3,0.08837209302325581,0.35730644870052697,0.0,0,7,0.8837209302325582,1.4405558105299034,0.0,17,99,59.70697674418604,13.618043887500386,58.0,1.0,3.0,2.130232558139535,0.5814640255026144,2.0,1.0,7.0,3.855813953488372,1.6356573352924428,4.0,2.2,7.9,4.913255813953489,1.2263552886771873,4.95,0.4104441190824793,0.1059053196681308,0.08003904343582235,0.12347486578818936,0.1273792093704246,0.05075646656905808,0.009272816007808687,0.09272816007808687,1.0,6.0,3.186046511627907,1.5566531008324338,3.0,38,42,44,44,27,20,
agg cat,1,55,0,13,4.763636363636364,2.6802683417595308,5.0,0,8,2.109090909090909,1.7285481734330659,2.0,0,6,1.7636363636363637,1.4777815751451173,2.0,0,12,3.0545454545454547,2.239528569920066,3.0,1,16,4.909090909090909,3.3348481406523027,4.0,0,6,2.418181818181818,1.6520571809997777,2.0,0,5,0.45454545454545453,0.8780909810741547,0.0,0,10,3.1636363636363636,2.671964434530134,3.0,43,100,72.56363636363636,14.24879934690228,72.0,1.0,4.0,2.6545454545454548,0.6996872798345627,3.0,4.0,9.0,6.345454545454546,1.4170676794284764,6.0,4.45,9.3,6.800909090909091,1.2013299308240026,6.6,0.21044176706827308,0.0931726907630522,0.07791164658634538,0.13493975903614458,0.21686746987951808,0.10682730923694778,0.020080321285140562,0.1397590361445783,2.0,6.0,4.363636363636363,1.0948302145324627,5.0,0,1,15,10,21,8,
agg cat,2,146,0,7,2.23972602739726,1.594407443796956,2.0,0,8,1.86986301369863,1.3859576479081146,2.0,0,4,0.8561643835616438,1.0304985470879167,1.0,0,14,3.7054794520547945,2.3198329553987667,3.0,0,7,1.452054794520548,1.5361492015395677,1.0,0,8,2.328767123287671,1.7184980974419686,2.0,0,3,0.2602739726027397,0.6220632468182324,0.0,0,18,4.472602739726027,3.601140059863135,4.0,36,103,74.44520547945206,13.689175598924015,76.0,1.0,4.0,2.7054794520547945,0.623314922553855,3.0,1.0,9.0,6.109589041095891,1.3397029401621363,6.0,4.1,8.95,6.777054794520549,1.0641027742742868,6.85,0.13033080908728578,0.10880829015544043,0.04982064567556796,0.21562375448385812,0.08449581506576326,0.13551215623754484,0.01514547628537266,0.260263053009167,1.0,6.0,4.8561643835616435,1.0827151440413654,5.0,2,2,10,35,49,48,
agg emb,0,88,0,12,3.715909090909091,2.545895338009855,3.0,0,6,0.875,1.2016511628760567,0.0,0,9,0.8409090909090909,1.4132896623839946,0.0,0,1,0.011363636363636364,0.10660035817780522,0.0,0,7,0.9545454545454546,1.7675822236745788,0.0,0,8,0.5681818181818182,1.2757279152266792,0.0,0,3,0.056818181818181816,0.35095778786205045,0.0,0,7,0.875,1.7074044292602357,0.0,26,93,58.06818181818182,14.802761046076904,54.5,1.0,3.0,2.0,0.6251436616499838,2.0,1.0,7.0,3.3181818181818183,1.771715543354004,3.0,2.2,8.15,4.5625,1.3482054910053627,4.375,0.4705035971223021,0.11079136690647481,0.10647482014388489,0.0014388489208633092,0.12086330935251798,0.07194244604316546,0.007194244604316546,0.11079136690647481,1.0,6.0,2.9318181818181817,1.6869714041104287,3.0,22,21,15,12,7,11,
