method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.08886564522981644,39.89242731887808
kmeans 3 emb,3,0.08886564522981644,39.89242731887808
kmeans cat,3,0.22027762715850066,120.52573714880666
kmeans 3 cat,3,0.22027762715850066,120.52573714880666
agg emb,3,0.06009620800614357,37.17282075897758
agg 3 emb,3,0.06009620800614357,37.17282075897758
agg cat,3,0.203593886167862,99.00625232520572
agg 3 cat,3,0.203593886167862,99.00625232520572
gmm emb,3,0.08921623229980469,39.88960632769667
gmm 3 emb,3,0.08921623229980469,39.88960632769667
gmm cat,3,0.15050169664381696,28.18338590926973
gmm 3 cat,3,0.15050169664381696,28.18338590926973
birch emb,3,0.06009620800614357,37.17282075897758
birch 3 emb,3,0.06009620800614357,37.17282075897758
birch cat,3,0.06009620800614357,37.17282075897758
birch 3 cat,3,0.06009620800614357,37.17282075897758
