method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09593948721885681,40.17089714450292
kmeans 3 emb,3,0.09593948721885681,40.17089714450292
kmeans cat,4,0.2020840729216145,101.39895889986528
kmeans 3 cat,3,0.1979016022457271,117.57421472228566
agg emb,3,0.08131512999534607,40.75115763501234
agg 3 emb,3,0.08131512999534607,40.75115763501234
agg cat,4,0.1412121907415901,83.20312048547822
agg 3 cat,3,0.12815705540801886,92.42757662302232
gmm emb,3,0.09593948721885681,40.17089714450292
gmm 3 emb,3,0.09593948721885681,40.17089714450292
gmm cat,4,0.05149724449413505,46.52589669653705
gmm 3 cat,3,0.12562078274113372,22.088840439541833
birch emb,3,0.1039516031742096,41.42507748706051
birch 3 emb,3,0.1039516031742096,41.42507748706051
birch cat,4,0.06365322321653366,34.75549906882688
birch 3 cat,3,0.1039516031742096,41.42507748706051
