method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09538213163614273,41.0631011643881
kmeans 3 emb,3,0.09538213163614273,41.0631011643881
kmeans cat,4,0.19076811979164698,104.2813118917679
kmeans 3 cat,3,0.19701259759462617,119.87919054116348
agg emb,3,0.08026803284883499,41.21484152005739
agg 3 emb,3,0.08026803284883499,41.21484152005739
agg cat,4,0.17162252851299695,91.58920787889632
agg 3 cat,3,0.1893426497188442,111.00596417051513
gmm emb,3,0.0707148015499115,40.67175423908906
gmm 3 emb,3,0.0707148015499115,40.67175423908906
gmm cat,4,0.12219560340197237,50.26597641366278
gmm 3 cat,3,0.12923489561508864,60.40937205183271
birch emb,3,0.08163709193468094,40.97627277279815
birch 3 emb,3,0.08163709193468094,40.97627277279815
birch cat,4,0.08858807384967804,34.99825351285992
birch 3 cat,3,0.08163709193468094,40.97627277279815
