annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 30, 1], [2, 94, 1], [6, 110, 1], [5, 129, 6], [6, 303, 2], [8, 388, 1]]",pathophysiology:30/1; epidemiology:94/1; exams:110/5; physical:129/6; exams:303/2; therapeutic:388/1,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 6, 'exams': 3, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,1,0,0,6,3,0,1,5,6,6,7.4,2,2,1,1,0,0,1,1,2,2,0,0,0,0,0,0,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[4, 82, 1], [1, 157, 6], [5, 378, 5], [6, 548, 1], [5, 569, 3], [8, 707, 1], [4, 743, 1], [6, 772, 2], [1, 847, 1]]",history:82/3; pathophysiology:157/8; physical:378/11; exams:548/5; physical:569/3; therapeutic:707/1; history:743/1; exams:772/2; pathophysiology:847/1,4,0.3472222222222222,-0.2857142857142857,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 0, 'history': 2, 'physical': 8, 'exams': 3, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 9, 'ideas': 9}",7,0,0,2,8,3,0,1,5,9,9,6.85,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[4, 3, 1], [1, 52, 2], [7, 137, 2], [3, 181, 1]]",history:3/1; pathophysiology:52/2; differential:137/2; etiology:181/1,0,0.5,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 2, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",2,0,1,1,0,0,2,0,4,4,4,4.1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[3, 57, 1], [4, 109, 2], [5, 163, 4], [1, 311, 1], [5, 339, 1], [1, 365, 1], [6, 384, 1], [4, 423, 1], [6, 433, 1], [1, 465, 1], [8, 502, 8]]",etiology:57/1; history:109/4; physical:163/6; pathophysiology:311/5; physical:339/1; pathophysiology:365/1; exams:384/3; history:423/1; exams:433/1; pathophysiology:465/1; therapeutic:502/8,5,0.40909090909090906,-0.27906976744186046,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 5, 'exams': 2, 'differential': 0, 'therapeutic': 8, 'used categories': 6, 'total annotations': 11, 'ideas': 11}",3,0,1,3,5,2,0,8,6,11,11,8.9,1,1,2,2,1,1,2,2,1,1,0,0,1,1,1,1,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[1, 0, 1], [3, 42, 1], [4, 107, 2], [8, 189, 2]]",pathophysiology:0/1; etiology:42/1; history:107/2; therapeutic:189/2,0,0.5,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,0,1,2,0,0,0,2,4,4,4,5.45,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[1, 21, 1], [3, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 1]]",pathophysiology:21/3; etiology:28/1; physical:59/1; pathophysiology:115/1; exams:141/1,1,0.4,-0.6666666666666664,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",2,0,1,0,1,1,0,0,4,5,5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 43, 1], [4, 66, 1], [1, 93, 1], [3, 121, 1], [1, 156, 5], [5, 307, 1], [1, 351, 1], [3, 384, 1], [8, 397, 2], [2, 445, 1]]",epidemiology:43/3; history:66/1; pathophysiology:93/13; etiology:121/3; pathophysiology:156/5; physical:307/1; pathophysiology:351/1; etiology:384/1; therapeutic:397/2; epidemiology:445/1,4,0.44999999999999996,-0.3333333333333333,"{'pathophysiology': 7, 'epidemiology': 2, 'etiology': 2, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 10, 'ideas': 10}",7,2,2,1,1,0,0,2,6,10,10,6.75,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 38, 2], [4, 105, 2]]",etiology:38/2; history:105/2,0,0.25,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,0,2,2,0,0,0,0,2,2,2,3.85,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 62, 2], [3, 240, 1], [1, 338, 3], [5, 477, 2], [6, 507, 4], [4, 623, 2], [8, 669, 3]]",epidemiology:62/2; etiology:240/1; pathophysiology:338/3; physical:477/2; exams:507/4; history:623/2; therapeutic:669/3,0,0.875,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 2, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 4, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 7, 'ideas': 7}",3,2,1,2,2,4,0,3,7,7,7,8.1,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,6.0
