method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,101,0,14,5.3861386138613865,3.101516716155833,5.0,0,3,0.6336633663366337,0.8685939474487229,0.0,0,9,0.9801980198019802,1.303688597938955,1.0,0,5,0.5544554455445545,0.9846344247968641,0.0,0,4,0.36633663366336633,0.9024718530483669,0.0,0,5,0.25742574257425743,0.8325078419634817,0.0,0,2,0.09900990099009901,0.4360034517076555,0.0,0,6,0.24752475247524752,0.8050582661405238,0.0,26,92,56.20792079207921,13.606848887000377,54.0,1.0,3.0,1.99009900990099,0.6244205234447456,2.0,1.0,8.0,3.1584158415841586,1.7072356209224702,3.0,2.2,7.35,4.389603960396039,1.2150579581172902,4.2,0.6318234610917538,0.0743321718931475,0.11498257839721254,0.06504065040650407,0.0429732868757259,0.030197444831591175,0.011614401858304299,0.029036004645760744,1.0,6.0,2.623762376237624,1.5610988767436536,2.0,31,27,12,19,4,8,
agg 3 cat,1,177,0,7,2.864406779661017,1.5896429035676116,3.0,0,6,1.5593220338983051,1.2559565320812882,1.0,0,6,1.807909604519774,1.2235123772307224,1.0,0,5,2.1807909604519775,1.3404008246889862,2.0,0,9,1.5536723163841808,1.805515717364354,1.0,0,5,1.1242937853107344,1.2090227475564241,1.0,0,3,0.096045197740113,0.394329347511942,0.0,0,7,1.6045197740112995,1.6927592862032153,1.0,17,101,66.71751412429379,14.278455581235345,68.0,1.0,4.0,2.401129943502825,0.5960083797234436,2.0,1.0,9.0,4.954802259887006,1.4840791797653687,5.0,2.8,8.9,5.813276836158193,1.1961142091520307,5.75,0.22393992932862197,0.1219081272084806,0.14134275618374562,0.17049469964664316,0.12146643109540639,0.0878975265017668,0.007508833922261486,0.12544169611307424,1.0,6.0,4.073446327683616,1.4062466115921053,4.0,9,16,35,41,45,31,
agg 3 cat,2,138,0,11,5.231884057971015,2.0621364269595825,5.0,0,6,1.7681159420289856,1.3896901669731836,1.0,0,8,2.108695652173913,1.3437325866259695,2.0,0,13,4.340579710144928,2.654005035258327,4.0,0,14,2.4782608695652173,3.1209613700038297,2.0,0,8,1.6521739130434783,1.3810615504132429,2.0,0,5,0.2318840579710145,0.697125014419508,0.0,0,15,3.5,3.160546012145767,3.0,36,103,73.9927536231884,13.810762954453708,74.5,1.0,4.0,2.7028985507246377,0.6440000486223755,3.0,3.0,9.0,6.333333333333333,1.3087762899475814,6.0,4.3,9.3,6.8663043478260875,1.1146365818579593,6.85,0.24549472968378103,0.08296497789867392,0.09894593675620537,0.20367222033322,0.11628697721863311,0.07752465147908874,0.01088065283917035,0.16422985379122748,2.0,6.0,4.695652173913044,1.0780402309041135,5.0,0,2,22,29,48,37,
agg 3 emb,0,85,0,14,4.788235294117647,2.824611720670475,4.0,0,3,0.6470588235294118,0.8550394359178936,0.0,0,9,1.0588235294117647,1.339446769027729,1.0,0,3,0.08235294117647059,0.4143774649681006,0.0,0,9,0.8,1.830950832868252,0.0,0,5,0.5176470588235295,1.0868452019479127,0.0,0,3,0.18823529411764706,0.6073776115607239,0.0,0,7,0.4470588235294118,1.3496550031215302,0.0,26,92,56.741176470588236,13.881430677241406,54.0,1.0,3.0,1.8705882352941177,0.6131152943335034,2.0,1.0,8.0,3.235294117647059,1.708849925308507,3.0,2.2,7.45,4.4547058823529415,1.202171238332755,4.35,0.5613793103448276,0.07586206896551724,0.12413793103448276,0.009655172413793104,0.09379310344827586,0.0606896551724138,0.022068965517241378,0.05241379310344828,1.0,6.0,2.764705882352941,1.5556889365251947,2.0,22,21,17,12,6,7,
agg 3 emb,1,137,0,10,4.182481751824818,2.4290490093322696,4.0,0,6,1.1605839416058394,1.2019198896810137,1.0,0,5,1.6277372262773722,1.1882222216779603,1.0,0,12,2.4306569343065694,1.8895829777942916,2.0,0,14,2.2481751824817517,2.5775644623017158,2.0,0,5,0.8613138686131386,1.157980504711345,0.0,0,2,0.043795620437956206,0.23851911807350099,0.0,0,8,0.781021897810219,1.66148112727219,0.0,17,101,63.386861313868614,13.699639419461802,62.0,1.0,4.0,2.3649635036496353,0.5671900865199052,2.0,1.0,9.0,4.759124087591241,1.569589434164869,5.0,2.85,9.3,5.548905109489051,1.228528339370104,5.6,0.3136288998357964,0.0870279146141215,0.12205801860974273,0.18226600985221675,0.16858237547892718,0.06458675424192664,0.003284072249589491,0.05856595511767926,1.0,6.0,3.7226277372262775,1.402361071064351,4.0,12,12,33,42,21,17,
agg 3 emb,2,194,0,12,4.087628865979381,2.375948470854798,4.0,0,6,1.907216494845361,1.3200916456394731,2.0,0,8,2.0463917525773194,1.3592562623241353,2.0,0,13,3.61340206185567,2.2853500028302305,3.0,0,11,1.4329896907216495,2.2158506547701915,0.0,0,8,1.5,1.3514528739346856,1.5,0,5,0.19072164948453607,0.6189716482959098,0.0,0,15,3.3350515463917527,2.5985464744184625,3.0,36,103,73.14432989690722,14.266878698123746,74.5,1.0,4.0,2.6597938144329896,0.6256453321328082,3.0,1.0,9.0,5.891752577319588,1.6010469439411115,6.0,2.8,8.95,6.603092783505154,1.2739785999819235,6.7,0.22566875355719976,0.10529311326124076,0.11297666476949345,0.19948776323278317,0.07911212293682414,0.08281161070005692,0.010529311326124075,0.18412066021627777,1.0,6.0,4.582474226804123,1.3138962592843153,5.0,6,12,19,35,70,52,
agg cat,0,101,0,14,5.3861386138613865,3.101516716155833,5.0,0,3,0.6336633663366337,0.8685939474487229,0.0,0,9,0.9801980198019802,1.303688597938955,1.0,0,5,0.5544554455445545,0.9846344247968641,0.0,0,4,0.36633663366336633,0.9024718530483669,0.0,0,5,0.25742574257425743,0.8325078419634817,0.0,0,2,0.09900990099009901,0.4360034517076555,0.0,0,6,0.24752475247524752,0.8050582661405238,0.0,26,92,56.20792079207921,13.606848887000377,54.0,1.0,3.0,1.99009900990099,0.6244205234447456,2.0,1.0,8.0,3.1584158415841586,1.7072356209224702,3.0,2.2,7.35,4.389603960396039,1.2150579581172902,4.2,0.6318234610917538,0.0743321718931475,0.11498257839721254,0.06504065040650407,0.0429732868757259,0.030197444831591175,0.011614401858304299,0.029036004645760744,1.0,6.0,2.623762376237624,1.5610988767436536,2.0,31,27,12,19,4,8,
agg cat,1,15,3,9,6.6,1.6818357317441646,7.0,0,4,1.9333333333333333,1.6242214252050853,2.0,0,4,1.9333333333333333,1.2798809468443688,2.0,1,12,3.1333333333333333,2.799659843283687,3.0,8,14,9.933333333333334,2.0862360730226466,9.0,0,4,1.2,1.424279266355945,0.0,0,2,0.13333333333333333,0.5163977794943222,0.0,0,4,1.2666666666666666,1.4864467059144129,1.0,46,99,68.93333333333334,14.49860420211283,67.0,2.0,3.0,2.6,0.5070925528371101,3.0,4.0,8.0,6.133333333333334,0.990430401872025,6.0,4.8,8.95,6.513333333333334,1.0756172093046767,6.6,0.2525510204081633,0.0739795918367347,0.0739795918367347,0.11989795918367349,0.3801020408163266,0.04591836734693878,0.005102040816326531,0.048469387755102046,3.0,5.0,4.066666666666666,0.9611501047232548,4.0,0,0,6,2,7,0,
agg cat,2,177,0,7,2.864406779661017,1.5896429035676116,3.0,0,6,1.5593220338983051,1.2559565320812882,1.0,0,6,1.807909604519774,1.2235123772307224,1.0,0,5,2.1807909604519775,1.3404008246889862,2.0,0,9,1.5536723163841808,1.805515717364354,1.0,0,5,1.1242937853107344,1.2090227475564241,1.0,0,3,0.096045197740113,0.394329347511942,0.0,0,7,1.6045197740112995,1.6927592862032153,1.0,17,101,66.71751412429379,14.278455581235345,68.0,1.0,4.0,2.401129943502825,0.5960083797234436,2.0,1.0,9.0,4.954802259887006,1.4840791797653687,5.0,2.8,8.9,5.813276836158193,1.1961142091520307,5.75,0.22393992932862197,0.1219081272084806,0.14134275618374562,0.17049469964664316,0.12146643109540639,0.0878975265017668,0.007508833922261486,0.12544169611307424,1.0,6.0,4.073446327683616,1.4062466115921053,4.0,9,16,35,41,45,31,
agg cat,3,123,0,11,5.065040650406504,2.0475488640794444,5.0,0,6,1.7479674796747968,1.3646202614464402,1.0,0,8,2.130081300813008,1.3547690480904373,2.0,0,13,4.487804878048781,2.6094590032196727,4.0,0,7,1.5691056910569106,1.6648797564664948,1.0,0,8,1.7073170731707317,1.3714399953828187,2.0,0,5,0.24390243902439024,0.7167945885727073,0.0,0,15,3.772357723577236,3.205561274426007,3.0,36,103,74.60975609756098,13.657781152354056,76.0,1.0,4.0,2.7154471544715446,0.6593628967128109,3.0,3.0,9.0,6.357723577235772,1.3436558967480419,6.0,4.3,9.3,6.909349593495935,1.1158939222144182,6.9,0.24440957238132605,0.08434680266771284,0.10278540604158493,0.21655551196547668,0.07571596704590036,0.0823852491173009,0.011769321302471557,0.18203216947822676,2.0,6.0,4.772357723577236,1.069801637274914,5.0,0,2,16,27,41,37,
agg emb,0,23,2,12,5.0,3.0748244591432297,5.0,0,0,0.0,0.0,0.0,0,1,0.043478260869565216,0.2085144140570748,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,26,79,49.65217391304348,11.47173877465112,49.0,1.0,2.0,1.565217391304348,0.5068698018697019,2.0,1.0,5.0,2.130434782608696,1.179535649239177,2.0,2.2,5.0,3.547826086956522,0.7845783842974005,3.2,0.9913793103448275,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0434782608695654,1.2960871487802053,2.0,10,8,1,2,2,0,
agg emb,1,62,0,14,4.709677419354839,2.7483950414872895,4.0,0,3,0.8870967741935484,0.8890008890013328,1.0,0,9,1.435483870967742,1.3863617646049453,1.0,0,3,0.11290322580645161,0.48264431154301757,0.0,0,9,1.096774193548387,2.070160185608159,0.0,0,5,0.7096774193548387,1.2198776715638808,0.0,0,3,0.25806451612903225,0.69977710434783,0.0,0,7,0.6129032258064516,1.5508309640337379,0.0,37,92,59.37096774193548,13.853133481088097,55.0,1.0,3.0,1.9838709677419355,0.6138279644680443,2.0,1.0,8.0,3.6451612903225805,1.6995348852018253,4.0,2.6,7.45,4.791129032258064,1.158876087576418,4.85,0.4794745484400657,0.090311986863711,0.14614121510673236,0.011494252873563218,0.11165845648604268,0.07224958949096881,0.026272577996715927,0.06239737274220033,1.0,6.0,3.032258064516129,1.567787852990027,3.0,12,13,16,10,4,7,
agg emb,2,137,0,10,4.182481751824818,2.4290490093322696,4.0,0,6,1.1605839416058394,1.2019198896810137,1.0,0,5,1.6277372262773722,1.1882222216779603,1.0,0,12,2.4306569343065694,1.8895829777942916,2.0,0,14,2.2481751824817517,2.5775644623017158,2.0,0,5,0.8613138686131386,1.157980504711345,0.0,0,2,0.043795620437956206,0.23851911807350099,0.0,0,8,0.781021897810219,1.66148112727219,0.0,17,101,63.386861313868614,13.699639419461802,62.0,1.0,4.0,2.3649635036496353,0.5671900865199052,2.0,1.0,9.0,4.759124087591241,1.569589434164869,5.0,2.85,9.3,5.548905109489051,1.228528339370104,5.6,0.3136288998357964,0.0870279146141215,0.12205801860974273,0.18226600985221675,0.16858237547892718,0.06458675424192664,0.003284072249589491,0.05856595511767926,1.0,6.0,3.7226277372262775,1.402361071064351,4.0,12,12,33,42,21,17,
agg emb,3,194,0,12,4.087628865979381,2.375948470854798,4.0,0,6,1.907216494845361,1.3200916456394731,2.0,0,8,2.0463917525773194,1.3592562623241353,2.0,0,13,3.61340206185567,2.2853500028302305,3.0,0,11,1.4329896907216495,2.2158506547701915,0.0,0,8,1.5,1.3514528739346856,1.5,0,5,0.19072164948453607,0.6189716482959098,0.0,0,15,3.3350515463917527,2.5985464744184625,3.0,36,103,73.14432989690722,14.266878698123746,74.5,1.0,4.0,2.6597938144329896,0.6256453321328082,3.0,1.0,9.0,5.891752577319588,1.6010469439411115,6.0,2.8,8.95,6.603092783505154,1.2739785999819235,6.7,0.22566875355719976,0.10529311326124076,0.11297666476949345,0.19948776323278317,0.07911212293682414,0.08281161070005692,0.010529311326124075,0.18412066021627777,1.0,6.0,4.582474226804123,1.3138962592843153,5.0,6,12,19,35,70,52,
birch 3 cat,0,43,0,12,4.744186046511628,2.8875184868986747,4.0,0,2,0.046511627906976744,0.30499714066520933,0.0,0,4,0.5581395348837209,1.007172505709385,0.0,0,0,0.0,0.0,0.0,0,2,0.046511627906976744,0.30499714066520944,0.0,0,4,0.18604651162790697,0.6988362419217078,0.0,0,0,0.0,0.0,0.0,0,7,0.5813953488372093,1.5921318164430447,0.0,26,92,52.51162790697674,13.551264381394112,52.0,1.0,3.0,1.6511627906976745,0.5293176618571604,2.0,1.0,5.0,2.3488372093023258,1.2888481555661677,2.0,2.2,5.7,3.8000000000000003,0.9205329719140712,3.65,0.7698113207547169,0.007547169811320753,0.09056603773584904,0.0,0.007547169811320753,0.030188679245283012,0.0,0.09433962264150943,1.0,6.0,2.2790697674418605,1.516976651660558,2.0,18,12,3,5,3,2,
birch 3 cat,1,179,0,14,4.335195530726257,2.526142269335545,4.0,0,6,1.1843575418994414,1.1190791788449386,1.0,0,9,1.6145251396648044,1.2506228440101175,1.0,0,12,1.899441340782123,1.9316842859350818,2.0,0,14,2.089385474860335,2.5379920316702225,1.0,0,5,0.8603351955307262,1.18868348450653,0.0,0,3,0.12290502793296089,0.4698558790835857,0.0,0,8,0.6703910614525139,1.5498333955870738,0.0,17,101,62.84357541899441,13.535973732885637,62.0,1.0,4.0,2.3016759776536313,0.5887975616262261,2.0,1.0,9.0,4.614525139664805,1.5977551573704163,5.0,2.85,9.3,5.449441340782123,1.207525429825226,5.5,0.3393091386095321,0.09269785745518146,0.1263664188893747,0.14866637516397024,0.16353301268036727,0.06733712286838653,0.009619588981198074,0.0524704853519895,1.0,6.0,3.6145251396648046,1.4229306572223828,4.0,16,21,47,49,24,22,
birch 3 cat,2,194,0,12,4.087628865979381,2.375948470854798,4.0,0,6,1.907216494845361,1.3200916456394731,2.0,0,8,2.0463917525773194,1.3592562623241353,2.0,0,13,3.61340206185567,2.2853500028302305,3.0,0,11,1.4329896907216495,2.2158506547701915,0.0,0,8,1.5,1.3514528739346856,1.5,0,5,0.19072164948453607,0.6189716482959098,0.0,0,15,3.3350515463917527,2.5985464744184625,3.0,36,103,73.14432989690722,14.266878698123746,74.5,1.0,4.0,2.6597938144329896,0.6256453321328082,3.0,1.0,9.0,5.891752577319588,1.6010469439411115,6.0,2.8,8.95,6.603092783505154,1.2739785999819235,6.7,0.22566875355719976,0.10529311326124076,0.11297666476949345,0.19948776323278317,0.07911212293682414,0.08281161070005692,0.010529311326124075,0.18412066021627777,1.0,6.0,4.582474226804123,1.3138962592843153,5.0,6,12,19,35,70,52,
birch 3 emb,0,43,0,12,4.744186046511628,2.8875184868986747,4.0,0,2,0.046511627906976744,0.30499714066520933,0.0,0,4,0.5581395348837209,1.007172505709385,0.0,0,0,0.0,0.0,0.0,0,2,0.046511627906976744,0.30499714066520944,0.0,0,4,0.18604651162790697,0.6988362419217078,0.0,0,0,0.0,0.0,0.0,0,7,0.5813953488372093,1.5921318164430447,0.0,26,92,52.51162790697674,13.551264381394112,52.0,1.0,3.0,1.6511627906976745,0.5293176618571604,2.0,1.0,5.0,2.3488372093023258,1.2888481555661677,2.0,2.2,5.7,3.8000000000000003,0.9205329719140712,3.65,0.7698113207547169,0.007547169811320753,0.09056603773584904,0.0,0.007547169811320753,0.030188679245283012,0.0,0.09433962264150943,1.0,6.0,2.2790697674418605,1.516976651660558,2.0,18,12,3,5,3,2,
