method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.07776881754398346,43.04999103348979
kmeans 3 emb,3,0.07776881754398346,43.04999103348979
kmeans cat,3,0.19159328391427538,119.4610731233551
kmeans 3 cat,3,0.19159328391427538,119.4610731233551
agg emb,3,0.05581744760274887,40.79909610908582
agg 3 emb,3,0.05581744760274887,40.79909610908582
agg cat,3,0.15637600161385898,97.99206242586789
agg 3 cat,3,0.15637600161385898,97.99206242586789
gmm emb,3,0.07010550051927567,41.18793406287932
gmm 3 emb,3,0.07010550051927567,41.18793406287932
gmm cat,3,0.1164846248790007,36.666508509779675
gmm 3 cat,3,0.1164846248790007,36.666508509779675
birch emb,3,0.05581744760274887,40.79909610908582
birch 3 emb,3,0.05581744760274887,40.79909610908582
birch cat,3,0.05581744760274887,40.79909610908582
birch 3 cat,3,0.05581744760274887,40.79909610908582
