method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.11265579664391598,0.17227168690644137,0.42106685288303997,3,0.0855005085468292,47.210495115073805,4,0.0834488347172737,37.82382633907476
kmeans 3 emb,0.13461663294288792,0.19020522690198172,0.46939406514638293,3,0.0855005085468292,47.210495115073805,3,0.0819557979702949,43.99403519045071
kmeans cat,0.386655075984655,0.3923552345912858,0.6110530243415283,3,0.2081497387438791,132.0279675940301,3,0.2076385184736797,138.8706073177781
kmeans 3 cat,0.386655075984655,0.3923552345912858,0.6110530243415283,3,0.2081497387438791,132.0279675940301,3,0.2076385184736797,138.8706073177781
agg emb,0.05893844502829326,0.13923199801310365,0.41284676440664736,3,0.0693360120058059,44.04944598820306,4,0.0731139779090881,37.06932696172776
agg 3 emb,0.0859286491587659,0.15725867490720638,0.4867728522502554,3,0.0693360120058059,44.04944598820306,3,0.0727197527885437,45.03538926946727
agg cat,0.12022563910909684,0.2356647593465061,0.5297300913449533,3,0.1623286113699627,107.7990335073284,3,0.2217166082965561,107.09331747533584
agg 3 cat,0.12022563910909684,0.2356647593465061,0.5297300913449533,3,0.1623286113699627,107.7990335073284,3,0.2217166082965561,107.09331747533584
gmm emb,0.12178407220812223,0.18093481226412764,0.46773937513388464,3,0.1335705816745758,42.69597902476169,4,0.067065916955471,35.60862539574151
gmm 3 emb,0.1830906290036104,0.18799446990789262,0.5566637163891068,3,0.1335705816745758,42.69597902476169,3,0.0831759124994278,43.9853358789991
gmm cat,0.24481589219773212,0.09423298799722289,0.7486411837002286,3,0.1273438575459814,17.67425970175014,3,0.0195131400736111,44.122283582145776
gmm 3 cat,0.24481589219773212,0.09423298799722289,0.7486411837002286,3,0.1273438575459814,17.67425970175014,3,0.0195131400736111,44.122283582145776
birch emb,0.11279164284533634,0.16319544341212214,0.41827531159581766,3,0.0790954604744911,39.64528415009516,4,0.0731139779090881,37.06932696172776
birch 3 emb,0.12572291266159827,0.18768690164397547,0.47537280859512215,3,0.0790954604744911,39.64528415009516,3,0.0727197527885437,45.03538926946727
birch cat,0.12572291266159827,0.18768690164397547,0.47537280859512215,3,0.0790954604744911,39.64528415009516,3,0.0727197527885437,45.03538926946727
birch 3 cat,0.12572291266159827,0.18768690164397547,0.47537280859512215,3,0.0790954604744911,39.64528415009516,3,0.0727197527885437,45.03538926946727
