method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.1194674205509473,0.19380362135918794,0.4612175975946806,3,0.0855005085468292,47.210495115073805,3,0.0834902599453926,43.93271703989091
kmeans 3 emb,0.1194674205509473,0.19380362135918794,0.4612175975946806,3,0.0855005085468292,47.210495115073805,3,0.0834902599453926,43.93271703989091
kmeans cat,0.38777201058352995,0.39164826113654316,0.610927287884755,3,0.2081497387438791,132.0279675940301,3,0.2114373657709422,139.0236103456555
kmeans 3 cat,0.38777201058352995,0.39164826113654316,0.610927287884755,3,0.2081497387438791,132.0279675940301,3,0.2114373657709422,139.0236103456555
agg emb,0.057300792638926214,0.11564312452350542,0.4606012603257943,3,0.0693360120058059,44.04944598820306,3,0.047795794904232,41.96766916113579
agg 3 emb,0.057300792638926214,0.11564312452350542,0.4606012603257943,3,0.0693360120058059,44.04944598820306,3,0.047795794904232,41.96766916113579
agg cat,0.24338128381581467,0.30851692165475036,0.5656772670024685,3,0.1623286113699627,107.7990335073284,3,0.1907170742823617,120.55965955426086
agg 3 cat,0.24338128381581467,0.30851692165475036,0.5656772670024685,3,0.1623286113699627,107.7990335073284,3,0.1907170742823617,120.55965955426086
gmm emb,0.1777665364290727,0.17680434609957374,0.5560231684790574,3,0.1335705816745758,42.69597902476169,3,0.0840639248490333,43.89420819817537
gmm 3 emb,0.1777665364290727,0.17680434609957374,0.5560231684790574,3,0.1335705816745758,42.69597902476169,3,0.0840639248490333,43.89420819817537
gmm cat,0.2727165008618204,0.10110696929131967,0.7626422775588455,3,0.1273438575459814,17.67425970175014,3,0.0280307215462816,38.18607757489163
gmm 3 cat,0.2727165008618204,0.10110696929131967,0.7626422775588455,3,0.1273438575459814,17.67425970175014,3,0.0280307215462816,38.18607757489163
birch emb,0.10045944291433202,0.13650534875661696,0.45174877776131456,3,0.0790954604744911,39.64528415009516,3,0.047795794904232,41.96766916113579
birch 3 emb,0.10045944291433202,0.13650534875661696,0.45174877776131456,3,0.0790954604744911,39.64528415009516,3,0.047795794904232,41.96766916113579
birch cat,0.10045944291433202,0.13650534875661696,0.45174877776131456,3,0.0790954604744911,39.64528415009516,3,0.047795794904232,41.96766916113579
birch 3 cat,0.10045944291433202,0.13650534875661696,0.45174877776131456,3,0.0790954604744911,39.64528415009516,3,0.047795794904232,41.96766916113579
