method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,202,0,9,2.628712871287129,1.9305780658628424,2.0,0,4,0.6782178217821783,0.9198857770750041,0.0,0,6,0.995049504950495,1.1654116551224623,1.0,0,8,1.2772277227722773,1.636759399230358,1.0,0,12,1.5445544554455446,2.228377597249919,1.0,0,8,0.9504950495049505,1.5315990903651016,0.0,0,4,0.18811881188118812,0.5937128523012077,0.0,0,6,0.8811881188118812,1.3878443767895934,0.0,17,99,60.113861386138616,14.50996932771184,58.5,1.0,3.0,2.1386138613861387,0.6072481435678556,2.0,1.0,7.0,3.8564356435643563,1.6494181601346338,4.0,2.2,7.7,4.933910891089109,1.2515069729981065,4.95,0.2874932322685437,0.0741743367623173,0.10882512181916625,0.13968597726042234,0.16892257715213865,0.10395235517054685,0.020573903627504067,0.09637249593936115,1.0,6.0,3.292079207920792,1.5705107809556347,3.0,34,37,36,45,31,19,
agg 3 cat,1,127,0,15,4.322834645669292,2.6633368787263465,4.0,0,6,1.1811023622047243,1.2046030949748325,1.0,0,5,1.3937007874015748,1.1626289333856292,1.0,0,7,1.905511811023622,1.438876716131187,2.0,0,12,3.2755905511811023,2.2455499745416447,3.0,0,9,2.322834645669291,1.803356173448263,2.0,0,6,0.6692913385826772,1.0545074687975342,0.0,0,6,1.8818897637795275,1.5766861633162137,2.0,43,99,67.99212598425197,12.180843705623493,68.0,1.0,4.0,2.5118110236220472,0.6024571608597299,3.0,2.0,9.0,5.622047244094488,1.3797235394706182,6.0,3.25,8.95,6.210629921259843,1.0530874848955543,6.25,0.2549930329772411,0.06967022758941012,0.08221086855550394,0.112401300510915,0.19321876451463074,0.13701811425917323,0.039479795633999074,0.1110078959591268,1.0,6.0,4.2362204724409445,1.312072714505176,4.0,4,6,29,31,31,26,
agg 3 cat,2,87,0,14,3.9770114942528734,2.8242183997760844,4.0,0,7,1.264367816091954,1.4423798979862907,1.0,0,8,1.8735632183908046,1.6621966252393132,2.0,0,11,3.2413793103448274,2.5333382574270873,3.0,0,9,1.793103448275862,1.8623436786871828,1.0,0,14,3.0919540229885056,2.5226056292358163,3.0,0,4,0.6091954022988506,1.0041347292058072,0.0,0,17,7.459770114942529,3.350822869091522,7.0,36,103,79.52873563218391,13.064988790799461,81.0,1.0,4.0,2.8505747126436782,0.6384708409175406,3.0,2.0,9.0,6.632183908045977,1.4069176479489243,7.0,2.8,9.3,7.2925287356321835,1.1112670522309047,7.5,0.17061143984220906,0.054240631163708086,0.08037475345167654,0.1390532544378698,0.07692307692307693,0.13264299802761342,0.026134122287968443,0.32001972386587774,1.0,6.0,4.954022988505747,1.130013850265104,5.0,2,2,4,13,35,31,
agg 3 emb,0,91,0,12,3.6153846153846154,2.55068283131849,3.0,0,3,0.4725274725274725,0.7935946256070722,0.0,0,5,1.2307692307692308,1.3990228580208957,1.0,0,2,0.02197802197802198,0.2096569673443836,0.0,0,10,1.7362637362637363,2.1951216865037826,1.0,0,9,0.7472527472527473,1.4876783298774006,0.0,0,2,0.06593406593406594,0.2906772858227567,0.0,0,10,0.7802197802197802,1.9078912023616137,0.0,26,92,58.84615384615385,14.107463018576828,55.0,1.0,3.0,1.978021978021978,0.63206929961168,2.0,1.0,8.0,3.6043956043956045,1.8310842014689965,4.0,2.6,8.15,4.7445054945054945,1.311454886534005,4.7,0.4169835234474018,0.05449936628643853,0.1419518377693283,0.002534854245880862,0.2002534854245881,0.08618504435994931,0.007604562737642586,0.0899873257287706,1.0,6.0,3.0549450549450547,1.6149484846454412,3.0,18,23,15,15,11,9,
agg 3 emb,1,151,0,15,3.172185430463576,2.5658308320541434,3.0,0,4,0.3841059602649007,0.7647302544236788,0.0,0,8,1.3642384105960266,1.363737236218225,1.0,0,8,2.019867549668874,1.638984232893434,2.0,0,11,1.9602649006622517,2.1660433812275866,1.0,0,14,1.8476821192052981,2.217350804814494,1.0,0,6,0.4304635761589404,0.9202168858469156,0.0,0,16,2.2317880794701987,2.8388817249268437,1.0,17,101,65.25827814569537,15.44558775234703,64.0,1.0,4.0,2.370860927152318,0.6492651645230435,2.0,1.0,9.0,4.768211920529802,1.8455124260731184,5.0,2.2,8.95,5.647019867549669,1.45324042273442,5.6,0.2365432098765432,0.028641975308641977,0.1017283950617284,0.15061728395061727,0.14617283950617282,0.13777777777777778,0.03209876543209876,0.16641975308641974,1.0,6.0,3.794701986754967,1.5548542516677764,4.0,18,13,30,34,33,23,
agg 3 emb,2,174,0,14,3.5517241379310347,2.4006676368566713,3.0,0,7,1.7011494252873562,1.2032224798118254,1.0,0,7,1.2816091954022988,1.2566612095238288,1.0,0,11,2.7298850574712645,2.06303076575922,2.0,0,12,2.471264367816092,2.405865090033056,2.0,0,11,2.3505747126436782,1.9585516391679572,2.0,0,4,0.603448275862069,0.9843807097369448,0.0,0,17,3.781609195402299,3.6316695864460553,3.0,36,103,71.77011494252874,14.201034847438299,72.0,1.0,4.0,2.6494252873563218,0.5967878493738962,3.0,2.0,9.0,5.873563218390805,1.4648450583980823,6.0,2.8,9.3,6.525287356321839,1.2246828907292662,6.475,0.1922837585563161,0.09209707529558182,0.06938394523957685,0.1477909147479776,0.13378967019290602,0.12725575606720596,0.03266957062850031,0.20472930927193525,1.0,6.0,4.5,1.2756048095150019,5.0,4,9,24,40,53,44,
agg cat,0,202,0,9,2.628712871287129,1.9305780658628424,2.0,0,4,0.6782178217821783,0.9198857770750041,0.0,0,6,0.995049504950495,1.1654116551224623,1.0,0,8,1.2772277227722773,1.636759399230358,1.0,0,12,1.5445544554455446,2.228377597249919,1.0,0,8,0.9504950495049505,1.5315990903651016,0.0,0,4,0.18811881188118812,0.5937128523012077,0.0,0,6,0.8811881188118812,1.3878443767895934,0.0,17,99,60.113861386138616,14.50996932771184,58.5,1.0,3.0,2.1386138613861387,0.6072481435678556,2.0,1.0,7.0,3.8564356435643563,1.6494181601346338,4.0,2.2,7.7,4.933910891089109,1.2515069729981065,4.95,0.2874932322685437,0.0741743367623173,0.10882512181916625,0.13968597726042234,0.16892257715213865,0.10395235517054685,0.020573903627504067,0.09637249593936115,1.0,6.0,3.292079207920792,1.5705107809556347,3.0,34,37,36,45,31,19,
agg cat,1,127,0,15,4.322834645669292,2.6633368787263465,4.0,0,6,1.1811023622047243,1.2046030949748325,1.0,0,5,1.3937007874015748,1.1626289333856292,1.0,0,7,1.905511811023622,1.438876716131187,2.0,0,12,3.2755905511811023,2.2455499745416447,3.0,0,9,2.322834645669291,1.803356173448263,2.0,0,6,0.6692913385826772,1.0545074687975342,0.0,0,6,1.8818897637795275,1.5766861633162137,2.0,43,99,67.99212598425197,12.180843705623493,68.0,1.0,4.0,2.5118110236220472,0.6024571608597299,3.0,2.0,9.0,5.622047244094488,1.3797235394706182,6.0,3.25,8.95,6.210629921259843,1.0530874848955543,6.25,0.2549930329772411,0.06967022758941012,0.08221086855550394,0.112401300510915,0.19321876451463074,0.13701811425917323,0.039479795633999074,0.1110078959591268,1.0,6.0,4.2362204724409445,1.312072714505176,4.0,4,6,29,31,31,26,
agg cat,2,87,0,14,3.9770114942528734,2.8242183997760844,4.0,0,7,1.264367816091954,1.4423798979862907,1.0,0,8,1.8735632183908046,1.6621966252393132,2.0,0,11,3.2413793103448274,2.5333382574270873,3.0,0,9,1.793103448275862,1.8623436786871828,1.0,0,14,3.0919540229885056,2.5226056292358163,3.0,0,4,0.6091954022988506,1.0041347292058072,0.0,0,17,7.459770114942529,3.350822869091522,7.0,36,103,79.52873563218391,13.064988790799461,81.0,1.0,4.0,2.8505747126436782,0.6384708409175406,3.0,2.0,9.0,6.632183908045977,1.4069176479489243,7.0,2.8,9.3,7.2925287356321835,1.1112670522309047,7.5,0.17061143984220906,0.054240631163708086,0.08037475345167654,0.1390532544378698,0.07692307692307693,0.13264299802761342,0.026134122287968443,0.32001972386587774,1.0,6.0,4.954022988505747,1.130013850265104,5.0,2,2,4,13,35,31,
agg emb,0,18,1,7,3.8333333333333335,1.9174124721184262,3.5,0,2,0.1111111111111111,0.4714045207910317,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,0.16666666666666666,0.7071067811865478,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,26,79,52.22222222222222,14.679139081806074,48.5,1.0,3.0,1.7222222222222223,0.5745131499601418,2.0,1.0,5.0,2.3333333333333335,1.3719886811400708,2.0,2.6,6.1,3.7777777777777777,0.9561291787912068,3.575,0.9324324324324323,0.02702702702702702,0.0,0.0,0.040540540540540536,0.0,0.0,0.0,1.0,6.0,2.388888888888889,1.5392469086379983,2.0,6,7,0,3,1,1,
