annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [3, 84, 1], [2, 84, 1], [5, 129, 4], [4, 252, 2], [6, 303, 2], [8, 381, 1]]",pathophysiology:23/1; epidemiology:84/1; etiology:84/1; physical:129/4; history:252/2; exams:303/2; therapeutic:381/1,0,0.875,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 4, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 7, 'total annotations': 7, 'ideas': 6}",1,1,1,2,4,2,0,1,7,7,6,7.4,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 2], [4, 82, 1], [1, 182, 6], [4, 418, 2], [5, 454, 6], [4, 743, 1], [6, 772, 3]]",etiology:82/2; history:82/7; pathophysiology:182/6; history:418/2; physical:454/6; history:743/1; exams:772/3,2,0.44642857142857145,-0.7500000000000001,"{'pathophysiology': 6, 'epidemiology': 0, 'etiology': 2, 'history': 4, 'physical': 6, 'exams': 3, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",6,0,2,4,6,3,0,0,5,7,6,6.85,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 52, 4], [3, 167, 1]]",pathophysiology:52/4; etiology:167/1,0,0.25,0.0/0.0,"{'pathophysiology': 4, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",4,0,1,0,0,0,0,0,2,2,2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[4, 2, 1], [3, 13, 1], [2, 13, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 433, 1], [1, 465, 1], [8, 560, 4]]",history:2/5; epidemiology:13/1; etiology:13/1; history:109/2; physical:272/3; pathophysiology:311/3; physical:339/1; exams:433/1; pathophysiology:465/1; therapeutic:560/4,3,0.6124999999999999,-0.25000000000000006,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 3, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 4, 'used categories': 7, 'total annotations': 10, 'ideas': 9}",2,1,1,3,2,1,0,4,7,10,9,8.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[4, 0, 1], [1, 42, 1], [3, 42, 1], [4, 107, 2], [5, 107, 1], [8, 189, 2]]",history:0/5; pathophysiology:42/1; etiology:42/1; history:107/2; physical:107/1; therapeutic:189/2,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 3, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",1,0,1,3,1,0,0,2,5,6,4,5.45,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[7, 21, 1], [3, 28, 1], [4, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 2]]",differential:21/1; etiology:28/1; history:28/1; physical:59/1; pathophysiology:115/1; exams:141/2,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 1, 'history': 1, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 6, 'total annotations': 6, 'ideas': 5}",1,0,1,1,1,2,1,0,6,6,5,3.4,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 43, 1], [3, 66, 1], [1, 121, 4], [5, 307, 1], [4, 351, 1], [8, 397, 1]]",epidemiology:43/1; etiology:66/1; pathophysiology:121/4; physical:307/1; history:351/1; therapeutic:397/1,0,0.75,0.0/0.0,"{'pathophysiology': 4, 'epidemiology': 1, 'etiology': 1, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 1, 'used categories': 6, 'total annotations': 6, 'ideas': 6}",4,1,1,1,1,0,0,1,6,6,6,6.75,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 38, 4]]",etiology:38/4,0,0.125,,"{'pathophysiology': 0, 'epidemiology': 0, 'etiology': 4, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",0,0,4,0,0,0,0,0,1,1,1,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 2, 3], [3, 240, 2], [1, 338, 4], [4, 477, 2], [5, 523, 2], [6, 579, 1], [4, 623, 1], [1, 641, 1], [8, 692, 3]]",epidemiology:2/3; etiology:240/2; pathophysiology:338/6; history:477/4; physical:523/2; exams:579/1; history:623/1; pathophysiology:641/1; therapeutic:692/3,2,0.6805555555555556,-0.2857142857142857,"{'pathophysiology': 5, 'epidemiology': 3, 'etiology': 2, 'history': 3, 'physical': 2, 'exams': 1, 'differential': 0, 'therapeutic': 3, 'used categories': 7, 'total annotations': 9, 'ideas': 9}",5,3,2,3,2,1,0,3,7,9,9,8.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.0
