method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,75,0,13,4.266666666666667,2.657642388106997,4.0,0,2,0.25333333333333335,0.5475580515523627,0.0,0,4,0.68,0.9323031637773143,0.0,0,2,0.24,0.5412697783665494,0.0,0,3,0.28,0.5589565568382143,0.0,0,5,0.37333333333333335,0.9411512980205499,0.0,0,3,0.18666666666666668,0.5857158552259477,0.0,0,3,0.18666666666666668,0.6083503021204887,0.0,26,92,55.45333333333333,14.328476025915151,53.0,1.0,3.0,1.9066666666666667,0.6403827684206456,2.0,1.0,7.0,2.7466666666666666,1.5075784532795606,2.0,2.2,6.75,4.145999999999999,1.0581651636268856,4.1,0.6597938144329898,0.03917525773195877,0.10515463917525775,0.03711340206185567,0.04329896907216496,0.05773195876288661,0.028865979381443304,0.028865979381443304,1.0,6.0,2.64,1.6655491749132036,2.0,25,20,6,12,5,7,
agg 3 cat,1,259,0,13,4.003861003861004,2.443942153964167,4.0,0,6,0.7451737451737451,1.0214396801002021,0.0,0,7,1.555984555984556,1.24193245259749,1.0,0,9,2.0965250965250966,1.650213602085275,2.0,0,9,1.555984555984556,1.688926800129204,1.0,0,8,1.2084942084942085,1.3903617742653973,1.0,0,4,0.3552123552123552,0.7134381850432204,0.0,0,10,1.7644787644787645,1.9614829904524096,1.0,17,99,65.53667953667954,13.535540576542585,65.0,1.0,4.0,2.393822393822394,0.5700201133066213,2.0,1.0,8.0,5.06949806949807,1.466352637385291,5.0,2.8,8.8,5.811583011583012,1.1735542828962255,5.95,0.30136588201104325,0.05608834641092705,0.11711711711711711,0.15780296425457715,0.11711711711711711,0.09096192967160709,0.026736413833188026,0.13281022958442312,1.0,6.0,3.9382239382239383,1.387948660628706,4.0,15,24,56,70,55,39,
agg 3 cat,2,82,0,10,3.792682926829268,2.1701556232417123,4.0,0,4,0.8292682926829268,1.0400009265045784,0.5,0,6,1.7560975609756098,1.2127000342543073,2.0,0,11,3.1463414634146343,1.9759164226059152,3.0,0,12,1.7195121951219512,2.44077699753609,1.0,0,7,2.4146341463414633,1.4311457855719572,2.0,0,4,0.9146341463414634,1.0086198798504373,1.0,0,17,5.841463414634147,3.323947943446731,5.0,46,103,80.04878048780488,12.209996348898242,80.5,1.0,4.0,2.8780487804878048,0.6738546552161817,3.0,3.0,9.0,6.719512195121951,1.3813072198652667,7.0,4.8,9.3,7.3621951219512205,1.0182459190101618,7.4,0.18578255675029867,0.04062126642771804,0.08602150537634409,0.15412186379928317,0.08422939068100359,0.11827956989247312,0.044802867383512544,0.2861409796893668,2.0,6.0,5.073170731707317,0.9529743924749703,5.0,0,1,7,7,37,30,
agg 3 emb,0,84,0,13,4.726190476190476,2.5190894820754948,5.0,0,4,0.17857142857142858,0.5841421325166222,0.0,0,5,1.0238095238095237,1.1298383558145169,1.0,0,3,0.05952380952380952,0.39120421056787574,0.0,0,6,0.7976190476190477,1.4460562230130427,0.0,0,5,0.7738095238095238,1.1857709654730153,0.0,0,4,0.4523809523809524,0.869908759995642,0.0,0,12,1.5476190476190477,2.6086268460248383,0.0,34,100,61.142857142857146,16.74410009895797,59.0,1.0,3.0,2.0714285714285716,0.672805926039298,2.0,1.0,8.0,3.7261904761904763,1.89705663249576,4.0,2.2,8.5,4.920238095238095,1.4727058746504893,4.975,0.49439601494396024,0.018679950186799504,0.10709838107098381,0.006226650062266501,0.08343711083437112,0.08094645080946453,0.04732254047322541,0.16189290161892905,1.0,6.0,3.261904761904762,1.7638884183151178,3.0,18,17,10,17,8,14,
agg 3 emb,1,151,0,13,3.443708609271523,2.1836842311085305,3.0,0,6,1.5562913907284768,0.9283373064384444,1.0,0,6,1.3973509933774835,1.0713198725477253,1.0,0,9,2.152317880794702,1.7841836391689452,2.0,0,9,1.2781456953642385,1.7249500104731588,1.0,0,8,1.423841059602649,1.6183822626014137,1.0,0,4,0.5562913907284768,0.8842002909552711,0.0,0,17,2.3245033112582782,3.2752601298709556,1.0,17,100,65.62913907284768,14.878895968917288,66.0,1.0,4.0,2.437086092715232,0.6279719626479872,2.0,1.0,9.0,5.2052980132450335,1.748591359903554,5.0,2.8,8.7,5.8841059602649,1.410441666771171,6.1,0.24367385192127455,0.11012183692596063,0.09887535145267103,0.1522961574507966,0.09044048734770384,0.10074976569821929,0.03936269915651358,0.16447985004686033,1.0,6.0,3.8940397350993377,1.447537301215619,4.0,13,11,33,38,34,22,
agg 3 emb,2,181,0,13,4.149171270718232,2.491064448618308,4.0,0,5,0.16574585635359115,0.5427687471013386,0.0,0,7,1.6629834254143647,1.3630887901100777,1.0,1,11,2.701657458563536,1.6395959915012115,2.0,0,12,1.6850828729281768,1.9480042832443587,1.0,0,6,1.430939226519337,1.414972988221746,1.0,0,4,0.3259668508287293,0.6656991137189079,0.0,0,13,2.591160220994475,2.489696385275377,2.0,44,103,69.89502762430939,14.509193546174224,70.0,1.0,4.0,2.5248618784530388,0.6630657816660821,3.0,1.0,9.0,5.3646408839779,1.791854566360195,6.0,2.95,9.3,6.177071823204421,1.4088260441199074,6.3,0.2820127675553887,0.011265490048817123,0.11303041682313182,0.18362748779571914,0.1145324821629741,0.09725873075478783,0.022155463762673678,0.1761171610965077,1.0,6.0,4.265193370165746,1.4477390768444665,5.0,9,17,26,34,55,40,
agg cat,0,75,0,13,4.266666666666667,2.657642388106997,4.0,0,2,0.25333333333333335,0.5475580515523627,0.0,0,4,0.68,0.9323031637773143,0.0,0,2,0.24,0.5412697783665494,0.0,0,3,0.28,0.5589565568382143,0.0,0,5,0.37333333333333335,0.9411512980205499,0.0,0,3,0.18666666666666668,0.5857158552259477,0.0,0,3,0.18666666666666668,0.6083503021204887,0.0,26,92,55.45333333333333,14.328476025915151,53.0,1.0,3.0,1.9066666666666667,0.6403827684206456,2.0,1.0,7.0,2.7466666666666666,1.5075784532795606,2.0,2.2,6.75,4.145999999999999,1.0581651636268856,4.1,0.6597938144329898,0.03917525773195877,0.10515463917525775,0.03711340206185567,0.04329896907216496,0.05773195876288661,0.028865979381443304,0.028865979381443304,1.0,6.0,2.64,1.6655491749132036,2.0,25,20,6,12,5,7,
agg cat,1,172,0,7,2.808139534883721,1.468317660571438,3.0,0,4,0.7034883720930233,0.8579790853949252,1.0,0,5,1.4883720930232558,1.1054800872517843,1.0,0,9,2.441860465116279,1.700393151393243,2.0,0,9,1.7616279069767442,1.837279237143892,1.0,0,4,1.063953488372093,1.124674122074901,1.0,0,3,0.32558139534883723,0.6568017576800548,0.0,0,6,1.3604651162790697,1.5364026541681939,1.0,17,99,64.56395348837209,13.20382199488761,64.0,1.0,4.0,2.36046511627907,0.5704782173201962,2.0,1.0,8.0,4.941860465116279,1.4658263235545717,5.0,2.8,8.45,5.699127906976744,1.148142077078515,5.725,0.23492217898832685,0.05885214007782102,0.1245136186770428,0.20428015564202334,0.14737354085603113,0.0890077821011673,0.027237354085603117,0.11381322957198443,1.0,6.0,3.9127906976744184,1.3060629209946861,4.0,7,16,43,46,39,21,
agg cat,2,87,1,13,6.367816091954023,2.262510144028323,6.0,0,6,0.8275862068965517,1.2868466646854972,0.0,0,7,1.6896551724137931,1.4730947081726258,1.0,0,5,1.4137931034482758,1.3078628416275244,1.0,0,6,1.1494252873563218,1.2624149580585062,1.0,0,8,1.4942528735632183,1.7775967786324423,1.0,0,4,0.41379310344827586,0.814858014995893,0.0,0,10,2.5632183908045976,2.4242052134394787,2.0,37,97,67.45977011494253,14.047928422717499,68.0,1.0,4.0,2.4597701149425286,0.5666014082586486,2.0,2.0,8.0,5.32183908045977,1.4426578578214677,5.0,3.25,8.8,6.033908045977012,1.198023912020006,6.05,0.4000000000000001,0.051985559566787014,0.10613718411552349,0.08880866425992781,0.07220216606498196,0.09386281588447655,0.025992779783393507,0.16101083032490976,1.0,6.0,3.9885057471264367,1.543887067155295,4.0,8,8,13,24,16,18,
agg cat,3,82,0,10,3.792682926829268,2.1701556232417123,4.0,0,4,0.8292682926829268,1.0400009265045784,0.5,0,6,1.7560975609756098,1.2127000342543073,2.0,0,11,3.1463414634146343,1.9759164226059152,3.0,0,12,1.7195121951219512,2.44077699753609,1.0,0,7,2.4146341463414633,1.4311457855719572,2.0,0,4,0.9146341463414634,1.0086198798504373,1.0,0,17,5.841463414634147,3.323947943446731,5.0,46,103,80.04878048780488,12.209996348898242,80.5,1.0,4.0,2.8780487804878048,0.6738546552161817,3.0,3.0,9.0,6.719512195121951,1.3813072198652667,7.0,4.8,9.3,7.3621951219512205,1.0182459190101618,7.4,0.18578255675029867,0.04062126642771804,0.08602150537634409,0.15412186379928317,0.08422939068100359,0.11827956989247312,0.044802867383512544,0.2861409796893668,2.0,6.0,5.073170731707317,0.9529743924749703,5.0,0,1,7,7,37,30,
