method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.08298266679048538,41.566161977519435
kmeans 3 emb,3,0.08298266679048538,41.566161977519435
kmeans cat,3,0.2066244583681798,135.7273189772719
kmeans 3 cat,3,0.2066244583681798,135.7273189772719
agg emb,3,0.07050392031669617,39.343880874578716
agg 3 emb,3,0.07050392031669617,39.343880874578716
agg cat,3,0.14006013574159742,105.531996955251
agg 3 cat,3,0.14006013574159742,105.531996955251
gmm emb,3,0.08298266679048538,41.566161977519435
gmm 3 emb,3,0.08298266679048538,41.566161977519435
gmm cat,3,0.015356080349633714,38.59996565098599
gmm 3 cat,3,0.015356080349633714,38.59996565098599
birch emb,3,0.07050392031669617,39.343880874578716
birch 3 emb,3,0.07050392031669617,39.343880874578716
birch cat,3,0.07050392031669617,39.343880874578716
birch 3 cat,3,0.07050392031669617,39.343880874578716
