method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.11598176210595348,0.16707575496997934,0.44166878739805904,3,0.0855005085468292,47.210495115073805,4,0.0877644345164299,35.884665893185485
kmeans 3 emb,0.22372761643505706,0.24365981884079232,0.5334123380659961,3,0.0855005085468292,47.210495115073805,3,0.0720081999897956,40.86690168795735
kmeans cat,0.2767846245239418,0.34049941410831613,0.5123531264786405,3,0.2081497387438791,132.0279675940301,4,0.2070945649756429,114.02996771786096
kmeans 3 cat,0.3763871953878607,0.3776348873312919,0.6025819914362511,3,0.2081497387438791,132.0279675940301,3,0.1892695646143959,126.95308422862476
agg emb,0.06473730925509745,0.13531517428604792,0.43980937836956535,3,0.0693360120058059,44.04944598820306,4,0.0533645972609519,34.71872009218512
agg 3 emb,0.12735827699851376,0.16789793943180548,0.5990314058772853,3,0.0693360120058059,44.04944598820306,3,0.1503122597932815,41.15745361396039
agg cat,0.25709746423990937,0.3351758284162117,0.5586915844092089,3,0.1623286113699627,107.7990335073284,4,0.1030846679992246,87.40817837403605
agg 3 cat,0.11496209967871894,0.2247768555709665,0.5258788939510068,3,0.1623286113699627,107.7990335073284,3,0.195134630503816,102.04103284234716
gmm emb,0.12534866682153123,0.20351823013879067,0.46501412917018065,3,0.1335705816745758,42.69597902476169,4,0.0524061396718025,33.702355873320855
gmm 3 emb,0.2851986003140441,0.2462597865574741,0.6333074597089134,3,0.1335705816745758,42.69597902476169,3,0.0888612791895866,40.507972609296665
gmm cat,0.11265891601859485,0.12239940597383137,0.5858592313846978,3,0.1273438575459814,17.67425970175014,4,0.0072937562199554,42.26785246132775
gmm 3 cat,0.09777950628128489,0.11301847849938025,0.5881576629109432,3,0.1273438575459814,17.67425970175014,3,0.0862401576209387,43.77254905413591
birch emb,0.15506215139557497,0.18355767083720037,0.465303233153193,3,0.0790954604744911,39.64528415009516,4,0.0533645972609519,34.71872009218512
birch 3 emb,0.15045915229447177,0.1672673120496317,0.5711565008873096,3,0.0790954604744911,39.64528415009516,3,0.1503122597932815,41.15745361396039
birch cat,0.15506215139557497,0.18355767083720037,0.465303233153193,3,0.0790954604744911,39.64528415009516,4,0.0533645972609519,34.71872009218512
birch 3 cat,0.15045915229447177,0.1672673120496317,0.5711565008873096,3,0.0790954604744911,39.64528415009516,3,0.1503122597932815,41.15745361396039
