method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.09136489033030203,0.13310183024130984,0.4510931447846332,3,0.0855005085468292,47.210495115073805,3,0.0894232168793678,39.013270841936624
kmeans 3 emb,0.09136489033030203,0.13310183024130984,0.4510931447846332,3,0.0855005085468292,47.210495115073805,3,0.0894232168793678,39.013270841936624
kmeans cat,0.31377527082294404,0.3352537357615439,0.5691033006585737,3,0.2081497387438791,132.0279675940301,3,0.2088446525356894,129.36662803781826
kmeans 3 cat,0.31377527082294404,0.3352537357615439,0.5691033006585737,3,0.2081497387438791,132.0279675940301,3,0.2088446525356894,129.36662803781826
agg emb,0.047155883204138396,0.16379754214178588,0.4936898354676543,3,0.0693360120058059,44.04944598820306,3,0.0797162875533104,33.12093364000576
agg 3 emb,0.047155883204138396,0.16379754214178588,0.4936898354676543,3,0.0693360120058059,44.04944598820306,3,0.0797162875533104,33.12093364000576
agg cat,0.3026194927631501,0.3436190137267196,0.622048949991697,3,0.1623286113699627,107.7990335073284,3,0.178919662043412,102.8697854027461
agg 3 cat,0.3026194927631501,0.3436190137267196,0.622048949991697,3,0.1623286113699627,107.7990335073284,3,0.178919662043412,102.8697854027461
gmm emb,0.17968673950181957,0.15885921452873725,0.5650225461339367,3,0.1335705816745758,42.69597902476169,3,0.0917933508753776,38.71307395593552
gmm 3 emb,0.17968673950181957,0.15885921452873725,0.5650225461339367,3,0.1335705816745758,42.69597902476169,3,0.0917933508753776,38.71307395593552
gmm cat,0.29440523304293265,0.13297260375321263,0.7763889242366641,3,0.1273438575459814,17.67425970175014,3,0.0515229130458002,26.11798820290339
gmm 3 cat,0.29440523304293265,0.13297260375321263,0.7763889242366641,3,0.1273438575459814,17.67425970175014,3,0.0515229130458002,26.11798820290339
birch emb,0.28884967025859604,0.2700849471064392,0.6135382360227999,3,0.0790954604744911,39.64528415009516,3,0.0897868499159812,34.93004947890519
birch 3 emb,0.28884967025859604,0.2700849471064392,0.6135382360227999,3,0.0790954604744911,39.64528415009516,3,0.0897868499159812,34.93004947890519
birch cat,0.28884967025859604,0.2700849471064392,0.6135382360227999,3,0.0790954604744911,39.64528415009516,3,0.0897868499159812,34.93004947890519
birch 3 cat,0.28884967025859604,0.2700849471064392,0.6135382360227999,3,0.0790954604744911,39.64528415009516,3,0.0897868499159812,34.93004947890519
