method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09047695249319077,38.995703132635384
kmeans 3 emb,3,0.09047695249319077,38.995703132635384
kmeans cat,3,0.2088446525356894,129.36662803781826
kmeans 3 cat,3,0.2088446525356894,129.36662803781826
agg emb,3,0.07971629500389099,33.12093615270686
agg 3 emb,3,0.07971629500389099,33.12093615270686
agg cat,3,0.17891966204341203,102.8697854027461
agg 3 cat,3,0.17891966204341203,102.8697854027461
gmm emb,3,0.08639974147081375,38.84356716998404
gmm 3 emb,3,0.08639974147081375,38.84356716998404
gmm cat,3,0.05152291304580021,26.11798820290339
gmm 3 cat,3,0.05152291304580021,26.11798820290339
birch emb,3,0.08978684991598129,34.93004844968649
birch 3 emb,3,0.08978684991598129,34.93004844968649
birch cat,3,0.08978684991598129,34.93004844968649
birch 3 cat,3,0.08978684991598129,34.93004844968649
