method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.10173695449174246,0.14846628701679343,0.41582540936096196,3,0.0855005085468292,47.210495115073805,4,0.0736777037382125,32.128910691246105
kmeans 3 emb,0.07499447283943571,0.10969704422035224,0.4236267067427103,3,0.0855005085468292,47.210495115073805,3,0.0668211355805397,36.77062174259102
kmeans cat,0.25975123092100566,0.3169729080905272,0.47727510871961903,3,0.2081497387438791,132.0279675940301,5,0.1852792750136647,84.09543128308901
kmeans 3 cat,0.3761880103474944,0.39568607052053595,0.5992811312683444,3,0.2081497387438791,132.0279675940301,3,0.1605714961744466,106.69013252125646
agg emb,0.06924579351923603,0.19508556233051824,0.45997100247793343,3,0.0693360120058059,44.04944598820306,4,0.0772185623645782,31.65061550072729
agg 3 emb,0.04433255092295855,0.1710272781817857,0.4646898588630991,3,0.0693360120058059,44.04944598820306,3,0.0666110515594482,37.364309607451965
agg cat,0.15652583002269052,0.2756072160601635,0.43147081228487044,3,0.1623286113699627,107.7990335073284,5,0.1391939419533579,74.64416332796064
agg 3 cat,0.3301851517087977,0.32238128394552923,0.6257994370199323,3,0.1623286113699627,107.7990335073284,3,0.1523507808129526,98.12069921835152
gmm emb,0.15340713451859236,0.20249418060902713,0.4965862762018075,3,0.1335705816745758,42.69597902476169,4,0.0625146701931953,30.412855080555715
gmm 3 emb,0.26664183056174817,0.25730547546645277,0.6235639686855688,3,0.1335705816745758,42.69597902476169,3,0.0715122893452644,33.61364670872366
gmm cat,0.13103925545872921,0.1011599687173214,0.6165428089725095,3,0.1273438575459814,17.67425970175014,5,0.0654091854369776,33.13674135755089
gmm 3 cat,0.34980759109563875,0.13172235314571284,0.8165177964148724,3,0.1273438575459814,17.67425970175014,3,0.0797302175276094,24.351691661593627
birch emb,0.3149824551173107,0.28594393601770207,0.5794459046456204,3,0.0790954604744911,39.64528415009516,4,0.0772185623645782,31.65061550072729
birch 3 emb,0.29721788484182543,0.26935810377611374,0.580323204517992,3,0.0790954604744911,39.64528415009516,3,0.0666110515594482,37.364309607451965
birch cat,0.2291928362399871,0.2514978619476829,0.4902601778487962,3,0.0790954604744911,39.64528415009516,5,0.044960718601942,28.22980865339125
birch 3 cat,0.29721788484182543,0.26935810377611374,0.580323204517992,3,0.0790954604744911,39.64528415009516,3,0.0666110515594482,37.364309607451965
