method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,109,0,12,3.18348623853211,2.373328408291856,3.0,0,3,0.4036697247706422,0.6683210868238725,0.0,0,3,0.6788990825688074,0.9014467173193415,0.0,0,4,0.5871559633027523,0.9738336725265341,0.0,0,4,0.5045871559633027,0.8235408331756099,0.0,0,4,0.3853211009174312,0.8914019013011029,0.0,0,2,0.09174311926605505,0.39770835218950534,0.0,0,8,0.3761467889908257,1.1689579945696495,0.0,17,93,56.54128440366973,13.871454909200953,54.0,1.0,3.0,1.944954128440367,0.6211527870929612,2.0,1.0,7.0,2.9724770642201834,1.455886617967377,3.0,2.2,6.75,4.313302752293579,1.0878674815860407,4.2,0.5125553914327917,0.06499261447562778,0.10930576070901035,0.09453471196454949,0.0812407680945347,0.0620384047267356,0.014771048744460858,0.060561299852289516,1.0,6.0,2.8256880733944953,1.632108592390972,2.0,30,27,13,19,11,9,
agg 3 cat,1,235,0,13,3.3148936170212764,2.1169824843540037,3.0,0,8,1.0170212765957447,1.2228800160822841,1.0,0,7,1.3659574468085107,1.3115653523157589,1.0,0,8,1.9361702127659575,1.6304298541689364,2.0,0,12,2.1446808510638298,2.2236883688617968,2.0,0,8,1.327659574468085,1.4643487113978235,1.0,0,3,0.17872340425531916,0.5084483561387108,0.0,0,7,1.5872340425531914,1.7133983103109238,1.0,36,100,67.3063829787234,13.797983939433738,67.0,1.0,4.0,2.4638297872340424,0.5715571517717261,2.0,1.0,9.0,5.327659574468085,1.3615134439197347,5.0,2.8,9.3,6.029148936170213,1.120015700796607,6.05,0.25752066115702477,0.07900826446280992,0.10611570247933885,0.15041322314049588,0.16661157024793388,0.10314049586776859,0.013884297520661157,0.12330578512396694,1.0,6.0,4.140425531914894,1.3718257181780558,4.0,9,18,50,60,50,48,
agg 3 cat,2,72,0,7,2.6666666666666665,1.7682648453725147,2.0,0,7,1.3472222222222223,1.3017834161633064,1.0,0,5,1.625,1.1680910151688992,2.0,0,7,2.638888888888889,1.603741712508029,3.0,0,8,2.2777777777777777,1.8478935264600662,2.0,0,9,2.4166666666666665,1.742185772989102,2.0,0,4,0.5138888888888888,0.8390647972351787,0.0,0,17,5.25,3.1789359545006413,5.0,36,103,79.40277777777777,12.276921807875226,79.0,1.0,4.0,2.888888888888889,0.6403246437958394,3.0,3.0,9.0,6.861111111111111,1.2815654550780662,7.0,4.3,8.95,7.4006944444444445,0.9815729348589306,7.5,0.14232765011119344,0.07190511489992586,0.0867309117865085,0.1408450704225352,0.12157153446997773,0.12898443291326905,0.027427724240177902,0.2802075611564121,1.0,6.0,4.902777777777778,0.9809412298403131,5.0,1,0,6,10,36,19,
agg 3 emb,0,124,0,13,3.7016129032258065,2.534252631799635,3.0,0,5,0.6370967741935484,0.8679915834457149,0.0,0,4,1.0161290322580645,1.0119920865378913,1.0,0,1,0.016129032258064516,0.1264828127237177,0.0,0,10,1.5725806451612903,1.9843836957554506,1.0,0,7,0.8629032258064516,1.381260632048871,0.0,0,4,0.23387096774193547,0.6639236777536883,0.0,0,10,1.1048387096774193,2.0033246691116964,0.0,26,97,60.53225806451613,15.55396348927,57.5,1.0,4.0,2.1048387096774195,0.6725578935046365,2.0,1.0,9.0,3.911290322580645,1.9796201359117391,4.0,2.2,9.3,4.982258064516128,1.4900509287469463,4.95,0.4047619047619047,0.06966490299823633,0.11111111111111109,0.0017636684303350967,0.17195767195767192,0.09435626102292768,0.0255731922398589,0.12081128747795412,1.0,6.0,3.217741935483871,1.6991651889576043,3.0,26,23,21,24,12,18,
agg 3 emb,1,91,0,7,3.120879120879121,1.8489346171671994,3.0,0,5,0.8681318681318682,0.9798955863740579,1.0,0,6,1.2087912087912087,1.3292979226016144,1.0,0,8,2.241758241758242,1.4011158992480823,2.0,0,12,2.131868131868132,2.464002124858352,1.0,0,8,0.978021978021978,1.6053938386855036,0.0,0,3,0.10989010989010989,0.48190707842325,0.0,0,5,0.054945054945054944,0.5241424183609578,0.0,38,82,60.1978021978022,10.201546484310635,60.0,1.0,3.0,2.208791208791209,0.5480568404520652,2.0,1.0,7.0,4.417582417582418,1.520715723788083,5.0,3.2,7.55,5.218681318681319,1.0960699580178963,5.35,0.2912820512820513,0.08102564102564104,0.11282051282051282,0.20923076923076925,0.19897435897435897,0.09128205128205129,0.010256410256410256,0.005128205128205128,1.0,6.0,3.3516483516483517,1.2505432275048969,3.0,8,12,31,24,12,4,
agg 3 emb,2,201,0,10,2.8606965174129355,1.9366201260024676,2.0,0,8,1.1044776119402986,1.354263582448511,1.0,0,7,1.373134328358209,1.3057850615111466,1.0,0,8,2.5024875621890548,1.4701169276947101,2.0,0,10,1.6616915422885572,1.801381448882525,1.0,0,9,1.6517412935323383,1.5159516656992462,1.0,0,3,0.24875621890547264,0.5457205743543413,0.0,0,17,3.2338308457711444,2.6191696682811103,3.0,17,103,73.19900497512438,14.630112747514122,74.0,1.0,4.0,2.671641791044776,0.6177716334089616,3.0,1.0,9.0,5.885572139303482,1.5433213521557658,6.0,2.85,8.95,6.60273631840796,1.2310381696455954,6.65,0.1954452753229096,0.07545887151597552,0.0938137321549966,0.1709721278042148,0.11352821210061183,0.11284840244731476,0.01699524133242692,0.22093813732154996,1.0,6.0,4.626865671641791,1.2669153984641872,5.0,6,10,17,41,73,54,
agg cat,0,109,0,12,3.18348623853211,2.373328408291856,3.0,0,3,0.4036697247706422,0.6683210868238725,0.0,0,3,0.6788990825688074,0.9014467173193415,0.0,0,4,0.5871559633027523,0.9738336725265341,0.0,0,4,0.5045871559633027,0.8235408331756099,0.0,0,4,0.3853211009174312,0.8914019013011029,0.0,0,2,0.09174311926605505,0.39770835218950534,0.0,0,8,0.3761467889908257,1.1689579945696495,0.0,17,93,56.54128440366973,13.871454909200953,54.0,1.0,3.0,1.944954128440367,0.6211527870929612,2.0,1.0,7.0,2.9724770642201834,1.455886617967377,3.0,2.2,6.75,4.313302752293579,1.0878674815860407,4.2,0.5125553914327917,0.06499261447562778,0.10930576070901035,0.09453471196454949,0.0812407680945347,0.0620384047267356,0.014771048744460858,0.060561299852289516,1.0,6.0,2.8256880733944953,1.632108592390972,2.0,30,27,13,19,11,9,
agg cat,1,87,0,7,2.7586206896551726,1.7650714277751918,2.0,0,5,0.9885057471264368,1.02859412830355,1.0,0,4,1.0574712643678161,0.9807012422191801,1.0,0,8,1.6206896551724137,1.5495038914255443,2.0,0,12,4.0,2.357570685023828,4.0,0,5,1.0229885057471264,1.346632419021379,0.0,0,3,0.1724137931034483,0.5541995390740264,0.0,0,3,0.5862068965517241,0.9219761907071975,0.0,36,99,62.05747126436781,12.692569078410056,62.0,2.0,3.0,2.3908045977011496,0.4907593034595512,2.0,2.0,8.0,5.149425287356322,1.1962026703930406,5.0,2.8,7.55,5.677586206896551,0.9922009426044768,5.65,0.22598870056497178,0.08097928436911489,0.08662900188323919,0.1327683615819209,0.3276836158192091,0.08380414312617702,0.014124293785310736,0.0480225988700565,1.0,6.0,3.5977011494252875,1.2525301845217935,4.0,6,7,30,22,17,5,
agg cat,2,90,1,13,4.644444444444445,2.147960156510719,4.5,0,8,1.3111111111111111,1.4963960033198305,1.0,0,5,1.3,1.0856572596327345,1.0,0,8,2.2333333333333334,1.8545419495650748,2.0,0,5,1.3333333333333333,1.1803636841949565,1.0,0,8,1.6,1.5491933384829673,1.0,0,3,0.25555555555555554,0.5720279538842213,0.0,0,6,1.3666666666666667,1.3361860867510051,1.0,39,99,69.22222222222223,12.965622460674961,69.0,1.0,4.0,2.477777777777778,0.5849762845049432,2.5,2.0,9.0,5.477777777777778,1.3088100589035612,5.5,3.25,9.3,6.2,1.092569386889702,6.225,0.3306962025316456,0.09335443037974683,0.09256329113924051,0.15901898734177217,0.09493670886075949,0.1139240506329114,0.01819620253164557,0.09731012658227849,1.0,6.0,4.222222222222222,1.278849357977514,4.0,2,6,17,28,19,18,
agg cat,3,58,0,6,2.086206896551724,1.3016114541196473,2.0,0,4,0.603448275862069,0.8571608617358304,0.0,0,7,1.9310344827586208,1.8147743464724861,1.0,0,5,1.9482758620689655,1.2762666744530389,2.0,0,4,0.6206896551724138,1.0400335049747456,0.0,0,6,1.3620689655172413,1.4351266936195084,1.0,0,1,0.06896551724137931,0.2556085937053831,0.0,0,7,3.4310344827586206,1.7076922867303994,3.0,41,100,72.20689655172414,14.273959384677626,73.5,1.0,4.0,2.5517241379310347,0.6535305948113731,3.0,1.0,9.0,5.362068965517241,1.6404778493194239,5.0,3.65,8.5,6.291379310344828,1.223065530622136,6.324999999999999,0.17310443490701002,0.05007153075822604,0.16022889842632335,0.16165951359084407,0.05150214592274679,0.11301859799713877,0.005722460658082976,0.28469241773962806,1.0,6.0,4.827586206896552,1.3654628549424055,5.0,1,5,3,10,14,25,
