method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,58,0,7,3.0517241379310347,1.771335246119147,3.0,0,3,0.22413793103448276,0.5632955488711947,0.0,0,3,0.5172413793103449,0.8000302474620594,0.0,0,2,0.20689655172413793,0.48697493323777524,0.0,0,8,0.5689655172413793,1.3391810664038837,0.0,0,3,0.1896551724137931,0.6057298497991408,0.0,0,3,0.13793103448275862,0.5444545270290441,0.0,0,3,0.20689655172413793,0.642326382840658,0.0,26,92,51.706896551724135,13.153624836522742,49.5,1.0,3.0,1.793103448275862,0.6144065940360002,2.0,1.0,5.0,2.4655172413793105,1.2595671386990464,2.0,2.2,5.6,3.818103448275862,0.8240730186020534,3.75,0.597972972972973,0.04391891891891892,0.10135135135135137,0.04054054054054054,0.1114864864864865,0.037162162162162164,0.02702702702702703,0.04054054054054054,1.0,6.0,2.189655172413793,1.3436908655512096,2.0,21,21,7,5,1,3,
agg 3 cat,1,188,0,17,4.308510638297872,3.0364156879177058,4.0,0,7,0.9414893617021277,1.1242499174523284,1.0,0,6,1.2765957446808511,1.1460628284813696,1.0,0,8,1.9680851063829787,1.6446453555886587,2.0,0,5,0.8776595744680851,1.0398122264997773,1.0,0,11,1.6648936170212767,1.9346105991750162,1.0,0,3,0.4308510638297872,0.7947052856678272,0.0,0,7,1.351063829787234,1.668887661884266,1.0,17,100,64.33510638297872,13.127488467508092,64.0,1.0,4.0,2.3351063829787235,0.5563839413807874,2.0,1.0,9.0,4.632978723404255,1.5228658810031488,5.0,2.8,9.3,5.533244680851064,1.1816097982042115,5.6,0.3360995850622407,0.07344398340248964,0.09958506224066391,0.15352697095435686,0.06846473029045644,0.12987551867219918,0.033609958506224065,0.1053941908713693,1.0,6.0,3.7925531914893615,1.4642067708297795,4.0,17,18,40,53,32,28,
agg 3 cat,2,170,0,11,3.8529411764705883,2.2549400461883526,4.0,0,6,1.223529411764706,1.299763024265643,1.0,0,5,1.4941176470588236,1.297457955326717,1.0,0,14,4.317647058823529,2.5637978702826505,4.0,0,8,1.2705882352941176,1.6127321468165638,1.0,0,8,2.7294117647058824,1.8196054926750465,3.0,0,5,0.8705882352941177,1.0800858534155275,1.0,0,20,5.229411764705882,3.8276887066954273,5.0,36,103,74.13529411764706,14.06028614085386,75.0,1.0,4.0,2.6823529411764704,0.6565422190128585,3.0,1.0,9.0,6.211764705882353,1.3981739371445425,6.0,3.8,8.95,6.81264705882353,1.1204798972490433,6.85,0.18357623318385652,0.05829596412556054,0.07118834080717489,0.20571748878923765,0.060538116591928245,0.13004484304932737,0.04147982062780269,0.24915919282511212,1.0,6.0,4.670588235294118,1.1705279777119102,5.0,2,6,22,31,64,45,
agg 3 emb,0,101,0,17,3.881188118811881,2.7867081968260377,3.0,0,5,0.6534653465346535,0.8767627223411862,0.0,0,6,1.0,1.140175425099138,1.0,0,8,0.44554455445544555,1.2367315595936943,0.0,0,8,0.6336633663366337,1.2706122325652922,0.0,0,8,1.0396039603960396,1.7659036897815688,0.0,0,3,0.33663366336633666,0.7110165641217129,0.0,0,10,0.8415841584158416,1.927343629285275,0.0,26,100,57.32673267326733,14.264016903306786,54.0,1.0,3.0,2.0396039603960396,0.6312019023926956,2.0,1.0,7.0,3.485148514851485,1.7240293581383042,4.0,2.2,8.5,4.608910891089109,1.2460817798123034,4.55,0.4394618834080717,0.07399103139013452,0.1132286995515695,0.05044843049327354,0.07174887892376682,0.11771300448430493,0.03811659192825112,0.09529147982062779,1.0,6.0,2.9702970297029703,1.584016701582117,3.0,23,22,18,20,9,9,
agg 3 emb,1,196,0,10,4.0,2.6037448376304426,4.0,0,6,0.5918367346938775,1.0008891912733124,0.0,0,5,1.5,1.2949606468627055,1.0,0,14,3.2551020408163267,2.3018887428383796,3.0,0,8,1.2704081632653061,1.436998951424308,1.0,0,11,1.7857142857142858,1.866025530921612,1.0,0,4,0.4030612244897959,0.7550111674001967,0.0,0,17,2.6581632653061225,3.017977705288426,2.0,37,101,67.12755102040816,13.93902678876457,65.5,1.0,4.0,2.443877551020408,0.6578233457092616,2.0,1.0,9.0,5.158163265306122,1.7803729640601889,5.0,2.95,9.3,5.935459183673469,1.3428749463008123,6.025,0.25866050808314084,0.038271197624546345,0.09699769053117781,0.21049158693500492,0.08215110524579346,0.11547344110854502,0.026064005278785874,0.17189046519300558,1.0,6.0,4.030612244897959,1.47425135547889,4.0,12,21,36,45,44,38,
agg 3 emb,2,119,0,14,3.9159663865546217,2.496030176686244,4.0,0,7,1.815126050420168,1.2620026226477745,2.0,0,5,1.084033613445378,1.0462186303968077,1.0,0,13,3.638655462184874,2.385447022872606,3.0,0,8,0.8487394957983193,1.2187702572827388,1.0,0,8,2.7983193277310923,1.8711902852479567,3.0,0,5,1.0420168067226891,1.1745533444834146,1.0,0,20,4.61344537815126,3.9896247725044267,4.0,17,103,73.52941176470588,14.926840532916357,75.0,1.0,4.0,2.638655462184874,0.6068966968329048,3.0,2.0,9.0,5.9411764705882355,1.4397158244024746,6.0,2.8,8.95,6.647058823529412,1.2632734938402215,6.85,0.19821352615908125,0.09187579753296471,0.05487026797107614,0.18417694598043388,0.04296044236495109,0.14164185452998726,0.05274351339855382,0.23351765206295194,1.0,6.0,4.571428571428571,1.2660590701097891,5.0,5,2,15,24,44,29,
agg cat,0,58,0,7,3.0517241379310347,1.771335246119147,3.0,0,3,0.22413793103448276,0.5632955488711947,0.0,0,3,0.5172413793103449,0.8000302474620594,0.0,0,2,0.20689655172413793,0.48697493323777524,0.0,0,8,0.5689655172413793,1.3391810664038837,0.0,0,3,0.1896551724137931,0.6057298497991408,0.0,0,3,0.13793103448275862,0.5444545270290441,0.0,0,3,0.20689655172413793,0.642326382840658,0.0,26,92,51.706896551724135,13.153624836522742,49.5,1.0,3.0,1.793103448275862,0.6144065940360002,2.0,1.0,5.0,2.4655172413793105,1.2595671386990464,2.0,2.2,5.6,3.818103448275862,0.8240730186020534,3.75,0.597972972972973,0.04391891891891892,0.10135135135135137,0.04054054054054054,0.1114864864864865,0.037162162162162164,0.02702702702702703,0.04054054054054054,1.0,6.0,2.189655172413793,1.3436908655512096,2.0,21,21,7,5,1,3,
agg cat,1,188,0,17,4.308510638297872,3.0364156879177058,4.0,0,7,0.9414893617021277,1.1242499174523284,1.0,0,6,1.2765957446808511,1.1460628284813696,1.0,0,8,1.9680851063829787,1.6446453555886587,2.0,0,5,0.8776595744680851,1.0398122264997773,1.0,0,11,1.6648936170212767,1.9346105991750162,1.0,0,3,0.4308510638297872,0.7947052856678272,0.0,0,7,1.351063829787234,1.668887661884266,1.0,17,100,64.33510638297872,13.127488467508092,64.0,1.0,4.0,2.3351063829787235,0.5563839413807874,2.0,1.0,9.0,4.632978723404255,1.5228658810031488,5.0,2.8,9.3,5.533244680851064,1.1816097982042115,5.6,0.3360995850622407,0.07344398340248964,0.09958506224066391,0.15352697095435686,0.06846473029045644,0.12987551867219918,0.033609958506224065,0.1053941908713693,1.0,6.0,3.7925531914893615,1.4642067708297795,4.0,17,18,40,53,32,28,
agg cat,2,170,0,11,3.8529411764705883,2.2549400461883526,4.0,0,6,1.223529411764706,1.299763024265643,1.0,0,5,1.4941176470588236,1.297457955326717,1.0,0,14,4.317647058823529,2.5637978702826505,4.0,0,8,1.2705882352941176,1.6127321468165638,1.0,0,8,2.7294117647058824,1.8196054926750465,3.0,0,5,0.8705882352941177,1.0800858534155275,1.0,0,20,5.229411764705882,3.8276887066954273,5.0,36,103,74.13529411764706,14.06028614085386,75.0,1.0,4.0,2.6823529411764704,0.6565422190128585,3.0,1.0,9.0,6.211764705882353,1.3981739371445425,6.0,3.8,8.95,6.81264705882353,1.1204798972490433,6.85,0.18357623318385652,0.05829596412556054,0.07118834080717489,0.20571748878923765,0.060538116591928245,0.13004484304932737,0.04147982062780269,0.24915919282511212,1.0,6.0,4.670588235294118,1.1705279777119102,5.0,2,6,22,31,64,45,
agg emb,0,101,0,17,3.881188118811881,2.7867081968260377,3.0,0,5,0.6534653465346535,0.8767627223411862,0.0,0,6,1.0,1.140175425099138,1.0,0,8,0.44554455445544555,1.2367315595936943,0.0,0,8,0.6336633663366337,1.2706122325652922,0.0,0,8,1.0396039603960396,1.7659036897815688,0.0,0,3,0.33663366336633666,0.7110165641217129,0.0,0,10,0.8415841584158416,1.927343629285275,0.0,26,100,57.32673267326733,14.264016903306786,54.0,1.0,3.0,2.0396039603960396,0.6312019023926956,2.0,1.0,7.0,3.485148514851485,1.7240293581383042,4.0,2.2,8.5,4.608910891089109,1.2460817798123034,4.55,0.4394618834080717,0.07399103139013452,0.1132286995515695,0.05044843049327354,0.07174887892376682,0.11771300448430493,0.03811659192825112,0.09529147982062779,1.0,6.0,2.9702970297029703,1.584016701582117,3.0,23,22,18,20,9,9,
