method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.10546399765801359,0.1357301266625644,0.46408942060445163,3,0.0855005085468292,47.210495115073805,3,0.0849123001098632,41.80605798933589
kmeans 3 emb,0.10546399765801359,0.1357301266625644,0.46408942060445163,3,0.0855005085468292,47.210495115073805,3,0.0849123001098632,41.80605798933589
kmeans cat,0.37274391385256866,0.38488794886605077,0.5996775543584663,3,0.2081497387438791,132.0279675940301,3,0.1913428921610399,124.79443585872964
kmeans 3 cat,0.37274391385256866,0.38488794886605077,0.5996775543584663,3,0.2081497387438791,132.0279675940301,3,0.1913428921610399,124.79443585872964
agg emb,0.061272748768162924,0.1409595952562203,0.4656543840018587,3,0.0693360120058059,44.04944598820306,3,0.076495349407196,43.54524490444223
agg 3 emb,0.061272748768162924,0.1409595952562203,0.4656543840018587,3,0.0693360120058059,44.04944598820306,3,0.076495349407196,43.54524490444223
agg cat,0.17131262233886613,0.23457527770888745,0.5174198794262813,3,0.1623286113699627,107.7990335073284,3,0.1316044338610086,98.16438458968612
agg 3 cat,0.17131262233886613,0.23457527770888745,0.5174198794262813,3,0.1623286113699627,107.7990335073284,3,0.1316044338610086,98.16438458968612
gmm emb,0.2388958667069492,0.26686853832769447,0.601295088107011,3,0.1335705816745758,42.69597902476169,3,0.0774179995059967,41.35301842050873
gmm 3 emb,0.2388958667069492,0.26686853832769447,0.601295088107011,3,0.1335705816745758,42.69597902476169,3,0.0774179995059967,41.35301842050873
gmm cat,0.06020413374703204,0.06679731529579534,0.5469990913381397,3,0.1273438575459814,17.67425970175014,3,0.1014356211598521,71.27067059707005
gmm 3 cat,0.06020413374703204,0.06679731529579534,0.5469990913381397,3,0.1273438575459814,17.67425970175014,3,0.1014356211598521,71.27067059707005
birch emb,0.14650731621201357,0.15937048894532366,0.48234301239807476,3,0.0790954604744911,39.64528415009516,3,0.076495349407196,43.54524490444223
birch 3 emb,0.14650731621201357,0.15937048894532366,0.48234301239807476,3,0.0790954604744911,39.64528415009516,3,0.076495349407196,43.54524490444223
birch cat,0.14650731621201357,0.15937048894532366,0.48234301239807476,3,0.0790954604744911,39.64528415009516,3,0.076495349407196,43.54524490444223
birch 3 cat,0.14650731621201357,0.15937048894532366,0.48234301239807476,3,0.0790954604744911,39.64528415009516,3,0.076495349407196,43.54524490444223
