annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [3, 84, 1], [2, 84, 1], [5, 129, 4], [4, 252, 2], [6, 303, 2], [8, 381, 1]]",pathophysiology:23/1; epidemiology:84/1; etiology:84/1; physical:129/4; history:252/2; exams:303/2; therapeutic:381/1,0,0.875,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 4, 'exams': 2, 'differential': 0, 'therapeutic': 1, 'used categories': 7, 'total annotations': 7, 'ideas': 6}",1,1,1,2,4,2,0,1,7,7,6,7.4,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 2], [2, 82, 2], [1, 146, 7], [4, 418, 2], [5, 454, 2], [6, 569, 1], [5, 585, 3], [4, 743, 1], [6, 772, 3]]",epidemiology:82/2; etiology:82/2; pathophysiology:146/7; history:418/4; physical:454/8; exams:569/7; physical:585/3; history:743/1; exams:772/3,3,0.5,-0.2857142857142858,"{'pathophysiology': 7, 'epidemiology': 2, 'etiology': 2, 'history': 3, 'physical': 5, 'exams': 4, 'differential': 0, 'therapeutic': 0, 'used categories': 6, 'total annotations': 9, 'ideas': 8}",7,2,2,3,5,4,0,0,6,9,8,6.85,2,2,1,1,1,1,2,2,2,2,0,0,1,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 0, 3], [4, 110, 1], [5, 110, 1]]",pathophysiology:0/3; history:110/1; physical:110/1,0,0.375,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 3, 'ideas': 2}",3,0,0,1,1,0,0,0,3,3,2,3.65,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 3, 5], [3, 167, 1]]",pathophysiology:3/5; etiology:167/1,0,0.25,0.0/0.0,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",5,0,1,0,0,0,0,0,2,2,2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[2, 2, 1], [1, 13, 1], [3, 29, 1], [4, 109, 2], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 384, 3], [1, 465, 1], [7, 486, 1], [8, 530, 6]]",epidemiology:2/1; pathophysiology:13/5; etiology:29/1; history:109/2; physical:272/3; pathophysiology:311/1; physical:339/1; exams:384/3; pathophysiology:465/1; differential:486/1; therapeutic:530/6,3,0.7272727272727273,-0.32000000000000006,"{'pathophysiology': 3, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 2, 'exams': 3, 'differential': 1, 'therapeutic': 6, 'used categories': 8, 'total annotations': 11, 'ideas': 11}",3,1,1,2,2,3,1,6,8,11,11,8.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[1, 0, 1], [3, 15, 1], [2, 15, 1], [4, 67, 2], [5, 67, 1], [8, 189, 2]]",pathophysiology:0/1; epidemiology:15/1; etiology:15/1; history:67/2; physical:67/1; therapeutic:189/2,0,0.75,0.0/0.0,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 1, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 6, 'ideas': 4}",1,1,1,2,1,0,0,2,6,6,4,5.45,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[7, 21, 1], [3, 28, 1], [2, 28, 1], [5, 59, 1], [1, 115, 2], [6, 141, 1]]",differential:21/1; epidemiology:28/1; etiology:28/1; physical:59/1; pathophysiology:115/2; exams:141/1,0,0.75,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 0, 'physical': 1, 'exams': 1, 'differential': 1, 'therapeutic': 0, 'used categories': 6, 'total annotations': 6, 'ideas': 5}",2,1,1,0,1,1,1,0,6,6,5,3.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[2, 43, 1], [3, 66, 1], [1, 121, 5], [6, 307, 1], [1, 351, 1], [4, 351, 1], [8, 397, 2]]",epidemiology:43/1; etiology:66/1; pathophysiology:121/7; exams:307/1; pathophysiology:351/1; history:351/1; therapeutic:397/2,1,0.6428571428571429,-0.4000000000000002,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 1, 'history': 1, 'physical': 0, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 6, 'total annotations': 7, 'ideas': 6}",6,1,1,1,0,1,0,2,6,7,6,6.75,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 38, 2], [2, 105, 2]]",etiology:38/2; epidemiology:105/2,0,0.25,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 2, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,2,2,0,0,0,0,0,2,2,2,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[2, 2, 5], [3, 240, 2], [1, 338, 4], [4, 477, 2], [5, 523, 2], [7, 579, 1], [1, 623, 1], [8, 641, 4]]",epidemiology:2/5; etiology:240/2; pathophysiology:338/6; history:477/2; physical:523/2; differential:579/1; pathophysiology:623/1; therapeutic:641/4,1,0.765625,-0.3333333333333333,"{'pathophysiology': 5, 'epidemiology': 5, 'etiology': 2, 'history': 2, 'physical': 2, 'exams': 0, 'differential': 1, 'therapeutic': 4, 'used categories': 7, 'total annotations': 8, 'ideas': 8}",5,5,2,2,2,0,1,4,7,8,8,8.1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,6.0
