method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,135,0,6,2.2962962962962963,1.4561966104444006,2.0,0,4,0.562962962962963,0.8340461296470457,0.0,0,6,0.7925925925925926,1.1001783864602468,0.0,0,7,1.0444444444444445,1.4448398489295373,0.0,0,5,0.6814814814814815,1.0484661992277873,0.0,0,5,0.5259259259259259,0.9128406510303843,0.0,0,2,0.14814814814814814,0.44918696899199584,0.0,0,5,0.7333333333333333,1.3282240415222182,0.0,26,93,58.17037037037037,13.620956604329447,55.0,1.0,4.0,2.0074074074074075,0.6168806495308604,2.0,1.0,7.0,3.3185185185185184,1.5771306453226053,3.0,2.2,7.95,4.567777777777779,1.1816770694726255,4.55,0.3384279475982533,0.0829694323144105,0.11681222707423582,0.15393013100436684,0.10043668122270742,0.07751091703056769,0.021834061135371178,0.10807860262008734,1.0,6.0,3.051851851851852,1.6450673375435165,3.0,28,35,18,25,14,15,
agg 3 cat,1,194,0,13,3.865979381443299,2.593850303802516,4.0,0,10,1.3814432989690721,1.5060726745125579,1.0,0,7,1.0309278350515463,1.2083784213866977,1.0,0,8,1.9175257731958764,1.4903496344854958,2.0,0,16,2.8195876288659796,2.703562768374437,2.0,0,6,1.865979381443299,1.670399821701234,2.0,0,4,0.28350515463917525,0.641433047866705,0.0,0,8,1.958762886597938,1.84877792305374,2.0,17,100,66.56701030927834,13.642289641519334,67.0,1.0,3.0,2.479381443298969,0.5501649577082633,3.0,1.0,8.0,5.345360824742268,1.3425303322328022,5.0,2.8,8.7,6.001030927835051,1.082514808175547,6.05,0.2556237218813906,0.09134287661895023,0.06816632583503748,0.12678936605316973,0.18643490115882755,0.12338104976141785,0.018745739604635308,0.1295160190865712,1.0,6.0,4.046391752577319,1.3819384040073885,4.0,12,9,46,53,39,35,
agg 3 cat,2,87,0,9,3.103448275862069,2.231041485644226,3.0,0,7,1.7241379310344827,1.476085766497372,1.0,0,5,1.3448275862068966,1.1991041831387494,1.0,0,13,4.666666666666667,2.756247308353553,4.0,0,13,2.5172413793103448,2.596339413103626,2.0,0,13,3.057471264367816,2.2534537927940037,3.0,0,4,0.4942528735632184,0.9629601071018227,0.0,0,22,7.011494252873563,4.309249794077535,7.0,36,103,79.65517241379311,12.657222945910608,80.0,1.0,4.0,2.839080459770115,0.6798351923810548,3.0,3.0,9.0,6.724137931034483,1.3527719618449405,7.0,4.3,9.3,7.344827586206897,1.0442264991637273,7.45,0.12974531475252282,0.07208073041806823,0.056222969726093225,0.19509851033157136,0.10523786641037962,0.12782316194137433,0.020663142719846227,0.29312830370014414,2.0,6.0,5.022988505747127,0.8757324043635659,5.0,0,1,5,11,44,26,
agg 3 emb,0,108,0,12,3.4814814814814814,2.3895468677761316,3.0,0,6,0.6481481481481481,1.0617813881231681,0.0,0,4,0.8518518518518519,1.057371231768786,1.0,0,5,0.2222222222222222,0.6744098608681038,0.0,0,16,1.7222222222222223,2.6715298334644033,0.5,0,13,0.7685185185185185,1.6440574465341304,0.0,0,4,0.2037037037037037,0.5921489339567828,0.0,0,5,0.4444444444444444,1.1218587157896243,0.0,26,94,58.55555555555556,14.739059515091459,55.0,1.0,3.0,1.9537037037037037,0.6172634702959956,2.0,1.0,7.0,3.4074074074074074,1.718709780359528,3.0,2.2,7.7,4.631481481481482,1.3168851771309893,4.45,0.4173140954495006,0.0776914539400666,0.1021087680355161,0.02663706992230855,0.20643729189789126,0.0921198668146504,0.0244173140954495,0.0532741398446171,1.0,6.0,2.9722222222222223,1.5615612444759321,3.0,22,27,20,20,9,10,
agg 3 emb,1,134,0,13,3.1641791044776117,2.391067430333616,3.0,0,10,0.6567164179104478,1.3605863265736757,0.0,0,6,1.2164179104477613,1.29406941219804,1.0,0,12,2.4477611940298507,1.9333525526708413,2.0,0,14,1.9850746268656716,2.5692954905376717,1.0,0,10,1.9253731343283582,1.9022221499720364,1.5,0,3,0.12686567164179105,0.4144321559621187,0.0,0,14,3.328358208955224,2.8857339520735694,3.0,17,101,67.67910447761194,15.873371443915786,69.0,1.0,4.0,2.485074626865672,0.6220880993971136,3.0,1.0,9.0,5.2388059701492535,1.6732261597340101,5.0,2.85,8.95,6.003358208955224,1.3379396931854883,5.975,0.2130653266331658,0.04422110552763819,0.08190954773869347,0.16482412060301507,0.1336683417085427,0.12964824120603013,0.008542713567839196,0.22412060301507536,1.0,6.0,4.134328358208955,1.653390432246844,4.0,14,11,20,24,28,37,
agg 3 emb,2,174,0,11,3.045977011494253,2.18194401297766,3.0,0,7,1.9310344827586208,1.2519866612548762,2.0,0,7,0.9712643678160919,1.1601682204093773,1.0,0,13,3.2586206896551726,2.300241340649756,3.0,0,13,2.3333333333333335,2.2252708696156365,2.0,0,8,2.057471264367816,1.7755977375968588,2.0,0,4,0.4540229885057471,0.8436508328640305,0.0,0,22,3.4195402298850577,4.026195699479963,2.0,36,103,70.71264367816092,13.629200245390344,71.0,1.0,4.0,2.6149425287356323,0.6139098116120723,3.0,2.0,9.0,5.747126436781609,1.5854715445580916,6.0,2.8,9.3,6.40919540229885,1.2863788116827677,6.4,0.17434210526315788,0.11052631578947368,0.05559210526315789,0.18651315789473683,0.13355263157894737,0.11776315789473683,0.025986842105263155,0.1957236842105263,1.0,6.0,4.362068965517241,1.1929214519791262,5.0,4,7,29,45,60,29,
agg cat,0,135,0,6,2.2962962962962963,1.4561966104444006,2.0,0,4,0.562962962962963,0.8340461296470457,0.0,0,6,0.7925925925925926,1.1001783864602468,0.0,0,7,1.0444444444444445,1.4448398489295373,0.0,0,5,0.6814814814814815,1.0484661992277873,0.0,0,5,0.5259259259259259,0.9128406510303843,0.0,0,2,0.14814814814814814,0.44918696899199584,0.0,0,5,0.7333333333333333,1.3282240415222182,0.0,26,93,58.17037037037037,13.620956604329447,55.0,1.0,4.0,2.0074074074074075,0.6168806495308604,2.0,1.0,7.0,3.3185185185185184,1.5771306453226053,3.0,2.2,7.95,4.567777777777779,1.1816770694726255,4.55,0.3384279475982533,0.0829694323144105,0.11681222707423582,0.15393013100436684,0.10043668122270742,0.07751091703056769,0.021834061135371178,0.10807860262008734,1.0,6.0,3.051851851851852,1.6450673375435165,3.0,28,35,18,25,14,15,
agg cat,1,194,0,13,3.865979381443299,2.593850303802516,4.0,0,10,1.3814432989690721,1.5060726745125579,1.0,0,7,1.0309278350515463,1.2083784213866977,1.0,0,8,1.9175257731958764,1.4903496344854958,2.0,0,16,2.8195876288659796,2.703562768374437,2.0,0,6,1.865979381443299,1.670399821701234,2.0,0,4,0.28350515463917525,0.641433047866705,0.0,0,8,1.958762886597938,1.84877792305374,2.0,17,100,66.56701030927834,13.642289641519334,67.0,1.0,3.0,2.479381443298969,0.5501649577082633,3.0,1.0,8.0,5.345360824742268,1.3425303322328022,5.0,2.8,8.7,6.001030927835051,1.082514808175547,6.05,0.2556237218813906,0.09134287661895023,0.06816632583503748,0.12678936605316973,0.18643490115882755,0.12338104976141785,0.018745739604635308,0.1295160190865712,1.0,6.0,4.046391752577319,1.3819384040073885,4.0,12,9,46,53,39,35,
agg cat,2,87,0,9,3.103448275862069,2.231041485644226,3.0,0,7,1.7241379310344827,1.476085766497372,1.0,0,5,1.3448275862068966,1.1991041831387494,1.0,0,13,4.666666666666667,2.756247308353553,4.0,0,13,2.5172413793103448,2.596339413103626,2.0,0,13,3.057471264367816,2.2534537927940037,3.0,0,4,0.4942528735632184,0.9629601071018227,0.0,0,22,7.011494252873563,4.309249794077535,7.0,36,103,79.65517241379311,12.657222945910608,80.0,1.0,4.0,2.839080459770115,0.6798351923810548,3.0,3.0,9.0,6.724137931034483,1.3527719618449405,7.0,4.3,9.3,7.344827586206897,1.0442264991637273,7.45,0.12974531475252282,0.07208073041806823,0.056222969726093225,0.19509851033157136,0.10523786641037962,0.12782316194137433,0.020663142719846227,0.29312830370014414,2.0,6.0,5.022988505747127,0.8757324043635659,5.0,0,1,5,11,44,26,
agg emb,0,108,0,12,3.4814814814814814,2.3895468677761316,3.0,0,6,0.6481481481481481,1.0617813881231681,0.0,0,4,0.8518518518518519,1.057371231768786,1.0,0,5,0.2222222222222222,0.6744098608681038,0.0,0,16,1.7222222222222223,2.6715298334644033,0.5,0,13,0.7685185185185185,1.6440574465341304,0.0,0,4,0.2037037037037037,0.5921489339567828,0.0,0,5,0.4444444444444444,1.1218587157896243,0.0,26,94,58.55555555555556,14.739059515091459,55.0,1.0,3.0,1.9537037037037037,0.6172634702959956,2.0,1.0,7.0,3.4074074074074074,1.718709780359528,3.0,2.2,7.7,4.631481481481482,1.3168851771309893,4.45,0.4173140954495006,0.0776914539400666,0.1021087680355161,0.02663706992230855,0.20643729189789126,0.0921198668146504,0.0244173140954495,0.0532741398446171,1.0,6.0,2.9722222222222223,1.5615612444759321,3.0,22,27,20,20,9,10,
