method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.0821932926774025,41.529038327823486
kmeans 3 emb,3,0.0821932926774025,41.529038327823486
kmeans cat,3,0.21189357092397415,138.260851601336
kmeans 3 cat,3,0.21189357092397415,138.260851601336
agg emb,3,0.05932186171412468,36.86158659311735
agg 3 emb,3,0.05932186171412468,36.86158659311735
agg cat,3,0.16577570992150376,116.59567791080757
agg 3 cat,3,0.16577570992150376,116.59567791080757
gmm emb,3,0.07768546044826508,40.023300778350695
gmm 3 emb,3,0.07768546044826508,40.023300778350695
gmm cat,3,0.024520191955326072,34.435714053761714
gmm 3 cat,3,0.024520191955326072,34.435714053761714
birch emb,3,0.05932186171412468,36.86158659311735
birch 3 emb,3,0.05932186171412468,36.86158659311735
birch cat,3,0.05932186171412468,36.86158659311735
birch 3 cat,3,0.05932186171412468,36.86158659311735
