method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.12793420413606377,0.1915705592640072,0.4062085264520898,3,0.0855005085468292,47.210495115073805,5,0.0694019421935081,30.7587800446921
kmeans 3 emb,0.11232095054643733,0.1602988277941703,0.4524047627002876,3,0.0855005085468292,47.210495115073805,3,0.0644338876008987,38.44773918561023
kmeans cat,0.3581299835363793,0.41682542990651483,0.5960392519261262,3,0.2081497387438791,132.0279675940301,3,0.2154556151910626,126.33489934635408
kmeans 3 cat,0.3581299835363793,0.41682542990651483,0.5960392519261262,3,0.2081497387438791,132.0279675940301,3,0.2154556151910626,126.33489934635408
agg emb,0.06448216138364762,0.17317798104306692,0.40809805636163293,3,0.0693360120058059,44.04944598820306,5,0.0664115473628044,29.807213414382915
agg 3 emb,0.0629520888156352,0.220683858860904,0.5225804613374909,3,0.0693360120058059,44.04944598820306,3,0.084642544388771,39.05388219204452
agg cat,0.16954078534089967,0.2687681627625331,0.5001691824788608,3,0.1623286113699627,107.7990335073284,3,0.1256168133572521,106.6987156981765
agg 3 cat,0.16954078534089967,0.2687681627625331,0.5001691824788608,3,0.1623286113699627,107.7990335073284,3,0.1256168133572521,106.6987156981765
gmm emb,0.12268015675692537,0.1840945362414843,0.45126094569122055,3,0.1335705816745758,42.69597902476169,5,0.0523244924843311,27.486614591229557
gmm 3 emb,0.2572276175518858,0.2743544467391669,0.6127878273871431,3,0.1335705816745758,42.69597902476169,3,0.0764705762267112,38.33631712219207
gmm cat,0.09202949390607655,0.11798447732628417,0.613944801856368,3,0.1273438575459814,17.67425970175014,3,0.0943997578755519,54.56645327816967
gmm 3 cat,0.09202949390607655,0.11798447732628417,0.613944801856368,3,0.1273438575459814,17.67425970175014,3,0.0943997578755519,54.56645327816967
birch emb,0.2247765237192438,0.28905586348515033,0.49030802437493115,3,0.0790954604744911,39.64528415009516,5,0.0664115473628044,29.807213414382915
birch 3 emb,0.367466503334436,0.3808614601669242,0.651034535533493,3,0.0790954604744911,39.64528415009516,3,0.084642544388771,39.05388219204452
birch cat,0.367466503334436,0.3808614601669242,0.651034535533493,3,0.0790954604744911,39.64528415009516,3,0.084642544388771,39.05388219204452
birch 3 cat,0.367466503334436,0.3808614601669242,0.651034535533493,3,0.0790954604744911,39.64528415009516,3,0.084642544388771,39.05388219204452
