method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.0807282030582428,38.761417219739805
kmeans 3 emb,3,0.0807282030582428,38.761417219739805
kmeans cat,3,0.20834875638923497,126.39472975967549
kmeans 3 cat,3,0.20834875638923497,126.39472975967549
agg emb,3,0.08464254438877106,39.05388083276753
agg 3 emb,3,0.08464254438877106,39.05388083276753
agg cat,3,0.12561681335725214,106.6987156981765
agg 3 cat,3,0.12561681335725214,106.6987156981765
gmm emb,3,0.1095944344997406,37.40129471448963
gmm 3 emb,3,0.1095944344997406,37.40129471448963
gmm cat,3,0.06860163109245639,21.92875713213943
gmm 3 cat,3,0.06860163109245639,21.92875713213943
birch emb,3,0.08464254438877106,39.05388083276753
birch 3 emb,3,0.08464254438877106,39.05388083276753
birch cat,3,0.08464254438877106,39.05388083276753
birch 3 cat,3,0.08464254438877106,39.05388083276753
