annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,clustering free recall,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
001828aa-2264-4ccc-97f7-009ace6053d0,78,3.0,7.0,"[[1, 23, 1], [4, 84, 1], [5, 129, 4], [4, 252, 2], [6, 303, 1], [8, 388, 1]]",pathophysiology:23/1; history:84/5; physical:129/4; history:252/2; exams:303/1; therapeutic:388/1,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 3, 'physical': 4, 'exams': 1, 'differential': 0, 'therapeutic': 1, 'used categories': 5, 'total annotations': 6, 'ideas': 6}",1,0,0,3,4,1,0,1,5,6,6,7.4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0,"[[3, 82, 2], [2, 82, 2], [1, 182, 6], [4, 418, 2], [5, 454, 6], [6, 743, 4], [7, 743, 2]]",epidemiology:82/2; etiology:82/2; pathophysiology:182/6; history:418/2; physical:454/6; exams:743/4; differential:743/2,0,0.875,0.0/0.0,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 2, 'history': 2, 'physical': 6, 'exams': 4, 'differential': 2, 'therapeutic': 0, 'used categories': 7, 'total annotations': 7, 'ideas': 5}",6,2,2,2,6,4,2,0,7,7,5,6.85,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,5.0
018d5c56-a434-4629-a8e7-4812c6c235ce,53,1.0,2.0,"[[1, 65, 2]]",pathophysiology:65/2,0,0.125,,"{'pathophysiology': 2, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 1, 'total annotations': 1, 'ideas': 1}",2,0,0,0,0,0,0,0,1,1,1,3.65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
01c2bd6e-f4eb-45eb-bcde-448d638ee35d,52,1.0,3.0,"[[1, 52, 1], [3, 72, 1], [1, 122, 2], [3, 167, 1]]",pathophysiology:52/5; etiology:72/3; pathophysiology:122/2; etiology:167/1,2,0.125,-1.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 2, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 4, 'ideas': 4}",3,0,2,0,0,0,0,0,2,4,4,4.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0,"[[3, 57, 1], [2, 57, 1], [4, 109, 4], [5, 272, 1], [1, 311, 1], [5, 339, 1], [6, 423, 2], [8, 560, 4]]",epidemiology:57/1; etiology:57/1; history:109/4; physical:272/3; pathophysiology:311/1; physical:339/1; exams:423/2; therapeutic:560/4,1,0.765625,-0.3333333333333333,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 4, 'physical': 2, 'exams': 2, 'differential': 0, 'therapeutic': 4, 'used categories': 7, 'total annotations': 8, 'ideas': 7}",1,1,1,4,2,2,0,4,7,8,7,8.9,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,6.0
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[4, 0, 1], [3, 15, 1], [2, 15, 1], [4, 67, 3], [8, 189, 2]]",history:0/7; epidemiology:15/1; etiology:15/1; history:67/3; therapeutic:189/2,1,0.4,-0.6666666666666664,"{'pathophysiology': 0, 'epidemiology': 1, 'etiology': 1, 'history': 4, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 5, 'ideas': 4}",0,1,1,4,0,0,0,2,4,5,4,5.45,2,2,0,0,2,2,2,2,2,2,1,1,2,2,2,2,6.0
03136ba8-5fcb-4f91-bb8a-30b4146da61b,58,1.0,1.0,"[[6, 21, 1], [7, 21, 1], [2, 28, 1], [5, 59, 1], [1, 115, 1], [6, 141, 1]]",exams:21/3; differential:21/1; epidemiology:28/1; physical:59/1; pathophysiology:115/1; exams:141/1,1,0.5208333333333334,-0.49999999999999983,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 6, 'ideas': 5}",1,1,0,0,1,2,1,0,5,6,5,3.4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.0
04e6a9df-ba49-40e7-bf30-993433818c2e,85,3.0,5.0,"[[3, 43, 2], [2, 43, 2], [1, 121, 5], [4, 184, 2], [5, 307, 1], [6, 307, 1], [1, 351, 1], [4, 351, 1], [8, 397, 2]]",epidemiology:43/2; etiology:43/2; pathophysiology:121/7; history:184/4; physical:307/1; exams:307/1; pathophysiology:351/1; history:351/1; therapeutic:397/2,2,0.6805555555555556,-0.2857142857142857,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 2, 'history': 3, 'physical': 1, 'exams': 1, 'differential': 0, 'therapeutic': 2, 'used categories': 7, 'total annotations': 9, 'ideas': 6}",6,2,2,3,1,1,0,2,7,9,6,6.75,1,1,1,1,2,2,0,0,1,1,1,1,2,2,2,2,4.0
05a4a8fe-6c7b-400e-98b8-e46521e6ddd8,57,1.0,2.0,"[[3, 19, 1], [2, 79, 3]]",etiology:19/1; epidemiology:79/3,0,0.25,0.0/0.0,"{'pathophysiology': 0, 'epidemiology': 3, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",0,3,1,0,0,0,0,0,2,2,2,3.85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0
05dee518-259b-45da-bd76-f5c78d99bfcb,82,3.0,8.0,"[[4, 2, 1], [2, 54, 2], [3, 240, 2], [1, 338, 4], [4, 477, 1], [5, 494, 3], [4, 579, 3], [8, 692, 3]]",history:2/9; epidemiology:54/2; etiology:240/2; pathophysiology:338/4; history:477/1; physical:494/3; history:579/3; therapeutic:692/3,2,0.5625,-0.6,"{'pathophysiology': 4, 'epidemiology': 2, 'etiology': 2, 'history': 5, 'physical': 3, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 6, 'total annotations': 8, 'ideas': 8}",4,2,2,5,3,0,0,3,6,8,8,8.1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0,"[[4, 3, 1], [1, 64, 5]]",history:3/1; pathophysiology:64/5,0,0.25,0.0/0.0,"{'pathophysiology': 5, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",5,0,0,1,0,0,0,0,2,2,2,4.95,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,5.0
06d20cd0-67b3-42f8-b2b6-7570865b47bb,57,3.0,7.0,"[[2, 2, 2], [1, 62, 2], [3, 127, 3], [4, 229, 4], [6, 336, 3], [7, 421, 3], [8, 488, 1]]",epidemiology:2/2; pathophysiology:62/2; etiology:127/3; history:229/4; exams:336/3; differential:421/3; therapeutic:488/1,0,0.875,0.0/0.0,"{'pathophysiology': 2, 'epidemiology': 2, 'etiology': 3, 'history': 4, 'physical': 0, 'exams': 3, 'differential': 3, 'therapeutic': 1, 'used categories': 7, 'total annotations': 7, 'ideas': 7}",2,2,3,4,0,3,3,1,7,7,7,6.35,2,2,1,1,2,2,2,2,2,2,0,0,2,2,2,2,4.0
079a3336-29b0-43c8-b02e-034f8fa3b8e2,89,3.0,7.0,"[[3, 61, 1], [2, 61, 1], [4, 145, 2], [8, 185, 4], [7, 317, 1], [8, 359, 1], [7, 400, 1], [1, 444, 1], [6, 444, 1]]",epidemiology:61/1; etiology:61/1; history:145/2; therapeutic:185/6; differential:317/3; therapeutic:359/1; differential:400/1; pathophysiology:444/1; exams:444/1,2,0.6805555555555556,-0.2857142857142857,"{'pathophysiology': 1, 'epidemiology': 1, 'etiology': 1, 'history': 2, 'physical': 0, 'exams': 1, 'differential': 2, 'therapeutic': 5, 'used categories': 7, 'total annotations': 9, 'ideas': 7}",1,1,1,2,0,1,2,5,7,9,7,7.95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.0
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,55,2.0,2.0,"[[1, 24, 3], [4, 171, 1]]",pathophysiology:24/3; history:171/1,0,0.25,0.0/0.0,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 1, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 2, 'ideas': 2}",3,0,0,1,0,0,0,0,2,2,2,3.75,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,2.0
