annotation id,categories ordered
1dcfbe20-a01a-43bc-871f-4221511384f4,exams:32/1; epidemiology:112/1; pathophysiology:153/4; physical:344/3; pathophysiology:441/3; epidemiology:453/2; history:504/1; exams:504/2; therapeutic:642/3
8cac1838-c91d-4ba7-af21-578f42d4512d,epidemiology:13/3; pathophysiology:71/1; history:71/1; physical:110/1; pathophysiology:124/1; physical:178/1; pathophysiology:191/3; physical:261/1; history:333/5; pathophysiology:379/1; physical:414/1; therapeutic:454/8
26d6be02-7a0e-4b12-a6d7-fff2e1497948,physical:0/2; pathophysiology:29/1; epidemiology:50/1; etiology:60/1; pathophysiology:78/2; history:277/6; exams:351/2; differential:414/2; therapeutic:471/4
1304575a-bd11-468e-8fd6-9a6a05276c9a,pathophysiology:52/3; etiology:52/1; epidemiology:114/1; history:154/3; exams:223/3; history:289/2; therapeutic:500/2; pathophysiology:576/2; history:576/2; physical:632/1
4a922ef2-faa8-475b-aca4-c6a0d5fbdd4a,epidemiology:25/1; physical:112/1; history:165/1; physical:175/1; history:192/3; physical:292/1; exams:418/1; physical:455/1; exams:548/1
63e4a883-8274-4675-915f-898a8cbc050e,pathophysiology:20/6
6ba9f943-2cc3-4b47-9e65-ffaa53d68b91,pathophysiology:44/2; physical:97/1; epidemiology:190/1; therapeutic:284/1; pathophysiology:343/2
b61f5a0f-0cd6-43c9-9c66-b1d0cdb6b0c1,epidemiology:114/1; pathophysiology:159/3; physical:270/2; exams:327/2; differential:442/1; therapeutic:549/6
5aec542f-5492-4c2e-ba5e-76b6d21e33fe,epidemiology:68/3; etiology:68/2; pathophysiology:133/4; physical:322/1; exams:338/1; pathophysiology:370/1; history:407/3; pathophysiology:544/1; therapeutic:613/1; history:625/6; therapeutic:933/10
2de05536-d5c7-4e4d-b356-1d133084b6cc,exams:49/2; physical:142/1
5b687e09-128b-4b3a-a3a8-9176efffab4e,pathophysiology:59/5; epidemiology:222/3; etiology:222/1; therapeutic:276/1; pathophysiology:322/5; history:322/5; physical:372/1; physical:556/1
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,pathophysiology:33/3; etiology:100/1; physical:175/2; exams:271/2
ce6ff14a-b741-4744-8dd2-086228dbc717,pathophysiology:52/5
937d6441-6436-40d5-9e0c-38d5c51c74be,pathophysiology:43/1; physical:133/2; epidemiology:202/4; etiology:253/1; pathophysiology:333/1; physical:333/2; history:467/3; physical:507/3; history:544/1; physical:555/1; therapeutic:589/2
6c118cb7-47ad-41fa-b429-51c7232e7a66,etiology:44/1; physical:70/1; etiology:81/1; physical:88/1; history:148/1; etiology:220/4; epidemiology:268/2; pathophysiology:322/8
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,pathophysiology:41/1; exams:129/3; therapeutic:250/3
0de54166-ef54-474e-9b46-821d7b3b967b,epidemiology:29/1; history:81/3; exams:150/2; therapeutic:228/5; pathophysiology:363/2; history:363/3
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,epidemiology:29/1; pathophysiology:53/2; history:53/1; physical:155/1; history:170/3
