annotation id,objective test score,organization level,global score,categories ordered,self order grouped,self order score,normalized self order score,category statistics,pathophysiology,epidemiology,etiology,history,physical,exams,differential,therapeutic,used categories,total annotations,ideas,computed score,cluster kmeans emb,cluster kmeans 3 emb,cluster kmeans cat,cluster kmeans 3 cat,cluster agg emb,cluster agg 3 emb,cluster agg cat,cluster agg 3 cat,cluster gmm emb,cluster gmm 3 emb,cluster gmm cat,cluster gmm 3 cat,cluster birch emb,cluster birch 3 emb,cluster birch cat,cluster birch 3 cat,year
0301660c-f987-4be4-898e-7a45e3bb5a8c,69,2.0,4.0,"[[2, 42, 2], [4, 119, 2], [1, 130, 1], [8, 189, 2]]",epidemiology:42/2; history:119/2; pathophysiology:130/1; therapeutic:189/2,0,0.5,"{'pathophysiology': 1, 'epidemiology': 2, 'etiology': 0, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 2, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",1,2,0,2,0,0,0,2,4,4,4,5.45,2,1,0,0,3,1,0,0,2,2,0,0,3,1,1,1,6.0
07cac9ed-94fb-40d8-9f47-46d9a7acdfc4,55,2.0,2.0,"[[1, 9, 2], [4, 81, 2], [1, 117, 1], [4, 171, 1]]",pathophysiology:9/4; history:81/4; pathophysiology:117/1; history:171/1,2,0.125,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 4, 'ideas': 4}",3,0,0,3,0,0,0,0,2,4,4,3.75,2,1,0,0,0,1,0,0,2,1,0,0,0,1,1,1,2.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0,"[[1, 41, 1], [6, 129, 3], [8, 250, 3]]",pathophysiology:41/1; exams:129/3; therapeutic:250/3,0,0.375,"{'pathophysiology': 1, 'epidemiology': 0, 'etiology': 0, 'history': 0, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 3, 'used categories': 3, 'total annotations': 3, 'ideas': 3}",1,0,0,0,0,3,0,3,3,3,3,5.15,1,1,0,0,1,0,0,0,2,2,0,0,1,0,0,0,5.0
0a588b41-ad55-45e8-87d3-943d00876e2f,49,3.0,4.0,"[[1, 34, 2], [2, 65, 3], [3, 65, 2], [1, 149, 1], [8, 149, 3], [4, 258, 2]]",pathophysiology:34/4; epidemiology:65/3; etiology:65/2; pathophysiology:149/1; therapeutic:149/3; history:258/2,1,0.5208333333333334,"{'pathophysiology': 3, 'epidemiology': 3, 'etiology': 2, 'history': 2, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 3, 'used categories': 5, 'total annotations': 6, 'ideas': 4}",3,3,2,2,0,0,0,3,5,6,4,4.45,2,1,0,0,3,1,0,0,2,2,2,2,3,1,1,1,2.0
0b038ba5-0369-4b28-adae-b158371edf18,81,3.0,6.0,"[[2, 67, 1], [3, 67, 1], [4, 123, 3], [8, 191, 5], [4, 302, 1], [1, 341, 2], [8, 413, 4]]",epidemiology:67/1; etiology:67/1; history:123/5; therapeutic:191/13; history:302/1; pathophysiology:341/2; therapeutic:413/4,2,0.44642857142857145,"{'pathophysiology': 2, 'epidemiology': 1, 'etiology': 1, 'history': 4, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 9, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",2,1,1,4,0,0,0,9,5,7,6,7.05,2,1,2,2,3,1,2,2,2,2,2,2,3,1,1,1,6.0
0e20a132-80f5-433b-9e97-e3886852de51,61,2.0,5.0,"[[1, 73, 3], [2, 104, 1], [3, 104, 1], [1, 131, 1], [5, 331, 2], [1, 393, 1], [4, 411, 6]]",pathophysiology:73/7; epidemiology:104/1; etiology:104/1; pathophysiology:131/1; physical:331/2; pathophysiology:393/1; history:411/6,2,0.44642857142857145,"{'pathophysiology': 5, 'epidemiology': 1, 'etiology': 1, 'history': 6, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",5,1,1,6,2,0,0,0,5,7,6,5.55,3,2,0,0,2,2,0,0,3,2,0,0,2,2,2,2,4.0
0e9fb6a5-f181-42ea-ac89-33edc8a66705,49,2.0,4.0,"[[1, 8, 8], [3, 74, 2], [2, 422, 1], [4, 467, 4]]",pathophysiology:8/8; etiology:74/2; epidemiology:422/1; history:467/4,0,0.5,"{'pathophysiology': 8, 'epidemiology': 1, 'etiology': 2, 'history': 4, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",8,1,2,4,0,0,0,0,4,4,4,4.45,2,1,0,0,0,1,0,0,2,2,0,0,0,1,1,1,4.0
10538911-3265-4356-8735-3d53d9fad786,78,2.0,5.0,"[[2, 104, 2], [3, 119, 1], [1, 199, 6], [8, 324, 7]]",epidemiology:104/2; etiology:119/1; pathophysiology:199/6; therapeutic:324/7,0,0.5,"{'pathophysiology': 6, 'epidemiology': 2, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 7, 'used categories': 4, 'total annotations': 4, 'ideas': 4}",6,2,1,0,0,0,0,7,4,4,4,6.4,1,1,0,0,3,1,0,0,2,2,2,2,3,1,1,1,6.0
11c98f4e-a92b-42a7-88e0-6fe3c0b85ec6,92,3.0,6.0,"[[1, 0, 3], [2, 110, 3], [3, 110, 3], [4, 218, 3], [6, 245, 2], [8, 306, 7]]",pathophysiology:0/3; epidemiology:110/3; etiology:110/3; history:218/3; exams:245/2; therapeutic:306/7,0,0.75,"{'pathophysiology': 3, 'epidemiology': 3, 'etiology': 3, 'history': 3, 'physical': 0, 'exams': 2, 'differential': 0, 'therapeutic': 7, 'used categories': 6, 'total annotations': 6, 'ideas': 5}",3,3,3,3,0,2,0,7,6,6,5,7.6,2,1,2,2,3,1,2,2,2,2,2,2,3,1,1,1,6.0
15b3615e-7845-4c19-bfd6-42ab430b1f62,76,4.0,8.0,"[[2, 0, 4], [1, 112, 3], [6, 240, 3], [4, 331, 3], [8, 474, 11]]",epidemiology:0/4; pathophysiology:112/3; exams:240/3; history:331/3; therapeutic:474/11,0,0.625,"{'pathophysiology': 3, 'epidemiology': 4, 'etiology': 0, 'history': 3, 'physical': 0, 'exams': 3, 'differential': 0, 'therapeutic': 11, 'used categories': 5, 'total annotations': 5, 'ideas': 5}",3,4,0,3,0,3,0,11,5,5,5,7.8,2,1,2,2,3,1,2,2,2,2,2,2,3,1,1,1,4.0
162ee8ad-a0dd-4783-9a95-33215a62d027,71,3.0,7.0,"[[1, 68, 4], [2, 153, 6], [6, 295, 3], [4, 401, 5], [2, 510, 1], [6, 546, 1], [5, 565, 1], [8, 634, 5], [1, 745, 1], [2, 745, 2], [4, 855, 1], [1, 931, 1]]",pathophysiology:68/8; epidemiology:153/12; exams:295/5; history:401/7; epidemiology:510/1; exams:546/1; physical:565/1; therapeutic:634/5; pathophysiology:745/1; epidemiology:745/2; history:855/1; pathophysiology:931/1,6,0.375,"{'pathophysiology': 6, 'epidemiology': 9, 'etiology': 0, 'history': 6, 'physical': 1, 'exams': 4, 'differential': 0, 'therapeutic': 5, 'used categories': 6, 'total annotations': 12, 'ideas': 11}",6,9,0,6,1,4,0,5,6,12,11,7.05,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4.0
1714a357-d53b-48c2-9226-aed4edf7d68b,50,3.0,5.0,"[[1, 28, 6], [2, 28, 1], [5, 318, 1], [6, 387, 2], [7, 434, 1]]",pathophysiology:28/6; epidemiology:28/1; physical:318/1; exams:387/2; differential:434/1,0,0.625,"{'pathophysiology': 6, 'epidemiology': 1, 'etiology': 0, 'history': 0, 'physical': 1, 'exams': 2, 'differential': 1, 'therapeutic': 0, 'used categories': 5, 'total annotations': 5, 'ideas': 4}",6,1,0,0,1,2,1,0,5,5,4,5.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0
19118e71-831d-446c-8906-d0aad1255695,43,3.0,7.0,"[[1, 19, 7], [5, 207, 2], [3, 250, 4], [1, 363, 5]]",pathophysiology:19/17; physical:207/2; etiology:250/4; pathophysiology:363/5,1,0.28125,"{'pathophysiology': 12, 'epidemiology': 0, 'etiology': 4, 'history': 0, 'physical': 2, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 3, 'total annotations': 4, 'ideas': 4}",12,0,4,0,2,0,0,0,3,4,4,5.65,1,0,0,0,2,2,0,0,0,0,0,0,2,2,2,2,1.0
1bd4b46b-f67c-476f-854c-dbbf52c3d84a,40,2.0,2.0,"[[1, 0, 2], [3, 28, 1], [1, 136, 1]]",pathophysiology:0/4; etiology:28/1; pathophysiology:136/1,1,0.16666666666666669,"{'pathophysiology': 3, 'epidemiology': 0, 'etiology': 1, 'history': 0, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 2, 'total annotations': 3, 'ideas': 3}",3,0,1,0,0,0,0,0,2,3,3,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0
1e8c7cc9-5975-4943-8c6b-9f78f8e59766,60,3.0,6.0,"[[1, 54, 3], [2, 275, 2], [5, 326, 5], [4, 569, 1], [5, 598, 3]]",pathophysiology:54/3; epidemiology:275/2; physical:326/11; history:569/1; physical:598/3,1,0.4,"{'pathophysiology': 3, 'epidemiology': 2, 'etiology': 0, 'history': 1, 'physical': 8, 'exams': 0, 'differential': 0, 'therapeutic': 0, 'used categories': 4, 'total annotations': 5, 'ideas': 5}",3,2,0,1,8,0,0,0,4,5,5,6.0,3,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,5.0
245e5c3e-780b-42bb-a425-4e50610657b7,75,3.0,6.0,"[[1, 29, 5], [3, 120, 2], [1, 143, 1], [4, 213, 3], [8, 266, 3], [4, 322, 1], [1, 438, 1], [8, 524, 2]]",pathophysiology:29/9; etiology:120/2; pathophysiology:143/1; history:213/5; therapeutic:266/7; history:322/1; pathophysiology:438/1; therapeutic:524/2,4,0.25,"{'pathophysiology': 7, 'epidemiology': 0, 'etiology': 2, 'history': 4, 'physical': 0, 'exams': 0, 'differential': 0, 'therapeutic': 5, 'used categories': 4, 'total annotations': 8, 'ideas': 8}",7,0,2,4,0,0,0,5,4,8,8,6.75,2,1,2,2,3,1,2,2,2,2,2,2,3,1,1,1,5.0
278ba52d-35ca-456b-bb03-1e7b2ea16066,65,3.0,6.0,"[[1, 30, 1], [5, 110, 5], [4, 164, 3], [5, 228, 3], [2, 345, 3], [5, 539, 1], [6, 539, 1]]",pathophysiology:30/1; physical:110/13; history:164/3; physical:228/3; epidemiology:345/3; physical:539/1; exams:539/1,2,0.44642857142857145,"{'pathophysiology': 1, 'epidemiology': 3, 'etiology': 0, 'history': 3, 'physical': 9, 'exams': 1, 'differential': 0, 'therapeutic': 0, 'used categories': 5, 'total annotations': 7, 'ideas': 6}",1,3,0,3,9,1,0,0,5,7,6,6.25,3,2,1,1,2,2,1,1,3,1,1,1,2,2,2,2,4.0
