annotation id,objective test score,organization level,global score
fc6e1a18-9791-409b-bfd4-9f0d48f73370,54,2.0,3.0
fbc7a0cb-4210-41f5-a2b2-a95b9e74a6f4,62,2.0,5.0
a03d321f-5346-4d85-9bc5-6e5f5d1d6f87,86,3.0,7.0
1304575a-bd11-468e-8fd6-9a6a05276c9a,79,3.0,7.0
06ce0202-7cfc-4633-94bf-ce457e4bb581,79,1.0,2.0
e4b58dec-68d1-4cee-a8ab-e30d7ea340e0,88,3.0,8.0
14323bce-7c54-4d99-ab16-79195d3e593a,101,1.0,3.0
78afdbb2-8281-429c-9288-58f01946e59d,76,2.0,5.0
b8e625cd-8fbe-4bc6-a538-53bc67db9a67,56,4.0,7.0
f8a151f2-0e5b-4ddf-92ec-ced60af0de1d,51,2.0,4.0
1fd685fb-cd42-450d-8e78-4e7c7eae59d6,64,2.0,5.0
41316e0a-d3d1-4187-b99d-a4dc41c64cec,37,2.0,5.0
498da349-a516-48cb-b7c7-7d406697dadc,78,2.0,6.0
9e25af26-8264-421a-81ad-5bd5c4aae8d6,89,3.0,8.0
003f53c7-d29c-4392-9582-33f5e6d9b326,67,3.0,7.0
0d0eb5af-5700-4018-aeab-b0fdffe7037b,94,3.0,8.0
2f60ded4-e6f5-40b9-a39b-294391e85964,96,3.0,9.0
b9b6928c-c6a6-41a8-a19a-a44fce570414,63,2.0,5.0
d01e1ad5-30c2-4331-aa4d-82a039818e2a,37,1.0,2.0
9328bc06-3340-488d-8531-2c6260646985,44,3.0,4.0
6ba9f943-2cc3-4b47-9e65-ffaa53d68b91,55,2.0,4.0
3096b0af-9599-4bac-b786-3589e6195a23,63,3.0,6.0
5aec542f-5492-4c2e-ba5e-76b6d21e33fe,77,4.0,9.0
0a1c31b2-e24c-40a4-84d3-6f115d1b7a89,73,2.0,3.0
01db4ec5-29a5-4c9e-876a-675ae4178669,88,4.0,9.0
26d6be02-7a0e-4b12-a6d7-fff2e1497948,49,1.0,4.0
63e4a883-8274-4675-915f-898a8cbc050e,60,2.0,4.0
fe14f020-839f-470f-acf4-7c31df50b381,51,2.0,3.0
9baa04ac-a72a-4e8b-8077-8346e7e429e3,62,3.0,4.0
e95a3f59-1f11-4b16-a197-862eb5cc1c99,77,2.0,5.0
8d2463e0-c035-41c8-b764-fd1b473ebc2e,62,2.0,3.0
8cac1838-c91d-4ba7-af21-578f42d4512d,82,4.0,8.0
17ce0269-6c07-4ad6-a7f0-2a9a0e591db8,88,2.0,4.0
5fcae54f-e47a-4171-8cf0-a963a8f393cc,47,2.0,1.0
ce6ff14a-b741-4744-8dd2-086228dbc717,44,1.0,2.0
c90e4a05-5220-42d6-adb4-90c71b01dad8,41,2.0,4.0
96bf432e-dffe-4691-967b-2ef3b9bec499,48,2.0,2.0
