method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,48,0,12,3.9791666666666665,3.258309072845054,3.0,0,7,1.1458333333333333,1.4140568367603379,1.0,0,6,0.7708333333333334,1.2245638968990766,0.0,0,6,1.4375,1.7613612965604974,0.5,0,4,0.7916666666666666,1.1477699623726105,0.0,0,4,0.5833333333333334,1.1076779110418016,0.0,0,2,0.0625,0.3199900264403199,0.0,0,7,1.0,1.4291792020209928,0.0,37,94,60.125,13.829701309062042,57.5,1.0,3.0,2.1875,0.5707870639217619,2.0,1.0,7.0,3.8958333333333335,1.8129508487937127,4.0,2.85,7.9,4.954166666666667,1.282651564323294,4.95,0.4072494669509594,0.11727078891257994,0.07889125799573561,0.14712153518123666,0.0810234541577825,0.05970149253731343,0.006396588486140725,0.1023454157782516,1.0,6.0,3.2083333333333335,1.774024554668671,4.0,13,7,3,13,6,6,
agg 3 cat,1,17,0,9,2.5294117647058822,2.9393376604862773,1.0,0,4,2.0588235294117645,1.0289915108550531,2.0,0,4,0.9411764705882353,1.1974237050483694,1.0,0,7,2.411764705882353,1.9058732752144016,2.0,1,14,6.823529411764706,3.92484544469026,8.0,0,13,3.9411764705882355,3.454536659150076,4.0,0,1,0.058823529411764705,0.24253562503633308,0.0,0,7,2.2941176470588234,2.023755972268919,2.0,36,100,72.94117647058823,16.65634484301438,72.0,2.0,3.0,2.7058823529411766,0.4696682183138621,3.0,4.0,8.0,6.235294117647059,0.970142500145332,6.0,4.3,8.5,6.764705882352941,1.1719061270375863,6.95,0.12011173184357542,0.09776536312849161,0.0446927374301676,0.11452513966480446,0.3240223463687151,0.18715083798882684,0.002793296089385475,0.10893854748603352,2.0,6.0,4.529411764705882,1.007326105267277,5.0,0,1,1,5,8,2,
agg 3 cat,2,20,0,13,3.8,3.27028085064651,3.0,0,9,3.05,2.0641042405337657,3.0,0,3,1.0,1.1239029738980326,0.5,3,21,6.55,5.020746432239146,4.0,0,4,1.2,1.399247918291146,1.0,0,8,2.1,1.8890264827766654,2.0,0,1,0.15,0.36634754853252316,0.0,1,21,7.95,4.673272267288791,7.0,45,93,76.45,11.736021920834835,77.0,2.0,4.0,3.05,0.6048053188292994,3.0,4.0,9.0,6.75,1.3717065820970682,7.0,4.75,8.75,7.197500000000001,1.058608197488322,7.275,0.14728682170542637,0.1182170542635659,0.03875968992248063,0.25387596899224807,0.04651162790697675,0.08139534883720931,0.005813953488372094,0.308139534883721,3.0,6.0,5.15,1.0399898784932577,5.5,0,0,2,3,5,10,
agg 3 emb,0,16,0,9,2.875,2.5527762664727724,2.5,0,3,0.6875,1.0144785195688801,0.0,0,6,0.8125,1.6418993066973788,0.0,0,0,0.0,0.0,0.0,0,10,1.0,2.6076809620810595,0.0,0,13,1.3125,3.2602402774437755,0.0,0,1,0.0625,0.25,0.0,0,4,0.625,1.2041594578792296,0.0,37,79,58.1875,14.697930693354989,54.0,1.0,3.0,2.0,0.6324555320336759,2.0,1.0,7.0,2.6875,1.7404501333467348,2.0,2.85,7.45,4.253125,1.1848303324386436,4.25,0.3898305084745763,0.09322033898305085,0.11016949152542373,0.0,0.13559322033898305,0.17796610169491525,0.00847457627118644,0.0847457627118644,1.0,6.0,2.6875,1.7404501333467346,2.5,7,1,1,5,1,1,
agg 3 emb,1,30,0,11,3.533333333333333,2.873581609136552,3.0,0,7,1.7,1.4890404223224916,1.5,0,3,0.8666666666666667,1.0416609195243756,0.0,0,6,2.8333333333333335,1.3152509484776145,3.0,0,4,0.3333333333333333,0.958926602970768,0.0,0,4,0.7666666666666667,1.2228664272317622,0.0,0,2,0.1,0.4025778999364488,0.0,0,12,3.1,3.477513975281173,2.0,39,94,66.5,15.01895354268204,68.5,1.0,4.0,2.433333333333333,0.6260623155792927,2.0,1.0,8.0,4.7,1.8032537641527424,5.0,2.95,7.9,5.675,1.5188896806776209,5.575,0.26700251889168763,0.12846347607052896,0.0654911838790932,0.2141057934508816,0.025188916876574305,0.05793450881612091,0.007556675062972292,0.23425692695214104,1.0,6.0,4.1,1.844843699575134,4.5,4,4,2,5,5,10,
agg 3 emb,2,39,0,13,4.051282051282051,3.6774470402907298,3.0,0,9,2.282051282051282,1.8910971188943253,2.0,0,4,0.8717948717948718,1.1045238836017504,1.0,0,21,4.0,4.656630812756772,3.0,1,14,3.8974358974358974,3.4625429641634,2.0,0,9,2.3846153846153846,2.379909160311803,2.0,0,1,0.07692307692307693,0.2699527623995082,0.0,0,21,3.6666666666666665,4.549918063653995,2.0,36,100,69.97435897435898,15.663378642531924,69.0,2.0,4.0,2.7435897435897436,0.5946227781653596,3.0,4.0,9.0,6.256410256410256,1.2715086091135723,6.0,4.3,8.75,6.6269230769230765,1.2185974548984666,6.5,0.19082125603864733,0.10748792270531402,0.04106280193236715,0.18840579710144928,0.18357487922705315,0.11231884057971014,0.003623188405797102,0.17270531400966183,1.0,6.0,4.3076923076923075,1.3602214632734617,5.0,2,3,3,11,13,7,
agg cat,0,48,0,12,3.9791666666666665,3.258309072845054,3.0,0,7,1.1458333333333333,1.4140568367603379,1.0,0,6,0.7708333333333334,1.2245638968990766,0.0,0,6,1.4375,1.7613612965604974,0.5,0,4,0.7916666666666666,1.1477699623726105,0.0,0,4,0.5833333333333334,1.1076779110418016,0.0,0,2,0.0625,0.3199900264403199,0.0,0,7,1.0,1.4291792020209928,0.0,37,94,60.125,13.829701309062042,57.5,1.0,3.0,2.1875,0.5707870639217619,2.0,1.0,7.0,3.8958333333333335,1.8129508487937127,4.0,2.85,7.9,4.954166666666667,1.282651564323294,4.95,0.4072494669509594,0.11727078891257994,0.07889125799573561,0.14712153518123666,0.0810234541577825,0.05970149253731343,0.006396588486140725,0.1023454157782516,1.0,6.0,3.2083333333333335,1.774024554668671,4.0,13,7,3,13,6,6,
agg cat,1,17,0,9,2.5294117647058822,2.9393376604862773,1.0,0,4,2.0588235294117645,1.0289915108550531,2.0,0,4,0.9411764705882353,1.1974237050483694,1.0,0,7,2.411764705882353,1.9058732752144016,2.0,1,14,6.823529411764706,3.92484544469026,8.0,0,13,3.9411764705882355,3.454536659150076,4.0,0,1,0.058823529411764705,0.24253562503633308,0.0,0,7,2.2941176470588234,2.023755972268919,2.0,36,100,72.94117647058823,16.65634484301438,72.0,2.0,3.0,2.7058823529411766,0.4696682183138621,3.0,4.0,8.0,6.235294117647059,0.970142500145332,6.0,4.3,8.5,6.764705882352941,1.1719061270375863,6.95,0.12011173184357542,0.09776536312849161,0.0446927374301676,0.11452513966480446,0.3240223463687151,0.18715083798882684,0.002793296089385475,0.10893854748603352,2.0,6.0,4.529411764705882,1.007326105267277,5.0,0,1,1,5,8,2,
agg cat,2,20,0,13,3.8,3.27028085064651,3.0,0,9,3.05,2.0641042405337657,3.0,0,3,1.0,1.1239029738980326,0.5,3,21,6.55,5.020746432239146,4.0,0,4,1.2,1.399247918291146,1.0,0,8,2.1,1.8890264827766654,2.0,0,1,0.15,0.36634754853252316,0.0,1,21,7.95,4.673272267288791,7.0,45,93,76.45,11.736021920834835,77.0,2.0,4.0,3.05,0.6048053188292994,3.0,4.0,9.0,6.75,1.3717065820970682,7.0,4.75,8.75,7.197500000000001,1.058608197488322,7.275,0.14728682170542637,0.1182170542635659,0.03875968992248063,0.25387596899224807,0.04651162790697675,0.08139534883720931,0.005813953488372094,0.308139534883721,3.0,6.0,5.15,1.0399898784932577,5.5,0,0,2,3,5,10,
agg emb,0,9,0,8,2.7777777777777777,2.8625940062196116,2.0,0,2,0.7777777777777778,0.8333333333333334,1.0,0,2,0.6666666666666666,0.8660254037844386,0.0,1,5,2.5555555555555554,1.4240006242195884,3.0,0,3,0.6666666666666666,1.118033988749895,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,39,68,55.22222222222222,9.297550453987569,55.0,1.0,3.0,2.0,0.5,2.0,1.0,6.0,3.0,1.4142135623730951,3.0,2.95,6.4,4.261111111111112,1.0018039284765814,4.25,0.3731343283582089,0.1044776119402985,0.08955223880597014,0.34328358208955223,0.08955223880597014,0.0,0.0,0.0,1.0,4.0,2.5555555555555554,1.4240006242195884,2.0,3,2,0,4,0,0,
