method,cluster,size,pathophysiology_min,pathophysiology_max,pathophysiology_mean,pathophysiology_std,pathophysiology_median,epidemiology_min,epidemiology_max,epidemiology_mean,epidemiology_std,epidemiology_median,etiology_min,etiology_max,etiology_mean,etiology_std,etiology_median,history_min,history_max,history_mean,history_std,history_median,physical_min,physical_max,physical_mean,physical_std,physical_median,exams_min,exams_max,exams_mean,exams_std,exams_median,differential_min,differential_max,differential_mean,differential_std,differential_median,therapeutic_min,therapeutic_max,therapeutic_mean,therapeutic_std,therapeutic_median,objective test score_min,objective test score_max,objective test score_mean,objective test score_std,objective test score_median,organization level_min,organization level_max,organization level_mean,organization level_std,organization level_median,global score_min,global score_max,global score_mean,global score_std,global score_median,computed score_min,computed score_max,computed score_mean,computed score_std,computed score_median,pathophysiology_norm_mean,epidemiology_norm_mean,etiology_norm_mean,history_norm_mean,physical_norm_mean,exams_norm_mean,differential_norm_mean,therapeutic_norm_mean,year_min,year_max,year_mean,year_std,year_median,year_1,year_2,year_3,year_4,year_5,year_6,cluster_name
agg 3 cat,0,27,0,8,3.259259259259259,1.700511067808114,3.0,0,4,0.6296296296296297,1.24493274913047,0.0,0,2,0.4444444444444444,0.7510676161988108,0.0,0,3,0.6296296296296297,1.005681863909264,0.0,0,3,0.7037037037037037,1.0675210253672476,0.0,0,5,0.8518518518518519,1.4332240069615962,0.0,0,1,0.037037037037037035,0.19245008972987523,0.0,0,3,0.5185185185185185,1.0141449740988853,0.0,37,88,56.55555555555556,14.164781171660424,54.0,1.0,3.0,1.9259259259259258,0.6155626523087466,2.0,1.0,6.0,3.185185185185185,1.3311948663061215,3.0,2.85,6.4,4.420370370370371,0.9849110911903965,4.45,0.4607329842931937,0.08900523560209425,0.06282722513089005,0.08900523560209425,0.09947643979057592,0.12041884816753928,0.005235602094240838,0.07329842931937174,1.0,6.0,2.7777777777777777,1.7171831436157148,2.0,8,8,1,4,4,2,
agg 3 cat,1,31,0,11,4.0,3.1091263510296048,3.0,1,7,2.5806451612903225,1.688671934753997,2.0,0,6,0.5483870967741935,1.1786633581425856,0.0,0,8,3.6129032258064515,1.9609082819761305,4.0,0,10,2.4193548387096775,2.4190107282163518,2.0,0,4,0.8709677419354839,1.087564112558304,0.0,0,2,0.12903225806451613,0.42754613660367835,0.0,0,5,1.2258064516129032,1.453952714026029,1.0,17,97,63.45161290322581,16.047510107339434,62.0,2.0,4.0,2.5161290322580645,0.5698518954918891,2.0,3.0,8.0,5.387096774193548,1.085584922360252,5.0,2.85,8.35,5.866129032258064,1.0852332388918517,5.7,0.259958071278826,0.16771488469601675,0.03563941299790356,0.23480083857442346,0.15723270440251572,0.056603773584905655,0.008385744234800837,0.07966457023060797,3.0,6.0,4.064516129032258,1.0934801894552926,4.0,0,0,12,10,4,5,
agg 3 cat,2,26,0,6,2.576923076923077,1.8148956316676048,2.0,1,4,1.8846153846153846,0.9089300556994725,2.0,0,3,0.6923076923076923,1.0107118588096518,0.0,0,13,4.538461538461538,3.075461191181176,4.5,0,5,1.5384615384615385,1.2403473458920846,2.0,0,7,3.076923076923077,1.8957442216306908,2.5,0,2,0.23076923076923078,0.5144077999169381,0.0,2,11,6.115384615384615,2.3208088775583926,6.0,45,101,77.96153846153847,14.782369956758002,78.5,1.0,4.0,2.8846153846153846,0.8161824833662176,3.0,3.0,9.0,6.769230769230769,1.6806592113261345,7.0,4.45,9.3,7.282692307692307,1.3084297694329878,7.525,0.12476722532588455,0.09124767225325885,0.0335195530726257,0.21973929236499068,0.074487895716946,0.148975791433892,0.0111731843575419,0.2960893854748603,2.0,6.0,4.961538461538462,0.999230473144979,5.0,0,1,1,4,12,8,
agg 3 emb,0,10,0,8,3.3,2.406010991015812,3.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.1,0.31622776601683794,0.0,0,3,0.8,1.3165611772087666,0.0,0,0,0.0,0.0,0.0,0,3,0.4,0.966091783079296,0.0,37,79,57.1,14.145670715805595,54.5,1.0,2.0,1.5,0.5270462766947299,1.5,1.0,4.0,2.3,1.0593499054713802,2.0,2.85,5.15,4.005000000000001,0.9667959683637726,4.05,0.7173913043478259,0.0,0.0,0.0,0.021739130434782608,0.17391304347826086,0.0,0.08695652173913043,1.0,5.0,2.6,1.8973665961010275,1.5,5,1,0,1,3,0,
agg 3 emb,1,39,0,10,3.6153846153846154,2.147402158979231,3.0,0,5,1.5384615384615385,1.3735500267967529,1.0,0,6,0.6410256410256411,1.1582014070640894,0.0,0,8,2.41025641025641,2.2327461108871094,2.0,0,10,2.230769230769231,1.9663155293933887,2.0,0,7,1.2307692307692308,1.7238503180463027,0.0,0,2,0.15384615384615385,0.43154932257363726,0.0,0,7,1.1025641025641026,1.9707715800626737,0.0,17,96,60.76923076923077,15.232343598342826,62.0,1.0,4.0,2.3333333333333335,0.6212607441973955,2.0,1.0,9.0,4.82051282051282,1.6201331146056595,5.0,2.85,8.8,5.448717948717948,1.3128658477327568,5.45,0.27976190476190477,0.11904761904761905,0.04960317460317461,0.18650793650793648,0.17261904761904762,0.09523809523809525,0.011904761904761906,0.08531746031746032,1.0,6.0,3.5384615384615383,1.2946479677209117,4.0,2,7,10,10,8,2,
agg 3 emb,2,35,0,11,3.0,2.6678918753996625,2.0,0,7,2.4571428571428573,1.5404899362532296,2.0,0,3,0.6285714285714286,0.9102589898327995,0.0,0,13,4.371428571428571,2.6798344361251156,4.0,0,8,1.3142857142857143,1.6937849813436212,1.0,0,6,2.1142857142857143,1.8593393604027366,2.0,0,2,0.14285714285714285,0.42996970774675736,0.0,1,11,4.685714285714286,2.8571008400271825,4.0,36,101,73.71428571428571,17.299390381254053,77.0,1.0,4.0,2.8285714285714287,0.7065123239304082,3.0,3.0,9.0,6.228571428571429,1.6285271997532418,6.0,4.2,9.3,6.799999999999999,1.3942634572545083,6.55,0.1603053435114504,0.13129770992366416,0.03358778625954199,0.233587786259542,0.07022900763358779,0.11297709923664123,0.0076335877862595426,0.25038167938931305,1.0,6.0,4.742857142857143,1.31379238092176,5.0,1,1,4,7,9,13,
agg cat,0,27,0,8,3.259259259259259,1.700511067808114,3.0,0,4,0.6296296296296297,1.24493274913047,0.0,0,2,0.4444444444444444,0.7510676161988108,0.0,0,3,0.6296296296296297,1.005681863909264,0.0,0,3,0.7037037037037037,1.0675210253672476,0.0,0,5,0.8518518518518519,1.4332240069615962,0.0,0,1,0.037037037037037035,0.19245008972987523,0.0,0,3,0.5185185185185185,1.0141449740988853,0.0,37,88,56.55555555555556,14.164781171660424,54.0,1.0,3.0,1.9259259259259258,0.6155626523087466,2.0,1.0,6.0,3.185185185185185,1.3311948663061215,3.0,2.85,6.4,4.420370370370371,0.9849110911903965,4.45,0.4607329842931937,0.08900523560209425,0.06282722513089005,0.08900523560209425,0.09947643979057592,0.12041884816753928,0.005235602094240838,0.07329842931937174,1.0,6.0,2.7777777777777777,1.7171831436157148,2.0,8,8,1,4,4,2,
agg cat,1,31,0,11,4.0,3.1091263510296048,3.0,1,7,2.5806451612903225,1.688671934753997,2.0,0,6,0.5483870967741935,1.1786633581425856,0.0,0,8,3.6129032258064515,1.9609082819761305,4.0,0,10,2.4193548387096775,2.4190107282163518,2.0,0,4,0.8709677419354839,1.087564112558304,0.0,0,2,0.12903225806451613,0.42754613660367835,0.0,0,5,1.2258064516129032,1.453952714026029,1.0,17,97,63.45161290322581,16.047510107339434,62.0,2.0,4.0,2.5161290322580645,0.5698518954918891,2.0,3.0,8.0,5.387096774193548,1.085584922360252,5.0,2.85,8.35,5.866129032258064,1.0852332388918517,5.7,0.259958071278826,0.16771488469601675,0.03563941299790356,0.23480083857442346,0.15723270440251572,0.056603773584905655,0.008385744234800837,0.07966457023060797,3.0,6.0,4.064516129032258,1.0934801894552926,4.0,0,0,12,10,4,5,
agg cat,2,26,0,6,2.576923076923077,1.8148956316676048,2.0,1,4,1.8846153846153846,0.9089300556994725,2.0,0,3,0.6923076923076923,1.0107118588096518,0.0,0,13,4.538461538461538,3.075461191181176,4.5,0,5,1.5384615384615385,1.2403473458920846,2.0,0,7,3.076923076923077,1.8957442216306908,2.5,0,2,0.23076923076923078,0.5144077999169381,0.0,2,11,6.115384615384615,2.3208088775583926,6.0,45,101,77.96153846153847,14.782369956758002,78.5,1.0,4.0,2.8846153846153846,0.8161824833662176,3.0,3.0,9.0,6.769230769230769,1.6806592113261345,7.0,4.45,9.3,7.282692307692307,1.3084297694329878,7.525,0.12476722532588455,0.09124767225325885,0.0335195530726257,0.21973929236499068,0.074487895716946,0.148975791433892,0.0111731843575419,0.2960893854748603,2.0,6.0,4.961538461538462,0.999230473144979,5.0,0,1,1,4,12,8,
agg emb,0,10,0,8,3.3,2.406010991015812,3.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.1,0.31622776601683794,0.0,0,3,0.8,1.3165611772087666,0.0,0,0,0.0,0.0,0.0,0,3,0.4,0.966091783079296,0.0,37,79,57.1,14.145670715805595,54.5,1.0,2.0,1.5,0.5270462766947299,1.5,1.0,4.0,2.3,1.0593499054713802,2.0,2.85,5.15,4.005000000000001,0.9667959683637726,4.05,0.7173913043478259,0.0,0.0,0.0,0.021739130434782608,0.17391304347826086,0.0,0.08695652173913043,1.0,5.0,2.6,1.8973665961010275,1.5,5,1,0,1,3,0,
