method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.08550050854682922,47.210495115073805
kmeans 3 emb,3,0.08550050854682922,47.210495115073805
kmeans cat,3,0.20814973874387913,132.0279675940301
kmeans 3 cat,3,0.20814973874387913,132.0279675940301
agg emb,3,0.06933601200580597,44.04944598820306
agg 3 emb,3,0.06933601200580597,44.04944598820306
agg cat,3,0.16232861136996277,107.7990335073284
agg 3 cat,3,0.16232861136996277,107.7990335073284
gmm emb,3,0.1335705816745758,42.69597902476169
gmm 3 emb,3,0.1335705816745758,42.69597902476169
gmm cat,3,0.12734385754598143,17.67425970175014
gmm 3 cat,3,0.12734385754598143,17.67425970175014
birch emb,3,0.07909546047449112,39.64528415009516
birch 3 emb,3,0.07909546047449112,39.64528415009516
birch cat,3,0.07909546047449112,39.64528415009516
birch 3 cat,3,0.07909546047449112,39.64528415009516
